,number_of_likes,caption
0,5,"Cake on your Bday. Happy Birthday to my one and only mom! I wouldn't be the man I am 2day without her love and guidance. To a beautiful, wonderful mom, gma, wife, and moat of all my ♡"
1,5,She got me like....with my inhaler lol
2,5,Daddy Salon open for business.
3,5,Jump o line
4,5,
5,5,Hot cocoa and putting up tree while xmas music is playing. ..ahhhh thank u lord ♥
6,5,On the hunt! So serious! No messing around
7,5,"Monday night shenanigans
She introduced me to Trader Joe's!"
8,5,"Good Morning all! My morning pick me upper, love waking up and getting my day started with my princess. Have a good wknd yous guys."
9,5,"Easter Treats for our classmates
Makings eggs #happyeasteryall"
10,5,
11,40,"2nd year in a row baby!
#kidzboplive2018"
12,5,
13,5,Talib Kwaeli up front and perso
14,5,U ever try to free style a long book to a 2 yr old? Lot harder than u think! .....maybe just as long too lol
15,5,"Breakfast w/ Santa
Minus Emerie :("
16,5,
17,5,TbT
18,5,Horsin around
19,5,Cabelas kyacks
20,5,Coffee! Coffee? ! Whats that? #Saturday #wakeupcall
21,5,Motivated beyond belief. Ready to make moves #moreschool #more $
22,5,Underwater too! #Aquawoman #underthesea
23,5,
24,5,Gone Fishin
25,5,Rodeo tiiiiiiime!!
26,5,Fun Friday!! Been awhile since we been on town lake. #nofilter #♡mycity
27,5,Time for a dip
28,5,
29,5,♡ this!
30,5,"The light of my life
#xmas2016"
31,61,"She loves the heck outta me 😇🤗
#wcw"
32,5,
33,5,
34,5,Fresh kicks Friday!! #steppinout #swagsurfin
35,5,Perk of being single....always have left overs ;)
36,5,I woke up in a new....VIPER! #2014GTSCOUPE #fanggame #newtoy
37,5,On dat Moscow Mule!!!
38,5,Gratitude is my Attitude today!
39,5,My whole world 🌎
40,5,Baking a cake for daddy :)
41,44,"Breakfast w/Sanata 2018
#lookupsantasaycheese #mostwonderfultimeoftheyear"
42,21,"Flag football work outta the way
Sunday Sunday starts now!
Kid version"
43,5,Coloring eggs nite
44,68,"Happy Wednesday from Emerie
#halloween2017🎃"
45,5,I put up an instant Gazebo!
46,5,"Paying back the help w/ my car.
#foodporn #riseandshine #KKmornings #oldworkplace"
47,5,Woohoo Zoo
48,5,"How I'm spending xmas eve 2013
#wooo #drinkskillthepain
#jollyinacan #nosantahere"
49,5,"Saturday at the beach!!
#saltlife #myfaves"
50,5,Arrr matey!! Dressed up for guest reader at Emerie's school. She was trippin out lol
51,5,"Feelin myself 2day
#birthdayeve"
52,5,We ready!! #teamneonflex
53,5,"Behind the scenes @Chuys giving back parade
we're in the parade!
#SpideySelfie #Toycollectortruck"
54,13,"Just in the middle of town lake
Austin TX on a friday
no big deal \m/"
55,5,Its 7pm...where are you??#supatx #surfboard #sunset
56,5,Chuys parade
57,5,Missed those baby blues soooooo much!! ♡♡ #nofilters #shecompletesme
58,5,Really.....
59,5,Favorite pic of the night. #lostinhereyes #bestbdaypresent #
60,5,Hendricks Gin experience the unusual! !!
61,5,Chuck kinda day
62,5,Jumpy time!
63,5,"Can't wait for this, add my fav Topo Chico Lime and BAM! ACL fest magic!
#ACLFest #TopoChico"
64,5,Hot coco tiiiiiiiiiiiiiiiiiime!!
65,5,Surprise visit to her cousin w/chic fil A! #backtoschool #nosloppyjoeshere #sheloveshim
66,5,Thin mint love!!
67,5,Children of the corn
68,5,Having fun at #blacklightrun
69,5,"2015 MURICA!!
Godbless"
70,5,Sunday Funday with gma!
71,5,
72,5,Lol she's never gonna leave this toy alone
73,5,"I thank God for every moment I get to spend with this beautiful, silly, caring, smart child of mine. I wouldn't know true love and happiness without her.
#myminime #daddyslillady"
74,5,"@halotop keeping me cool in rush hour!
#proteinicecream🍦 #whattraffic"
