,number_of_likes,caption
0,47,Happy Valentine's Day to my beautiful bride!:) You make life so good! You let the love of Christ run through you and make life so sweet for Judah and I! I love you forever more than always beautiful :) Happy Valentine's Day!
1,28,Thanks Jackson 5! #5days #becomingthekelchs
2,14,@jessechaney forced me to give him a piggy back and then he took this picture.
3,8,Just enjoying my first taste of @rootscoffeehouse in highland village. #foggylondon
4,27,Love at first sight. @kyle_holman1 @reidwjohnson
5,15,Both amps fit perfectly into our new roadcase! @brandonsaiz #arkansasbound
6,37,While our blood might have been boiling the entire time. We still had a great time dreaming and being encouraged with the dream team at @clcaustin while enjoying a great view of DKR Stadium.
7,7,The bond that these two men have is hilarious! @nannyivester1
8,38,Selfie with Byron!! So glad my beautiful fiancé is starting to enjoy the golf life!
9,27,Look what I got in the mail today!! Score ✊ thanks @philwickham
10,28,New project for the day! Before and after. Pallets I cut in half wired some light bulbs on the back side and had @arieldiane3
11,104,"EASTER SUNDAY YA’LL
+
“He is not here; he has risen, just as he said. Come and see the place where he lay.” ‭Matthew‬ ‭28‬:‭6
+
First Easter Sunday to have both sides of the family be a part of the same church. A long time prayer finally being pieced together. Thank you Jesus."
12,111,Cool backdrop calls for a classic photo with my girl 😎 love you babe!
13,91,We’re headed home!! Come on reality of having two kids 😳
14,42,Stuck on the highway just past Mt Pleasent.. Prayers gladly accepted!
15,30,Church wide fellowship!! Love the church :)
16,24,Floating lanterns at the #husseywedding
17,11,Hosea is rocking my socks right now.. Heavy. Hosea 2:23
18,21,My set up for the next couple of weeks! #bassguitar #tcelectronic @gearaholics
19,9,Bye bye old intake! It's been real..
20,7,@donaldcadenheadlll likes to lean against tables in Rosas and look attractive. Important phone call
21,69,Y'all knew it was gonna happen.. Like father like son ;) #judahbeaukelch
22,30,Last night was a birthday for the books. Got to enjoy @johnnyswim upstairs in the mezzanine with my beautiful wife. Met some really cool people (@codycarnes @karijobe and Chip and @joannagaines Thanks for an incredible night @elishakelch :) best wife ever! #johnnyswim #hobdallas
23,41,This is what being married to a blogger is like from the mans eyes.. #blogger #whitegirl #birthdaycakefrap
24,19,What is this thing.. #denton
25,12,Be jealous..
26,84,What an awesome weekend we had at the Refreshing your marriage conference with @dougfields here's to a little refresh with the most incredible little lady on the planet @elishakelch love you!!
27,15,My boy @nappie15
28,25,My #wcw :) this beautiful lady puts up with my weird self and yes still sticks around! She's a keeper :)
29,13,#tbt when @cortni_dawn use to sing with us!! @brandonsaiz @kyle_holman1 @arieldiane3
30,17,Empire State Building!
31,33,Hey @davidbaysinger remember that time we were all lined up about to walk out to the ceremony of mine and @elishakelch wedding and we realized you didn't have your microphone on.. 😂
32,6,Hip new text reminders! Thanks David!
33,12,Lazy Christmas Day. #Movie #fire #christmas #newblanket #brothers
34,24,Well world meet Ollie. This is what we do at the Baysingers house on a Sunday night! @davidbaysinger @baysingerfamily @elishakelch
35,28,It's summer so you know what that means! Barefoot band practices..
36,18,What a good looking barista! @jessechaney
37,26,...
38,25,Boom happy birthday Cortni:)
39,15,Bad wolf @garmet
40,22,Best Brother award goes too..... @brady1522 congratulations! Hahaha #adorable
41,19,David going deep into the Passover on Wednesday night with our youth.
42,38,State Capital with my lovely wife was pretty dang awesome!
43,30,Remember that time @lizzy_chapman put tortillas all over my car so I poured my sweet tea all over her?? Yeah that happened today..
44,31,Vbs packed out! It's been a blast and it's only day 2!!
45,16,Working the deep neck shirt even back when I was 5! #throwbackthursday
46,8,@rayyforr Y'all are somewhere in this picture!!
47,9,@brandonsaiz @lightofloveband #thuglife
48,59,First swim of the summer with this little fish!! #judahbeahkelch
49,35,"Homemade breakfast burritos, chocolate milk, my beautiful bride, and our first fire in our fireplace. Nights like these are a small reason of why being married to @elishakelch is so special and living life with her right by my side is such a blessing to me. Thank you for the best 5 months of my life babe:)"
50,33,"My beautiful wife has been working her tail off at her new job the past few weeks being a near ""floater"" teacher for the school she works at. She worked so hard her boss brought her this candy bouquet as a thank you gift. So proud of her and all she does for both of us :)"
51,20,Had a great time celebrating Christmas with this beautiful woman's family today:)
52,31,How we spent our afternoon! Thanks @kmal_0906 for the tickets! #byronnelson
53,26,Brb just enjoying this wondrous weather.
54,10,HA!! Doubt it.. 😉
55,37,Successful day.. @brandonsaiz went swimming!
56,42,I am so excited to see these little guys grow up together!
57,31,Lake Day with the bros!! @cody_carroll_ @kyle_holman1 @brandonsaiz @nappie15
58,39,This is what actually happened at the pumpkin patch.. #pumpkinpatchin
59,27,Jesse brought me breakfast in bed. He loves me. I love him. Trynhate
60,20,What I keep reminding myself
61,23,Fun night at the Baysingers last night! This would be Grace and Noah attacking @elishaminter of course.. Thanks so much for having us over and pouring into our lives David and Rachel!
62,30,Carnival time.
63,33,Happy Valentine's Day to this beautiful bride of mine! Thank you for being the best wife and friend I could ever ask for! Looking back to this picture a year ago when we enjoyed our first valentines together at passion and shared a chicken strip basket (which ended up all over the floor on accident) it's crazy to think you were my girlfriend in this picture. The thoughts and prayers going through my life were all geared towards marrying you at this point and now to see since then we've enjoyed the season of engagement and now are almost 6 months into our marriage blows my mind! Thank you for being so faithful to Jesus and trusting Him so much throughout this past year! Here's to many more :) love you!
64,51,We won't talk about what happened right after this photo was taken.. #judahbeaukelch
65,31,
66,65,We took Christmas pics today. I think they turned out great 😂 shoutout to @lizmid93 for doing a great job!!
67,20,@donaldcadenheadlll enough said..
68,80,Burnt skin & good friends. Happy Memorial Day y’all 🇺🇸
69,48,Last night in Breckenridge and we are sad :/ but ready to be back at our home! Definitely gonna miss this 40 degree weather though!
70,25,"""but whoever listens to me will dwell secure and will be at ease, without dread of disaster."" Proverbs 1:33 Just happened to read this today while sitting in this glorious park today right before the storm hit."
71,48,Happy 4th from Blake and Cody
72,60,Having a wife that is a photographer makes it EXTRA hard to pick a photographer for our own photos. But @bmatimbaphoto has been around since the beginning and has always delivered exactly what we wanted 😎 thank you for being not only an incredible photographer but a good friend! These obviously were taken with my iPhone but don’t worry you’ll be seeing her work soon ;)
73,34,Ready for God to move tonight in service as we welcome in our new 7th graders! See you soon!
74,20,A little late night Table Tennis with these doods
75,57,My little man did so good for his first photoshoot! And props to his hot mom for taking these awesome photos!! :) oh and he decided to start sitting up by himself as well!
76,13,Clever... Hahaha
77,11,Taking cover from the hail! #homemadetrailmix #EvanWickham #picstitch
78,64,Today Elisha took a big step in parenting.. She started riding in the front seat with me again :) love getting to hold her hand again! #itsthelittlethings #judahbeaukelch #parenting
79,25,Donald everybody..
80,67,My little man was the best golfer at topgolf last night😎⛳️🏌#judahbeaukelch
81,24,Bruce's illustration with Coke and Windex this morning lol
82,31,"""Look at this hair! It's perfect I know!!"" @donaldcadenheadlll #donaldpalooza"
83,11,Creepin.. @elja19 @kelseyrose13
84,11,Look what's at my house today!!
85,20,@kyle_holman1 lookin all hott in the rain!
86,29,Guys meet my bestfriend.
87,50,"""Dad.. I'm over this.."" #judahbeaukelch"
88,19,Headed to the Byron fool! @clay_golden @jessechaney
89,24,I know this is April 2nd but I still love this..
90,35,@elishakelch and I just got our tickets for Passion 2015 in Houston!
91,19,New Dash Cam for those crazy road trips! #GoProHero3
92,16,Got the new pedalboard finished for tonight!
93,8,The charcoal chariot came by the house this morning! Miss this thing! But my wallet doesn't at all!
94,31,"Back alleys, holdin it down. #ATX #kelchpartyofweird"
95,34,I lead worship every week behind a guitar and microphone. Tonight I got the opportunity to lead from a different perspective. Two different worlds serving the same purpose. Well that was fun. Probably won't get to play drums live for another like 5 years or something ha
96,23,Our students praying in groups for the victims of the Oklahoma tornado.
