,number_of_likes,caption
0,5,"Nettuno, Italy. (The city of baseball). Explored the coast on the way back to Rome from Cori today. #Nettuno #Italy #ItalianCoast #Beach"
1,101,"#Repost @briannamoore with @repostapp.
・・・
🌿 happy Saturday // PC: @_katiehc #sleddnursery #austin #atx #atxoutdoors"
2,162,Life is good on 30A✌🏼️😎🌴 #livescl #seaside #florida #summer #coconut #30A
3,5,🎄🎅🏼🎁 #Strasbourg #Pretzel #ChristmasMarket #Foodie #TravelFood
4,193,"I want to give a special thanks to @jacquelinekekos, @_katiehc & @johnnabee for coming with me on today's shoot and being so great and supportive! I really can't wait to share these photos with y'all. Stay tuned 😊📷🚌"
5,5,Fall is here ☺️🍁🍃
6,52,Awkward lunch picture 😆💕 @michaelamencacci @erickarodriguez
7,144,My friends made me take this picture. 😋🤔👙 #peerpressure #contemplatinglife
8,5,"I can repost myself right? Had a blast today. (Follow my photography account @briannamoore). #Repost @briannamoore with @repostapp.
・・・
My first editorial with @fashionxaustin // BTS for Austin Fashion Week. #AFW #FashionXAustin 📷"
9,5,Pain du chocolat 😍🇫🇷 #France #Angers #PainduChocolat
10,5,Morning on the rooftop terrace #Italy #Florence
11,5,I got to celebrate my 20th birthday a whole month early with my family since I won't be here for the real deal. Countdown to France: 2 weeks! ☺️🍰🇫🇷
12,5,Fall starts on time here in Angers. Unlike another place I know.... *cough cough* Texas. 🍁🍂🍃🌳 #Fall #Autumn #Angers #France
13,5,"Okay. A) I survived this. B) After recovering from terror I can say this is my most favorite roller coaster thus far, ever! #NightHawk #Carrowinds #NorthCarolina #IWasPrayingTheWholeTime #JesusSaves #RollerCoaster #ThrillSeekers"
14,5,The Monday after break.... Except I kept thinking it was Tuesday... So basically today has been like this...
15,47,OKAY last one 😂😂 sorry..
16,5,Last château visit before I leave. France you and your beautiful castles will be dearly missed. #Château #France PC @christellemiller #CollegeTourist
17,5,Sunday mud day 😜😎💩 #sowhite
18,5,Tis the time for light up earrings 🎅🎄💄🎁 #merrychristmas
19,5,Summer sunsets 🌾 #summer #sunset #sunroof #minicooper #texassunset #summernights #drive @mini
