,number_of_likes,caption
0,16,Great kickoff service tonight for dnow weekend. #band #dnow #follower
1,5,@mebaner got lucky this time!
2,20,Quick Goodwin wedding selfie. #goodwinpartyoftwo #mycheecksaresorefromsmiling #groomsman
3,5,I'm gonna miss this kid! #MOPS
4,5,I was reminded of God's beauty tonight as I drove through the county roads.
5,5,Lecrae
6,5,Wesley's going away party!
7,11,It's been a great semester in @continuumministries. Looking forward to what is in store next semester!
8,5,"""Turn that frown upside down."" So glad we got to FaceTime tonight! @chickenchick05 @abby_bridges"
9,5,Grilling burgers for Monday lunch!
10,76,What a joy it has been to have my parents here in ATX the last 5 days. God blessed me tremendously when he made them my parents. I cannot thank them enough for the huge help them have been. Absolutely love them.
11,19,It's a boots kind of day.
12,9,Excited @chickenchick05 is here for the weekend. Already had fun tonight. Can't wait for the rest of the weekend!! #officechristmasparty #chuys #nightowls #stubbs
13,5,Hula-Hut. #littlebro @rba2014
14,13,First time since 2008 I'm not at @passion268. Thankful for the live stream! #thisiswhathappenswhenyouarenolonger18-25.
15,18,Great show tonight @sydneywrightmusic and @a_verey_specialperson!
16,51,Blown away by the fall launch of @continuumministries tonight. This is only the beginning!
17,31,Perfect night to grill.
18,10,What a night tonight @continuumministries! Baptized 3 and @brandongreen08 spoke a powerful message. #whatif
19,15,Game night with the family.
20,74,What a beautiful wedding for @b_waggs and @cmsuarezv. Honored to have witnessed and stood beside them. #siempresuarez
21,5,Had 28 students at Monday lunch today and 10 adults! #tamingthetongue #hammacandcheese #cobbler
22,6,If you are a young adult in ATX we would love for you to join us tonight at 7:30 @clcaustin @continuumministries to celebrate our Risen Savior!!!
23,14,Never to young to learn about marriage! #clcaustin #audioandmedia #justwaitingfortheone
24,5,Playing some sand volleyball. #zilker
25,5,Just installing Previews signs in the dark! #nobigdeal
26,61,There’s no one like you. Happy Mother’s Day @diane4371. God knew exactly who I needed as my mom. You’re the best!!
27,29,Congrats @taylor24100!! Beautiful wedding!
28,5,Someone left me some selfies. @rba2014 #dontleaveyourphoneinthetruckatagasstation #littlebro #gladigottoseehimthisweekend
29,3,Hello exegesis!
30,5,Special cookies made just for me by a 3 year old!
31,12,Remembering #passion2013 today. #Enditmovementpicture Excited for #passion2014 in Houston! #letthefuturebegin
32,17,Beautiful day at Zilker Park. #ATX #downtown #flagfootball #zilker
33,62,I’ve been blessed to come to @passion268 conferences for the past 10 years. Every year God outdoes himself and the same can be said for this year. Wow!!
34,15,Hanging out in the apartment weight room during the storm. #firstfloor #bigbathroom #nowhereelsetogowhenyouliveonthesecondorthirdfloor
35,82,Uncle CC loves you. #harlow_quinn
36,5,How I've missed you! #piano #love #passion
37,5,@rba2014 playing tennis! #regionals #tigertennis
38,13,@sydneywrightmusic doing her thing! Great night with coworkers and friends. #neighborsforlife #atx #music #songwriter #strangebrew
