,number_of_likes,caption
0,110,"Happy Anniversary to my beautiful Brittany. Can’t believe we’re already celebrating FIVE YEARS. Through all the highs and lows, I’m thankful to have this selfless, strong woman by my side. To many, many more."
1,54,"After an hour-long wait at the border, we finally made it to Vancouver. Not a bad view, I must say."
2,5,"In addition to our forthcoming trip to Europe, @honeybeeclay got an awesome anniversary gift for the both of us. She knows my heart. #GoFrogs"
3,5,"Oh, yeah. I'm definitely in Paris now. #GoSpursGo"
4,5,#tbt A Kid Named Slick Back
5,5,".@adalton14 is the man! Broke my wedding ring last week & he sent me my very own rubber ring. Thanks, brotha. #WhoDey"
6,5,"When in Spain, find the nearest free Wifi. This is life when you're waiting on your AirBnB host."
7,5,Just coolin it at Southwark Cathedral with my bride.
8,5,Peep the Tecate in preparation for Cinco de Mayo. We're emerging ourselves in the culture. @honeybeerich
9,5,"On another note, I'm out here in these Paris streets feeling reaaaaal GQ."
10,5,Allen Stone LIVE at Antone's Austin. #ACL Aftershow
11,48,"Baby girl came out to practice and helped my relay teams get their marks.
#DaddyDayCare
#TakeYourKidToWorkDay"
12,5,This made my whole day. I'm blessed to work in a profession I love.
13,5,On the plane about to take off with my wife. We'll check back soon. Thank you to everyone involved who made #theclaywedding possible. @HoneyBeeRich
14,5,"Just brought in the New Year, now it's back to the hotel to bring in a Horned Frog victory. #GoFrogs #BeatOleMiss"
15,5,Not a bad view. #WhoDey @andydalton14 @mnewhouse74
16,5,A Baylor Bear celebrating a TD with a Horned Frog. @agreen_22 #ThingsYouDontSeeEveryday
17,5,"I'm pretty laid back, but someone would've caught a beatdown."
18,5,"In 2013, I made a commitment to the girl of my dreams. This May, I get to have another one. BABY GIRL is on the way.
I'm beyond blessed to share my life with @_brittanyclay and excited that we get to share in another one. Thank you to everyone for your love and prayers."
19,5,It went down at the Color Run! Had a great time. #Happiest5K #ATX
20,5,Last one for now. #Heisenberg
21,5,Today was a good day. ¡La playa mañana!
22,5,Southwestern stuffed peppers. It's what we do. @honeybeerich
23,5,I think @t2boykin's reaction to that hit just became a meme.
24,5,Halloween 2014 but we partied like it's 1999. #PurpleRain
25,5,"""…and they goin' gorillas. Huh!""
#Paris #EiffelTower #cliché"
26,5,"Not a bad seat. Thanks, Big Jeff. @j_olson62 @pryncedgarza"
27,170,The love of my life delivered me the greatest gift she ever could this morning. Norah Ann Clay arrived at 7 pounds 12 ounces. Both mom and baby are healthy. Praise God!
28,5,"Boy, we're for real about to be the ""black sheep"" on this flight. I'm bout to go into full Chris Tucker-Rush Hour 2-mode. See y'all in 14 hours. #GodBless & #GoFrogs"
