,number_of_likes,caption
0,31,"Pre-workout meal this morning is ✌🏻 🍳’s w/ veggies, 👆🏻 slice @daveskillerbread w/ 1 tsp butter, and 1/2 🍎.
.
❤️💚💜💛🥄"
1,5,"Just when you think about throwing in the towel and quitting, get back up and just keep swimming 🐠🐠🐠. Be kind today friends ✌🏻
.
.
.
.
.
.
#kindness #happy #instagood #weightloss #weightlossjourney #ithinkican"
2,82,"Whole 30 Austin style! Dinner was a Torchey’s bowl full of lettuce, pico, guac, salsa verde, fajita veggies and brisket. 🙃 Whole 30 Week 1 COMPLETE! 💪🏻 #whole30 #whole30recipes #whole30day7 #whole30 #inspiration #motivation #encouragement #inspo #healthy #health #nutrition #torcheys #healthyliving #cleaneating #eatclean #guac #brisket #picodegallo #healthylifestyle #recipes #mealideas"
3,5,Put up a palm tree instead of a real tree this year! #mexicoforchristmas
4,5,Found dads favorite drink at the store with his name on it so I put it in the fridge with this note to surprise him :)
5,5,Lunch time! #salad #instafood #whatiate
6,5,"Lunch is a berry salad with walnuts, bleu cheese and a raspberry vinaigrette! Starting to feel so much better from eating healthy and taking care of my body again! #whatiate #healthy #salad #instafood #weightlossjourney2016 #weightloss"
7,95,Just another night at the Silos trying to spot Chip and Joanna 🤠 #magnoliamarket #fixerupper #chipandjoannagaines
8,58,"Dinner tonight was leftover Korean BBQ, broccoli and @traderjoes sweet potato mash 🤗Whole 30 Day 9✔️ #whole30 #healthylifestyle #healthyliving #health #recipes #healthyfood #food #foodrecipes #cleaneating #motivation #inspo #inspiration #encouragement #instagood #instafood #nutrition #broccoli #sweetpotato #koreanbbq #crockpot #crockpotrecipes #quickhealthymeal #mealideas"
9,5,"When life gives you lemons, always make lemonade 🍋💛"
10,5,My life is complete
11,41,Yogurt bowl for the win 💪🏻
12,58,Lunch is a big ole’ bowl full of leftovers 🤷🏼‍♀️. @momspastasauces spaghetti sauce and @costco organic ground beef over a bed of potatoes and and @traderjoes cauliflower gnocchi 🙃 #whole30recipes #healthyrecipes #healthylifestyle #wholefood #organic #health #nutrition #lunch #whole30day8 #healthyliving #food #cleaneats #instagood #instafood #inspiration #motivation #encouragement #inspo #recipes #yum
13,5,
14,69,What a fun night!! #atx #blissfulhill
15,5,"Brunch today was two slices of toast with avocado, ham, eggs, and a clementine 😍
.
.
.
.
.
.
.
#whatiate #healthy #instagood #instafood #weightloss #weightlossjourney #weightlossjourney2016 #2016 #toast #avocado #egg #clementine #ham #yum #yummy #food #delicious #foodporn #healthyfood #health #brunch"
16,5,"Swipe 👉🏻 to see the meals I ate today as part of the first day of the 14 day no sugar no flour challenge! Breakfast was 2 eggs, mashed sweet potatoes and mixed berries, lunch was a diced porkchop with guac on top, green beans and mushrooms, and a grapefruit, and dinner was a turkey burger with a sautéed broccoli slaw, and a big ole' salad. Ready to head to bed and start over tomorrow! Happy Sunday friends 😄#brightlineeating"
17,5,"Turkey burger with red potatoes and zucchini-squash for dinner! .
.
.
.
.
.
.
#healthy #whatiate #protein #turkeyburger #2016 #weightlossjourney2016 #dinner #follow #redskinpotatoes #potatoes #zucchini #squash #sandwichthin #weightloss #weightlossmotivation #inspiration #motivation #health #healthy #2016 #instagood #instafood"
18,5,I never want to leave 😭😭😭 #MiamiIloveyouforever
19,71,Dinner tonight was spaghetti 🍝made with compliant @momspastasauces spaghetti sauce and @costco organic ground beef served over a bed of @traderjoes compliant cauliflower gnocchi. So good! #whole30 #whole30day6 #inspiration #motivation #encouragement #health #healthy #healthyfood #amilyareyoureadingthis #food #inspo #cleaneats #healthyliving #whole30inspiration #healthylifestyle #spaghetti #gnocchi #recipes #healthyrecipes #mealideas #mealprep
