,number_of_likes,caption
0,5,
1,5,"If we can't be silly now, then when?"
2,5,<3
3,5,"In case you didn't catch the story haha! It's been one heck of an evening, not just because of meal prepping, trust me, when I have no distractions and am in my zone, time flies and there's no stopping this mama. BUT, when I've got my kiddo calling me every 20 seconds to ""help"" with a math problem 🤦🏻‍♀️ lord help ME! But I got it done and so did Ally Boo! #teamtenacious 🙌🏼💪🏼"
4,5,
5,48,Austin shenanigans! #mycity #atx #loveislove ✌🏼🤟🏼😜
6,45,My world 🌎 ❤️
7,5,Work like it's up to you & worship like it's up to him
8,5,Peter Pan Play this morning.
9,5,Today's motivation and strength brought to ME by @elevationworship #thereisacloud☁️ album #praise Him ☝🏼 where you are!
10,5,"In my daughter's eyes,
I am a hero,
I am strong and wise,
And I know no fear,
But the truth is plain to see,
She was sent to rescue me,
I see who I want to be,
In my daughter's eyes
In my daughter's eyes,
Everyone is equal,
Darkness turns to light,
And the world is at peace,
This miracle God gave to me,
Gives me strength when I am weak,
I find reason to believe,
In my daughter's eyes
And when she wraps her hand around my finger,
How it puts a smile in my heart,
Everything becomes a little clearer,
I realize what life is all about,
It's hanging on when your heart is had enough,
It's giving more when you feel like giving up,
I've seen the light,
It's in my daughter's eyes
In my daughter's eyes,
I can see the future,
A reflection of who I am and what will be,
And though she'll grow and someday leave,
Maybe raise a family,
When I'm gone I hope you'll see,
How happy she made me,
For I'll be there,
In my daughter's eyes"
11,5,
12,5,"“I've got an angel
She doesn't wear any wings
She wears a heart that can melt my own
She wears a smile that can make me wanna sing
She gives me presents
With her presence alone
She gives me everything I could wish for
She gives me kisses on the lips just for coming home... we share the same soul...”- JJ .
.
.
.
#jproductions #love #mother #daughter #photoshoot #playful #heart #soul #spring"
13,5,My Boo ♥️
14,21,"You're probably going to kill me for sharing these older photos of you but I don't care! You were beautiful then just as you are now! Wow! 15. To you it probably feels like just another boring old year, but to the rest of us who have had the privilege of watching you grow up, it feels like it's all happened in a blink of an eye. Of course we pray for MANY more wonderful years with you and to see all you can accomplish, but, can you please stop growing up? Like NOW ✋🏻❗️ I love you so much sissy. You have no idea. I will never stop loving you, I will continue to give you my advice and throw around my opinions even when you didn't ask for it! Because that's what sisters do! Get over it 😝. Never forget to be a child even when everyone else wants you to ""grow up"". It's not all it's cracked up to be anyway 😉. Happy birthday baby! Hugs and kisses!!!! #Birthdaygirl #shesfifteen #stillababy #sisters #elevenyearsaprt @sabrina.milly"
15,5,♡
16,5,My big girl! ❤️😭
17,22,Today's dinner 🍴 shrimp/ asparagus stir fry 🤤 #delicious
18,30,Take me back to Cinco de Mayo in SA with my love. 😘❤️🔥 #longweek #missingyou
19,79,When you try to be healthy and exercise but you’re constantly reminded that you love food way too much! #austin #centralmarket
20,5,#Repost (@fitasash)
21,18,The other night 😘 celebrating A special birthday 🎂 @perla_estrada1 🙏🏼 Glad I could join the tradition ☺️ #cheesecakefactory
22,5,Worship in #austintraffic 🙏🏻🙌🏼🤠
23,21,Book 📚 parade day at school! My little love went as her favorite book character #juniebjones
24,65,"We just got in the car and drove. The outcome was breathtaking.
And that time lapse of the sunset just didn’t do it justice! 🌅

#godmadethis #enchantedrock #hiking #roadtrip #loves #memories #texas #sunset"
25,5,
26,42,Happy Thanksgiving 🍁 #family #siblings #mama
27,5,#hipster
28,5,Because it's time to party with the family today 🙌🏼❤️
29,8,"I’ve listened to this book maybe 5 times all the way through.
Each time I get new nuggets of wisdom.
Each time gaining more knowledge of the life God is leading me to.
There is no shame in having a personal relationship with God and being open to what he calls you to be and do.
I highly recommend this book to anyone struggling to find their identity in themselves and in all relationships.
Although this book is geared more towards relationships of sex, love and romance, there are definitely take always that are applicable to your everyday life.
As a 27 year old single- single mother,
I find myself almost terrified to step into the dating scene without properly preparing myself for the new generation of “men”. This book and others have helped me to turn to God for guidance and wisdom to know the standards I should hold myself and others to.
Before, I had no standards or boundaries and I suffered for a long time with myself and the decisions I made.
Now, I can say I see things very different, and with God I can only grow stronger in him and in my beliefs of what a real relationship should be like."
30,27,There’s no telling what might happen when the three of us are together! 😇❤️ #trio #myhearts #latepost✌
31,5,"💫Only you know how to DO YOU, so Do You well! 💫"
32,5,"""If you are resisting something, you are feeding it. Any energy you fight, you are feeding. If you are pushing something away, you're inviting it to stay."" #wisdomwednesday 💚 #LetGo #LetGod"
33,122,"The girl on the left: l was always frustrated I never felt comfortable in my own clothes.
I had Very low self esteem. Little to no confidence. Negative self talk, shamed my body.
-—-—- The girl on the right:
Has SASS!!! She has focus, energy, drive, confidence!
You see how fired 🔥up I get when sharing MY progress?! I WANT THIS FOR YOU!!! How many times have you said those EXACT words to yourself on a daily basis? The negative self talk, body shaming, or just flat out not caring for your body like you know you should?
You’ve got to tell yourself enough is ENOUGH, kick your excuses to the curb and do something about it!
Im only asking for 10 ladies who have had ENOUGH and who are ready to turn their EXCUSES of why they can’t, into REASONS WHY THEY CAN & SHOULD!
Shoot ya girl a message or drop a 💪🏼 down below to get all the details on my next accountability group and how to get your spot reserved!
#conqueryourmind #powerfulwomen #accountability #bodypositive #truth #mindovermattress #enoughsaid #noexcuses #bod #fitnessmotivation #attractyourtribe"
34,43,Christmas 2018 🙏🏼🎄♥️
35,5,"#Repost @besheroic (@get_repost)
・・・
You are still standing. That in itself is something to be proud of. #BeSheroic"
36,5,Weekend 2 of Fitness with Mercy! I sure am feeling it today! Love when the kiddos join us as well 💪🏼🏃🏻‍♀️🙌🏼 thanks again to these ladies for showing up and putting in work!! #fitnesswithmercy #lifegroup #sweat #muellerpark #fitmoms #bettertogether
37,63,
38,5,"#Repost @jennielusko (@get_repost)
・・・
“your worship doesn’t have to be pretty to be powerful.” ♥️@levilusko ••• this message tho. catch it if you missed it! and then listen to it again. #inTheRough"
39,5,My kitty Boo ❤️
40,22,My family #transformationtuesday 2006/2017 ❤️
41,5,Still does. :)
42,5,Feeling like a damn ballerina at 4:30am. I dunno why but I love to wear knee high socks when I workout 😊💦
