,number_of_likes,caption
0,5,"crazy weekend with my homie @trevoryfrank @ LeBain
#NYC #nightlife #rooftop #lebain #guestlist"
1,52,"waves don't die
s/o my breaux @g_gildon
#denver #colorado #denvercolorado #downtowndenver #5points #fivepoints #urbanfashion #mensfashion #menstyle #ralphlauren #akomplice #levi #michaelkors #saturdaynights #latenightsearlymornings #fresco"
2,41,"pics @howdybrandon took are up on the Wilhelmina Denver site!!! #denver #colorado #RiNo #artsdistrict #model #photography #wilhelminadenver
#dreads #dreadlocks #dreadlockmodel #africanamericanmodel #blackmodel #levi #handm #forever21men #michaelkohrs #fresco"
3,5,is it fall yet? #whodat #geauxsaints #nfl #minicap
4,5,"come rock with us next weekend. the homie @justin_great snapped and put together an amazing collection. let’s vibe.

#denver #colorado #denverfashion #denverstyle #mensfashion #mensstyle #mensstreetwear #menshighfashion #fresco"
5,5,best tacos I've ever had
6,5,"Father's Day was lit

#Denver #colorado #downtowndenver #denverparks #parksandrec #playtime #wrestling #toddler #strongkid #biracialbabies #mixedtoddlers #interracialfamily #fathersday #fresco"
7,5,mah girlfriend
8,5,"i always want you when i’m comin down
#denver #colorado #downtowndenver #model #black #dreads #greeneyes #vamplife"
9,5,#wcw is my #wcweveryday cuz she good for my soul like a plate of neckbones and greens. I love her more today than I did yesterday and tomorrow will be no different. #wcw #interracialcouple #denverliving
10,5,"my love @mallorysau
each day gets better"
11,5,happy bornday to the trap lord @ninofresco504 #happybirthdaybreaux #brothers #rockemsockemboppers
12,5,"happiest of born days to my breaux @saulgoodman5280
You're everything to me. I'm nothing without you. You're the ying to my yang the zig to my zag. I used to yell at you cuz you never called CRACKBACK. You taught me a lifetime of lessons in one summer. We're everything they said we wouldn't be.

Mile High Dreams
Skyline Schemes"
13,5,i will forever remain faithful New Orleans @ninofresco504 #neworleans #saints #whodat #geaux #thursdaynightfootball #brothers #neworleanssaints
