,number_of_likes,caption
0,5,#notmygroundhog
1,37,"Finally got a chance to post a few pics/vid from my Florida trip. Already cant wait to get out for more adventures, amazing food, and memories with great people!"
2,22,Cleaned up and ready for a show tomorrow.. #showtime #untilitgetstoohot #summertime #supercharged #jeepsrt8
3,11,"Mini horse monday..
@dawn_stoudt
#Wideastheyaretall #jumpontheponyandrideit #ikid"
4,5,"Today was a good day..
#notaAK #ringingsteel #rugerprecisionrifle #JPbrakes #sending #308 #athlonoptics"
5,5,Some weird/interesting train art with the little stickfigures..
6,26,"Some cool jobs this week and it's only Tuesday! Removed the old lighting out of the top of Budweiser Event Center, and then checked out 16 cylinder quad turbo diesel emergency generators at a local hospital."
7,5,"Yelawolf, badass as always..
#foxtheatre #bouldercolorado #yelawolf"
8,25,"It was a grind but we did it!
#manitouincline"
9,5,"Gets harder to leave each time.. Thanks to my Florida friends for another great trip!@beachyboden
#vacation #idontwannagoback #florida"
10,26,"Got the first 8 or so miles of 2019 in the books yesterday and what a grind. This is Bear Peak above Boulder.. With around 2400 ft climbed in 1.6 miles it was every bit as tough, if not tougher than the manitou incline. The ice and snow on top of that made it even more of a challenge/fun. So nice having some WARM days to enjoy in January.
#bearpeak"
11,20,"Out for a rip!
@dirtyroyl"
12,5,Not the best way to start a day.
13,5,"Easter Weekend sunrise hike up to Arthur's Rock was the best so far.. Colors, and weather was INCREDIBLE!!
#arthursrock"
14,34,"Back into Glacier Gorge to Black lake.. Theres something about this trail that feeds the soul like no other. Looks very different than it did last fall. The snow melt cascades throughout was a huge bonus to an amazing area. Also its contributing to Alberta falls which is RAGING right now. *The second pic turned out interesting. The part that looks like the open water is actually where the lake is still frozen, the bottom part is the open water mirroring the backdrop.

#Blacklake #Albertafalls"
15,5,The ONLY thing good about it being dark still when I get up.. #coloradosunrise
16,31,"GREAT time to get up to horsetooth falls.. The water is actually running pretty good, everything is getting green, and the flowers are starting to smell.
#horsetoothrock"
17,23,"Finally made it to Rocky Mountain National Park for a short trek. Thanks again @avogel57 for everything!
Can't wait to get back up there again."
18,43,"4th time up Greyrock and couldnt of had better weather. Not even a hint of wind and LOTS of water up top made for a few of my favorite pictures so far. If you have time get up there this weekend. Just plan on goin super early. We were third car in the parking lot when we arrived, there were probably 20+ cars parked ON THE ROAD at 10am when we were leaving.
#greyrock"
19,5,"In July before I did the Manitou incline I did 162 Floors to see what I was up against.. the incline is 2744 steps. Trying to push myself a bit tonight I did it again, and when I finished, realized i needed to do 172 instead of 162.. 😠 Back on for another 10 I went.. haha It sucked but great for mental conditioning.. I got some big mountains to climb next year!"
20,5,"Jeep boosted and lowered
#jeepsrt8 #vortech #boosted #supercharged #hemi"
21,18,"The moment you realize you've been sand bagging your workouts, focusing on the wrong things, and keeping the wrong mindset.. Thankfull I stumbled across a super easy(not a big reader), comical but interesting book that's changed my whole view on training and why I do it. Realizing a workout should push your mind even harder than your body has given me workouts a week ago, I'd refuse to do.
Time to REALLY get after it.."
22,5,"Glocks
#glock #vickerstactical #9mm #babyglock #pewpew #2ndamendment #glockperfection #glockporn"
23,5,"Colorado sky you fancy..
#clouds #poststorm #coloradosky #onefiltered"
24,7,"PUMPED this is finally releasing on Tuesday. A great book I read this summer (Living with a seal) was about/had this guy in it. Now this is his own personal book.
#davidgoggins"
25,16,"Today's office view
#coloradoskies #workworkwork #officeviews"
26,21,Hate the cold but love the view.. #donewithwinter #youprettydoe #coloradoskies
27,5,"Another horse in the stable.. #Tikka #6.5 #creedmoor #vortexoptics #rugerprecisionrifle #308win #athlonoptics #sending #longrangeshooting #pewpew #popting #ringsomesteel #freedom
#2ndamendment
@dirtyroyl"
28,42,"Decent sunset and day before a full moon so it was a nice bonus. Had it all to myself except for meeting a new hiking buddy! Good times
#horsetoothrock"
29,28,"More from Dream, Emerald, and Haiyaha

#dreamlake #emeraldlake #lakehaiyaha"
30,5,
31,34,"Daybreak solo trip up Arthur's Rock to enjoy coffee, watch Colorado do what it does best.
#arthursrock #winterhike"
32,5,
33,21,"Pretty decent when you can hike in 50* weather in middle of January.
@dirtyroyl
#goodweather #goodcompany# #coloradoskies #readyforsummer
#CoyoteRidge"
34,25,"Tried to catch the sunset and full moon last night on Horsetooth, but clouds didn't cooperate. Still a nice night for a stroll.
#Horsetoothrock"
35,32,"I mentioned in my last post, ""tune up"" hikes. I've been fortunate enough to hike every weekend except one(had the flu) since mid December.
Its become a good routine to try to go somewhere, ANYWHERE, even if just a couple hours on the weekend. Even if its just me, solo with some coffee. Even if its snowing like hell or single digit temps. I've managed to go.
I've realized that wether its these short 4-5 mile trails that I've done a dozen times before, or 12-15 mile adventures that test some mental and physical strength, they are all experiences and time I really cant put a value on.
I've had friends reach out to me after some of my hiking posts and say its inspired them to go do some exploring themselves. Cant describe how great that made me feel, especially consisidering I hope my posts havnt become obnoxious.. Haha The funny thing is, seeing posts from some of my friends is what motivated me to stop SAYING I wanted to go, to actually goin..
So to conclude my ramblings, if youve ever been interested in trying a little exploring I urge you to do so!
These are from various trails in Lory State Park and Devils Backbone.
#lorystatepark #devilsbackbone"
36,5,One thing Iam always amazed with is all the different plants that are here.
37,21,Lucky to have this so close for quick evening or morning rides. A lot of good times and views have been had on this trail. #springcreek #fortcollins #trekbikes
38,5,"Ruger Precision Rifle
#pewpew #longrangeshooting #ringingsteel #popting #.308 #athlonoptics #JPbrakes"
39,5,"Gave up all sweets and cut down to minimum sugar for just under 2 months. Amazing how much better you feel without it and dropping just over 15lbs was nice too. HOWEVER.. Cracker Barrel pancakes are the only thing I really craved. Today I satisfied that craving.. 😍
#fatkidstatus"
40,33,"Trip out in rain last weekend to try out some gear.. And it quit raining..🙄 haha But was good for a ominous looking solo trip up Arthur's Rock.
#arthursrock"
41,26,"Saw a beautiful city, made some great memories and met/spent time with some absolutely amazing people. Even did a GREAT hike in Texas!
@shannyshenanigans Thank you for showing me your city!
#austintexas"
42,5,"Another day, another quick trip.
#arthursrock #hiking #coloradoskies"
43,22,"A few more including video clips.
#twinsisters"
44,30,#horsetoothreservoir #supraboats #coloradoskies #surfing
45,5,"Two days ago i told a friend "" I havnt seen a snake yet this year, knock on wood"".. Knock on wood didn't work, jinxed myself and ran across a little bastard in this flooded spot on the bike trail..
🐍🐍🐍
#hateem #wheresmyflamethrower #springcreek"
46,5,"Another good day with good people!
@dirtyroyl
#coloradoskies #pinewood #coloradohiking"
47,12,"Colorado weather, you can quit being an asshole now.. #hailsucks"
48,5,
49,5,"Another adventure since the weather decided to cooperate. Got to explore a little further south outside Nederland, beautiful area. Learned that the town of Eldora is kind of creepy and they take speeders very seriously. And that Kahtoola microspikes are amazing and well worth the money.
#jasperlake"
50,5,"Hiking by Belleview Colorado
#coloradoskies #hiking #summertime"
51,5,"Couple videos of peak, horse supply train to peak lookout, helicopter flying over on our way down."
52,5,"Another perfect morning for a hike.
Arthur's Rock.
#hike #colorado"
53,16,"Along the trail to St Mary's Peak
#stmaryspeak"
54,13,"Able to capitalize on some perfect weather again yesterday. Longest, hardest, but best yet.
#twinsisters"
55,36,"Few from Greyrock and Arthur's Rock, again. No matter how many times I do these I always really enjoy them. Great lil hikes to keep the rust off. Thanks @sayrarara970 and @backcountryben for enjoying the single digit trips with me!
#greyrock
#arthursrock"
56,5,"Florida you fancy!
Photo cred@beachyboden
#dinnerviews #portcanaveral #florida"
57,45,"Broke away from my weekly ""tune up"" hikes and made it to the top of Twin Sisters again, this time on snow shoes. @backcountryben and I enjoyed the amazing weather, breaking trail for a section, therefore having the summit all to ourselves.
Thanks again for the adventure buddy, look forward to the next.
#twinsisters"
58,50,"Another perfect day for a quick sunrise rip and chance to check out some new gear.
Great start to the day besides the deer in the pitch dark scaring the shit outta me when I saw the reflection of their eyes from my headlamp.. haha By product of solo sunrise trips..
#arthursrock"
59,31,"Bridal veil Falls falls and Gem lake today for a 14 mile loop with around 3000 feet of climb. Thankful for great weather, even better company, and that the pissed off moose was far enough off trail that we didnt have to run from it..
#bridalveilfalls #gemlake"
60,18,"Coco Beach pier and a full moon.
#cocobeach #pier #fullmoon #oceanviews #rollers"
61,5,"Some amazing views, beer and restaurants..
#themansion #florida #palms #orangeblossomhoneywheat #hellnblazes"
62,11,Random views of the Bitteroot valley/River
63,42,"Two weeks ago when we made a loop and went passed Gem Lake it was a full blown dumpster fire with people EVERYWHERE, lounging all over the rock. Got up at 4:30 to get up there so I could watch the sunrise, drink coffee, and enjoy the views minus people. WELL worth it.
#gemlake"
64,5,"Sitting under a tree and I look up.. This is what I see.. Efin creep..
#creepin"
65,5,"Jeep shit
#jeepsrt8 #jeep #6.1liter #wk1 #awd"
66,29,"For years I've been tellin myself I wanted to get out, hike, bike or whatever it takes to enjoy and explore Colorado. This year I finally made it happen. Todays trip puts me at just over 100 miles this year. The memories, the struggles, and the views have been nothing but incredible. Very thankful to live here and enjoy it with some amazing people.
#dreamlake #emeraldlake #lakehaiyaha"
67,5,
68,25,"Guess I cant say ""I never win"" anymore.. I feel like this makes up for all the contests where I was not victorious.. #donuthaus #fatkidstatus"
69,5,"True story..
#boost"
70,53,"As you can see a lil frosty today up Greyrock but another great adventure!
#greyrock"
71,5,
72,5,"😂😂😂
#winterhiking"
73,36,"We worked for this one, did not disappoint!
#blacklake #frozenlake"
74,24,"Came close to making excuses but when the best lady friend comes to town and wants to go, ya gear up and go.
REALLY liked this one.
#greyrock
@0kellylynn"
75,5,"Did the tourist thing today at Sea world.. Rollercoasters here were amazing! So was the high 70s weather.
@beachyboden #seaworld #rollercoaster #orlando #vacation"
76,5,Horsetooth Falls/Rock.. Perfect day/weather for a Colorado hike.
77,41,"BEAUTIFUL morning in Boulder, finally got to check out Royal Arch.
#royalarch"
78,5,"More from Black, and Frozen lake.
#blacklake #frozenlake"
79,39,"A week or so I shared a link to the Larimer County Sheriffs Citizen's Academy. It started Sept 11th and ended tonight. It's a ""class"" where you spend 3 hours a night once a week learning about a new subject each night such as patrol, swat, k9, jail/dispatch ect. Also there is one 8 hour field day where you conduct mock traffic stops, force on force drills, building searches and sweeps and crime scene processing. These are some pics of yours truly from field day. It is an incredible program where I learned a ton and was a great experience. They're enrolling now for the spring academy. Its 30 bucks so its inexpensive but a fair amount of commitment of time(13ish weeks). However I HIGHLY recommend it. Any questions if interested, let me know.
#larimercountysheriffsoffice"
80,22,"By far favorite hike so far this summer. I did this hike with my brother 22 years ago. This is the summit and and lookout of St Mary's Peak in the Bitterroot Valley. My friend Heather was quite the trooper to climb this one with me.
#stmaryspeak"
81,31,"Few more from snowy Greyrock
#greyrock"
82,5,"Colorado showing off this morning..
#coloradoskies #morningdrives #longspeak"
83,5,"A quick trip up Kruger Rock by Estes a few weeks ago.
#krugerrock"
