,number_of_likes,caption
0,5,⭐️⭐️
1,5,Sometimes good things fall apart so better things can fall together 💛🙌🏻🙏🏻 #lookingup #movingforward
2,5,Story Of My Life...
3,5,It’s Love @rpiereson
4,5,Missing these sweet babies tonight 👧🏽👶🏽❤️
5,10,On the days I need a smile.. 💓
6,5,💚🧘🏼‍♀️💫
7,5,Salt n’ pepper
8,5,🎂❤️👯‍♀️
9,27,We Can Only Go Up From Here🙌🏻
10,5,Happiness🙋🏼‍♀️💜 #thatGlow #itssomethingspecial #happiness #newbutbeautiful
11,23,🍀
12,27,Warm&Cozy Type Of Thursday
13,5,
14,5,Surrender 🙌🏻
15,5,From hot mess to shiny & sleek ✌🏼✌🏼#sundaynights #imapro
16,35,🌸
17,5,🌸🌸🌸
18,5,"For these children, I have prayed💫"
19,15,🙏🏻
20,5,Anything But Ordinary 🌻
21,5,"Beautiful day, beautiful dreams with beautiful people ☀️#soproudofhimworkinghard"
22,19,Morning Smiles With My Babe❤️
23,5,
24,7,💙 He Makes My Heart Melt 💙
25,16,"In a world that is cruel and harsh, I open my eyes everyday to these beautiful little humans who make my heart so incredibly full. In the darkest times, they shine a light that cannot be unseen, they fill the room with laughter that melts my heart & they remind me how incredibly blessed I am to call them 🖤MY CHILDREN🖤"
26,26,THANKFUL
27,5,"How am I so blessed to have such beautiful friends? I don’t deserve you, but man, am I thankful I have you. I love you. I appreciate you more then you’ll know. We will climb those mountains together, for eternity. I love you @brittney2816 ❤️❤️❤️❤️❤️❤️❤️"
28,5,🙏🏻
29,5,My World
30,5,🙏🏻
31,20,⭐️We Are Only As Beautiful As We Choose To Be⭐️
32,13,👑
33,5,🤘🏼
34,5,#GodsPlan
35,5,🙏🏻
36,5,It’s the little things that matter 🍉☀️🦋
37,5,My Little HeartBreaker❤️
38,24,Adult Spring Break=Coffee & Mornings Alone... Oh & Hoop Earrings 🤷🏼‍♀️💗☕️
39,38,She Remembered Who She Was & The Game Changed
40,5,You make the ride worth while 💜
41,5,🙏🏻
42,15,That Sweet Love🖤
43,10,"Today I woke up thankful for my two beautiful babies who have showed me the meaning of unconditional love, sacrifice, faith, hope and dreams coming true. You have given me the one thing that I’ve always needed.. to be a mommy. Thank you for choosing me. They have given me meaning in my life and shown me how to walk with God and appreciate the blessings that I have been given. Today I celebrate them 💜💛 #Graceontheleft #Kaiontheright #siblings #mybeautifulbabies"
44,5,#energy
45,5,☀️
46,5,🔥🔥🔥
47,20,New days. New beginnings. Positivity. Always. #wearestrongerthanwethink
48,20,Friday Vibes.
49,5,A beautiful sight in the mornings ❤️ #sunset #mybabies
50,14,Black Panther & Blue Lipstick = Nothing Better 🤙🏻
51,5,🙌🏻
52,5,Missing My Other Half❤️
53,5,Ain’t No Love Like The Love I Got😍
54,5,"What every woman needs in times of stress... A Bubble Bath, Wine & Tha Carter V 🧖🏼‍♀️🍷🛁💽"
55,23,🥂Madison Crew🥂 SO blessed to be invited to celebrate with Hannah & Steve on their beautiful day. Your love inspires all of us 💛💍👑🥂🍾 @mreliford @jdo1985
56,19,🖤
57,5,My 💞
58,23,I Do It For My Babies. Now I have a daily reminder. 👧🏽👶🏽💜
59,5,☀️#beautyatitsfinest
60,5,💛My.Whole.Entire.World💛 How did I get so lucky? #theychoseme #iamblessed
61,5,My Beautiful Baby 🌼
62,5,#imoverit #ishouldbe1st #imgoodbymyself
63,25,Last night tho 🤷🏼‍♀️ #evenflyasamom
64,5,Proud Mom❤️
65,35,It’s time to finally close a chapter of my life... one that brought me so much pain and unhappiness.. but also gave me 2 incredibly beautiful children. I’m so thankful for my babies that I can never fully regret my marriage. I’m thankful that I didn’t spend my entire life with someone who never fully supported or loved me in the ways I needed.. && even more thankful I found someone who gives me everything I need & more. Divorce papers signed=time to partayyyyyyy🎊🎈🎁🥂🍸🍷 Thank you to everyone who supported me through my darkest times and to those who stayed and weathered the storm with me. I love you all so very much❤️❤️
66,5,To darkness becoming beauty... 🐛—>🦋 #beautifultransformations
67,5,🙈
68,5,Your hugs are all I need in this world 👯‍♀️
