,number_of_likes,caption
0,12,Just got off the with @monibrew2012. I miss my sister 😔 #fbf #DC #VA #eastcoast #maybemynextcity?!??!?
1,10,Packing up Kelsey's apt and found this treasure 😍 #partystarter @kels_daddy @reeseu85 why didnt we drink this graduation night?? Lol
2,35,Since Day 1 @keena_p_ @da_troche
3,57,#PoolTime 😎☺️
4,7,#sick 😷😓😣
5,40,Below Zero Vodka🍸💨
6,181,"Thirty & Thriving 🥳

Thank you to everyone who celebrated with me this weekend whether in person or by words!!! I have never felt so much love from so many people. Definitely excited for this next decade and all that God will bring 🤗"
7,27,"Happy Birthday lover!!! Cake, candles, greeting cards, gifts, and all the trappings of the birthday tradition, don’t come close to what I wish for you on your special day ☺️💗🎉👑 #SYT #SYT #SYT (ps we need to take more pics lol)"
8,21,@missdiose @aprylmslove @kels_daddy #nocaptionnecessary
9,13,*music plays* Tequila! 💃 #nationalTequilaDay #celebrate #feelingmyentireLatina haha
10,20,#LUCKdallas #40Taps #trinitygroves #beer #localbeer #TXbeer #DallasBeer
11,47,"Happy Mother’s Day to my mom, and big sister who thought she was my mom growing up 😄 Love you ladies to the 🌙💕 ps. Isn’t my niece adorable?!"
12,62,Hiked over 6 miles today 🤗 #nofilterneeded #colorado #home #bestfriends #adventures #sundayfunday
13,45,"My mom just texted me this pic & said ""Throwback Thursday""lol im killing the pose & where are my front teeth 😩😩 😂😂"
14,48,Swagger on a hundred thousand trillion.... Or nah? 😂😂 #tbt
15,71,Real Life requires Real People & y’all are the realest! 😄😊💗
16,36,All black everything
17,17,Im not big on cooking so if I cook for you then you know you're special
18,54,Even on my weakest days I get a little bit stronger
19,19,
20,20,Happy Birthday Josalineeee 😜🎉💜🎈😘 No one understands my complicated ways more than you- i guess its a Sag thing 😉 lol #amillionUsies #decemberbabies #madeinthe80s #1988
21,28,&it would not have been a party without @d_a_troche aka Mr Life of the party 😉 lol thanks for everything!!
22,21,The Vegas Crew #noNewfriends
23,16,#tbt #austin @praetornick 's wedding in 2012. Heading back there tomorrow!! 😁😁 @monibrew2012 @missdiose
24,35,Definitely didn't think I would do this but I did! #austinreptileshows #happybirthdayJaz #RIPBennyBoom
25,104,I love random adventures with these ladies. Even if it is 18 degrees 🥶😄
26,29,👯 #mdw
27,9,It was a great day 😊
28,15,At it again... #theycallmeJudy #DiosefuckedupmeandKelseyspic #longasshastags #doyouknowwhatimsayin
29,18,How I'm spending my lunch break... I suck at bowling though 😁😁 #MainEvent #CompanyPaid #HappyFriday
30,12,Ready for the fight! #CakePops #BoxingGloves #FightingFaces
31,6,#workinghard or #hardlyworking
32,11,Last night was mad trill @kels_daddy
