,number_of_likes,caption
0,14,"Wow what a year!! So many incredible blessings in my life both personally and professionally!
I’ve gained so much this year! 🏋🏾‍♀️🧘🏾‍♀️💍 Now is the time to look into 2019 and ask yourself what do I want to accomplish? Where do I want to be?
If reclaiming your health is on that list, I would love to help you. Private message me your goals and let’s create and obtainable plan for you!
How great would it be to set not a New Years resolution BUT a New Years sustainable goal!! 🎉
.
.
.
#newyear #newyou #bestlife #weightloss #healthylifestyle"
1,27,"Feeling super encouraged and empowered after today’s church service! It was mentioned today that God wants us to be alive and loosed vs alive and bound. .
How fitting that I’m on this Optavia journey to loose myself from so many unhealthy habits I’ve acquired over the years! Loved the parallel I was able to make today ✨
.
.
.
.
#lifelongtransformation #churchflow #weightlossjourney #optimalhealth #mybiggerlife #havefaith #clcaustin"
2,5,"Health tip!! Don’t eat out of the bag!! Portion out those pretzel thins 👌🏾
.
.
.
#healthcoach #healthyfood #lifelongtransformation"
3,5,"It’s Friday! End the week strong! ☀️♥️
.
.
.
.
#shine #sunshine #fall #friday #weekend #thrive #healthcoach #atx #mybiggerlife"
4,5,"I feel at home in my body, something I’ve wanted to feel for sooo long !
I feel in control of my physical, mental and emotional circumstances 🙌🏾 I feel free of the hang ups that stopped me from living my life to the fullest!

I feel amazed every time my body allows me to run on a treadmill! 🏃🏾‍♀️ I feel forever grateful to have found a program that has not only taught me sustainable nutrition but ALSO promoted incredible personal growth 😌

I feel that it would be selfish to not pay it forward and guide others through their own journey to health!
Overall I feel joy 🤗"
5,24,"My program will set you up for a lifetime. I know about the slippery slope that leads to the yo-yo.
I also know about the joy and confidence that comes from learning sustainable nutrition. Take the leap and experience that same freedom for yourself ♥️
.
.
.
.
.
#lifelongtransformation #mybiggerlife#growth #joy #yoyo #healthcoach #healthyweight #lifestyle"
6,5,"SOOO excited to finally be able to cook with these bad boys!
Big thank you to my lovely Aunt and Uncle for them ♥️ #adulting #marriedlife #healthyfood #healthyliving"
7,5,"BBQ meatballs and cauliflower rice! Omg so good and satisfying. I wanted some comfort food on this cloudy day and this hit the spot! 😋 DM me for the recipe!
.
.
.
.
#yum #meatballs #healthylifestyle #healthyfood #comfortfood #healthcoach #wellness"
8,5,"It takes a certain amount of courage to step out of your comfort zone and change your entire lifestyle. I’ve prayed consistently for help in making some of these big changes in my life.
Feeling great on this Monday!🤗
So thankful that He made me brave enough to take a chance and try this program.
.
.
.
.
#lifelongtransformation #faith #courage #journeytohealth #blessed #clcaustin"
9,5,Perfect snack! New fave is snap peas!
10,21,"The rain let up for a minute so I skipped the yoga and opted for a walk. It was awesome 😎 .
.
. .#mybiggerlife #walks #rainydays #smiles #healthcoach #journeytohealth #healthylifestyle #healthyweightloss #atx"
11,5,"Seize the day!♥️
.
.
.
.
.
#lifelongtransformation #mybiggerlife #fulfilled #healthcoach #passion #faith"
12,5,"Nothing like a good side by side to remind me of my goals on a Saturday afternoon!
4 years ago on the Left ⬅️:
Hated wearing our dress because my panty hose cut into my stomach and constantly rolled down.🙅🏾‍♀️
My feet would kill me in heels regardless of height!
I could never find the right size, too tight size 14/16 or too big size 18!
Constantly turning sideways to make it down the aisle!

Today on the Right➡️:
LOVE wearing our new signature dress, it’s a loose size 8 🎉! My panty hose stay up ALL day!
I forget I have my heels on inflight because being 70 lbs lighter makes wearing heels 👠 10x better!
I glide down the aisle with ease and it’s an incredible feeling 🤗! This program has been an absolute chain breaker for me 🙌🏾 .
.
.
#freedom #healthcoach #flyhealthy #fly #weightlosstransformation #mybiggerlife"
13,23,"It’s so easy to get caught up in what other people think , are you happy with your health? Are you happy with where you are physically and mentally? If not I would be happy to help ♥️
.
.
. .
#makeachange #healthylifestyle #biggerlife #growth #challenge #healthcoach #atx"
14,9,"☀️ It’s a new week!
.
.
.
.
#newweek #freshstart #monday"
15,21,"One benefit of waking up 2 hrs early, I got to start my day right 🤗🙏🏾🧘🏾‍♀️🎶 I got to reflect on my life and think about how truly blessed I am ! Wow.. just so grateful!
.
.
.
.
#devotion #health #wellness #yoga #mornings #early #rise #healthcoach #blessed #favor #glory #mybiggerlife"
16,19,"Rotisserie Chicken Salad 🥗
1 Lean
6 oz - Boneless Skinless Chicken Breast
1 Healthy Fat
4 Tbsp - Sliced Black Olives 3 Greens
1 ½ cup - Spinach
¼ cup -Roma Tomatoes, chopped
¼ cup - Cucumber, chopped
¼ cup - Green Onion, chopped .5 Condiment
Freeby 2 Tablespoons Walden Farms Cesar Salad Dressing (0 Carbs)
1/8 tsp Garlic powder = .25 condiment
1/8 tsp Pepper = .25 condiment
.
.
.
#healthylifestyle #healthyeating #zerocalories #salad #leanandgreen #weekendvibes #journeytohealth #healhcoach #atx #texas #austinhealth #austinhealthcoach #food"
17,5,"I was sooo craving a burger yesterday sooo this weeks meal prep! A burger that won’t kick me off my goals! 😋
Turkey burger with salsa, 6 oz sweet potato, and a spinach tomato salad 👌🏾
.
.
.
.
.
#perfection #yum #burger #potatoes #salad #healthylifestyle #healthcoach"
18,5,"So many people are in the gym just spinning their wheels because they’re missing a key piece! The biggest piece, nutrition! I promise you nutrition will get you to a weight that is healthy and sustainable. Then you can add in exercise without the added strain of excess weight! Trust me it’s a game changer !"
19,20,Shine bright today and every day ladies!! Happy International Women’s Day 🌺☀️
20,15,"Not the prettiest photo but my goodness so tasty! I started adding in starches and this 3/4 cup of rice went a long way! Once you’ve recalibrated your body on the inside you can add in some old favorites... in moderation of course!
.
.
.
.
#healthyfood #healthylifestyle #rice #squash #chicken #cauliflower #healthcoach #flyhealthy #lifestyle"
21,5,"One choice can get you closer to your goals! The other can leave you looking back months from now wishing you would have started then.
.
.
.
.
#healthcoach #choices #dayone #goals #newmonth #october #healthyweight #journey #starttoday #lifelongtransformation"
22,15,"Started my day off with this blueberry biscuit and a cold brew! I usually drink black coffee but a little unsweetened vanilla almond milk is a nice treat 😋
.
.
.
.
#morning #breakfast #coffee #coldbrew #goodmorning #healthyfood #healthyliving #positivity #yum #fueling #fuelingmybody"
23,5,"Health is more than a number, it’s also a feeling of freedom.

Freedom I searched for, for 10 years prior to this program. Putting my body through so much including deprivation which in turn only added the lbs on!

Today I’m healthy, I’m happy and I’m free ♥️
.
.
#healthcoach #free #mybiggerlife #growth"
24,15,Goodmorning ☀️
25,5,"Veggies! & Boco Burgers! Such and easy inexpensive meal! 😋
.
.
.
.
#easymeal #noprep #healthyeating #healthcoach #caloriefree #salad #dressing #bbqsauce #sugarfree #atx #texas #tomatoes #cucumbers"
26,5,"This time last year I had been actively trying to lose weight for a about a month.
I think what if I would have never taken that first step? I would literally be in the exact same place if not heavier, most likely heavier … I’m so glad I took that leap and made the decision to invest in myself and my health!
Make a choice your future self will thank you for❤️
.
.
.
#leap #newlife #change #newyear #octoberchallenge #fall #healthcoach #newme #health #invest #lifelongtransformation #healthyweight #healthylife #pladshirt"
27,11,"Faith and fear can’t coexist! Happy Sunday everyone ☀️
.
.
.
.
.
#faith #lifelongtransformation #God #sunday #blessed #mybiggerlife #clcaustin"
28,21,"Much needed touch up today provided by the incredible Dorcas ♥️💇🏾‍♀️
.
.
.
.
#selfcare #atx #joseluissalon #hair #healthcoach #wellness"
29,5,"Here’s one of my closest friends who is also my Health Coach, she knew what I was looking for and knew my struggles. She walked me through the program and explained it so clearly in bite size pieces . Starting a new program/lifestyle can be overwhelming for a number of reasons. You need someone who can walk you through the process. So thankful for her ♥️ 〰️
.
.
Her words below😊:
“I look back on my old unhealthy habits and I’m amazed how easy it was to get stuck in that cycle. I am so grateful for everything I have learned through this amazing program. I am so passionate about these healthy habits and take true joy in sharing these habits with my friends and family.
One of my favorite parts is the fat layers burn off leaving you with well defined muscle!” Join us on this incredible journey to health! DM me for details 😊
.
.
.
.
#lifelongtransformation #friendship #roomies #journeytohealth #healthyliving #healthcoach #texashealth #atxhealth #atxhealthy #atxwellness"
30,5,"What does your highest self look like? Does it involve reaching a healthy weight ? Let’s talk about your health goals! .
.
.
.
#weightlosstransformation #healthylifestyle #mybiggerlife #goals #atx #bestlife"
31,18,"Love her album 🤗🙌🏾♥️
.
.
. .
.
#growth #peace #faith #mybiggerlife #hope #weekend #positivity #uplift #laurendaigle"
32,5,"Crock Pot Chicken Taco Soup
Inspired by New Beautiful Me ""Spicy Chicken Soup""

Ingredients:
2 cups reduced sodium chicken broth (2 condiments)
2 cups water
1 cup rotel diced tomatoes with green chilies (2 greens)
1 teaspoon reduced sodium taco seasoning mix (2 condiments)
1/2 teaspoon cumin (1/2 condiment)
1/4 teaspoon chili powder (1/2 condiment)
1 tsp minced garlic (1 condiment)
12 oz raw chicken breasts - should yield 9 oz cooked (1 1/2 lean)
2 cups cabbage, chopped (4 greens)
2 oz Kraft 2% Mexican Cheese for topping ~ 1/4 cup per bowl (1/2 lean)

Directions:
Combine chicken broth, water, diced tomatoes, taco seasoning, cumin, chili powder, garlic, cabbage and chicken in a crock pot. Cook on low for 6 to 8 hours or on high 3 to 4 hours. Shred chicken breasts in crock pot before serving. Pour soup into bowls and top with cheese.

Servings: 2
Each serving has 1 Lean, 3 Greens and 3 Condiments * If you do not add the cheese, use 16 oz raw chicken breasts which should yield 12 oz cooked

Compliments of Sandy’s Kitchen! 😋😊 .
.
.
.
#lunch #vegtables #healthylifestyle #healthcoach #eatwell #yum"
33,25,"Super excited to start training with these! 2019’s goal is to take my physical fitness to the next level ! .
.
.
.
#mybiggerlife #healthcoach #fitness #atx #weightloss #weightmaintence"
34,16,"Let’s make October your month! Let’s turn those dreams into goals! .
.
.
.
#october #newmonth #goals #lifestylechange #healthcoach"
35,5,"I’ll start with the good news!! 56 lbs ⬇️ since 9/1/17 🎉
1st pic shows that success! I owe that weight loss to the Ketogenic diet. Unfortunately, for me that weight loss came at a price that I’m now trying to recover from. At first, I felt great on Keto and I was super passionate to share it with everyone I talked to. I did a ton of research and I was confident in eating a high fat, moderate protein and low carb diet. I made sure I had plenty of low carb veggies, I switched to monosaturated fats after I got a slightly alarming cholesterol reading. I was determined to make Keto work because finally I felt like I wasn’t addicted to food, I loved the way I looked and I wanted to lose more weight.🤷🏾‍♀️ Fast forward to January of this year my stomach seemed a little flabbier than usual, this was accompanied by another side effect (I’ll spare you that tmi). Long story short my body wasn’t breaking down the amount of fat I was eating anymore! DEVASTATED!
According to the Keto diet app I was eating the correct amount of fat if not less. Needless to say this was the final “side effect” I was going to accept. I got out of ketosis and was stumped on what to do next. I figured I would stay “low carb”, since February I’ve tried to maintain a low carb version of Paleo, eating only 3 times a day and forcing myself not to snack ( often hungry). Two BIG Mistakes I made 1. Not being concerned about my protein intake throughout my weight loss 2. Upping my calories without adding physical activity. I've learned when trying to maintain weight loss and muscle mass those don't fly. Those coupled with MAJOR trigger cheats has left me with a malnourished body and a constantly bloated tummy!
Crazy thing is I haven’t gained a lb but I’ve lost so much lean muscle 😭! My digestion is so out of whack from the yo-yo cheat days it’s just a mess and I recognize the slippery slope I’m on all too well.
One of my besties Sarah is a health coach and has been wanting me to try it for months! So here we are ready to switch my brain completely off of Keto and trade up to a sustainable lifestyle!
#journeytohealth #healthylifestyle #lifelongtransformation"
36,5,"Make a positive choice for yourself today! 🌟
.
.
.
.
#positivevibes #positivethinking #selflove"
37,5,"I love these little reminders ♥️
.
.
.
#tea #winter #cold #burr #selflove"
38,38,"10lbs closer to my goal weight and it’s only been 18 days 👀! The sugar I’m holding represents the lbs I’ve lost!
➡️
Swipe left for my blooper shot 😂 my fiancé asked me if the sugar was too heavy!
〰️
.
.
My mind is blown I spent the last year learning nutrition and understanding how impactful food can be. FINALLY I have the missing pieces that create a well rounded healthy body! 〰️
.
.
I’ve read and studied intensely, it’s incredible to have knowledge that I can share with so many people ♥️ Yay for weight loss but HOORAY for Health!!
.
.
.
.
#mybiggerlife #sugarshot2018 #positivity #lifelongtransformation #healthyliving #healthhabits #freedom #healthcoach #atxhealth"
39,25,Totally worth the wait! The Broad was awesome ! 😎
40,41,"A new uniform for a new me! My first week back was great! I’m stronger, more health conscious and overall happier which allows me to be the best version of myself! I love this program ♥️
.
.
.
.
#lifelongtransformation #healthcoach #flightattendant #travel #flyhealthy #blessed #mybiggerlife #mybestlife #lighter #joy #passion #purpose"
41,5,"Honestly, I can’t even begin to tell you what this means to me. It’s not just the kind words she said about me even though they blew me away♥️. It’s the fact that I have the pleasure and honor of helping a someone on their journey. That’s what fills me up and sets my soul on fire 🔥 I have truly found my purpose and I couldn’t be happier 🤗 I always had the heart to help people and now I have the tools to do it in an impactful way!
.
.
#purpose #passion #healthcoach #journey #joy #ilovemyclients"
42,32,"Post church Sunday coffee trips seem to be the best ☕️😊
.
.
.
.
.
#barleybean #coffee #sunday #rainydays #daydate #atx"
43,47,"I did it for my partner, I did it for my future kids and most importantly I did it for myself ♥️ Who would you do it for?
Who else would benefit from you reclaiming your health? Think about it and share with me 😊 .
➰
.
Same location & lighting in our home in both photos. .
〰️
.
Picture on the left - I have a full face of foundation trying to cover up acne blemishes and give myself a glow. .
〰️
.
Picture on the right - no foundation needed, I’m glowing from the inside out! One of many health benefits I get to experience!🤗 .
.
.
.
#partner #love #soulmate #blemishfree #naturalglow #healthylifestyle #mybiggerlife #future #healthcoach #coach #atx #texas #joy #fiance"
44,5,"Food for thought 🤔
.
.
.
.
#growth #stretchyourself #health #healthcoach"
45,21,"I like to think I do anyway 😂
.
.
. .
#girlpower #healthylifestyle #exercise #healthcoach #cardio #atx #texas"
46,5,"Yum! Getting to experiment with new veggies for healthy snacks while I transition from weight loss phase to maintenance 🙌🏾 I never thought I would like raw veggies 🌶. Who knew 😋
.
.
.
.
.
#newbeginnings #weightmaintenance #goalweight #healthcoach #lifelongtransformation #healthyfood #yum #peppers #laughingcow #cheese #healthyweightloss"
