,number_of_likes,caption
0,75,"Extra basic, but worth it even if it’s just for an hour. ‘Twas Lit. .
.
.
#beach #clearwaterbeach #florida #tenshadesdarker #lit"
1,24,They let us use this for 24 hrs. So cool!! #beatsbydre #beatspill
2,28,Blues on The Green #botg #atx #zilkerpark #livemusic #kgsr
3,6,I look a Lil rough
4,29,I love you. ☺😍
5,53,The proposal on their four year anniversary. Can't wait for the wedding. #shesaidyes #engagement #surprised #love
6,21,McKinney Falls!
7,84,"Can’t imagine a life without facial hair ever again. Ever. No shave November. No shave ever
.
.
.
#noshavenovember #beardgang #barely #glowup #staylit"
8,6,Real life! And I'm about to go run in this shit. #texas #heat #weather #hot #sunny #crazy
9,7,
10,174,"Yesterday was awesome. Family and my cousin @laurenashley0204 wedding. Congratulations on your big day!!! .
.
.
#fam #weddingszn #lit #love #happy #dad #danceparty"
11,37,About to try to go workout in this 27 degree weather! At least I was smart enough to buy some gym gear for the cold this year!! Gotta get in beast-mode! #gymgear #gymrat #gymlife #fitfam #fitspo #cold #tired #motivation
12,33,The Girls and I after the concert! #sxsw #kendricklamar #spotify #spotifylive #sxsw
13,23,Baby brought me back an awesome hat from Cali. #snapback #hat #california #vans
14,56,Came to visit my uncle. It's been a hot minute. #lit #family #uncle #houston #🇯🇲
15,73,"Supporting princess Kiona aka @hownottotravellikeabasicbitch at her first improv show last night. Check out her PHD genius on her blog. @ldkaye out here being tall as usual, and my hair just continues to be beautiful. Amen! 😂😂 love my peeps. .
.
.
#thenewmovement #improv #atx #wecute #lit"
16,45,Being a tourist for the one millionth time in New York City with the fam! #itwaslitfam #merrychristmas #chrimmus #timessquare #lit #familytime #turnup
17,22,Mom just sent me this pic of me. 😂
18,71,That one time I won a tire flipping competition and then almost died five minutes later. 300 lbs. #fitnessiguess #tireflip #heavy
19,32,"I shaved, kinda! #beardgang #beardsofinstagram #selfie #seatbeltselfie #cheesing"
20,37,Blues on the Green!!! Whooo!! #bluesonthegreen #ilovemycity #austin #music #zilkerpark #zilker #blues #liveband
21,21,My saturdays! Summer time volleyball!!! #zilkerpark #zilker #volleyball #sports #fun #summersaturdays
22,19,Chillin...
23,28,Getting my paddle board on!!! #austin #texas #water #board #board #sun
24,39,My child lol. Love this little guy! #cousin #goofy #chillin
25,1,New Years Eve #timesquare
26,115,"They upgraded my favorite street art. I like it more now. .
.
.
#art #Galveston #noparking"
27,46,"Another original track! Snippet. ""Wishful Thinking."" #musicismypassion #music #piano #singing #musing"
28,83,How do you SXSW?!? #lit #sxsw #bae ##spotifyhouse #warreng #deepeddyvodka #atx #austin #mychristmas
29,1,Lucky Monster
