,number_of_likes,caption
0,5,#WCW I have been neglecting her for months now... Today was the day I finally spoiled her! She got the works in and out! She's been with me through the good and bad. Never had to argue about where to eat. Protected me from other stupid people around me. But most of all she lets me handle her how i want! Had to keep it PG and leave dat ass 🌈 out though! That is all!
1,5,#covercomingsoon #namethattune #youalreadyknow #keyboard #firsttimecover #newtothis #wheresmyguitar #bruno #wheniwasyourman
2,5,"#clc #austin #christianlifechurch #trunkortreat #familyfallfestival if you are not doing anything tonight from 6:30-8 come by Christian life church and enjoy great fellowship, food, and fun! Invite your friends and family! Hope to see you all there! 😊"
3,5,#picstitch #latepost #coolweather #express #nixon #chill #razoos #outandabout #endofthenight #ootd #kevinhart @dearestgeorgie @nrdelgado
4,5,Things you feel on your lunch break. #itisWRITTEN 🙌
5,5,#happy#birthday#outback#grubbin#goodtimes#thisgirl#awesom
6,5,#YouTube #covers #ukulele #guitar #singing #keyboard #like #comment #SUBSCRIBE #onlyifyoulike
7,46,"#palmsunday #worthyisthelambwhowasslain #serve #clc #austin #praise #honor #glory #toJesusChrist Today is the start of a celebration. The start of something much greater than us. Our lives are not our own, they were bought at a price. By the blood of our Lord Jesus Christ we are saved. Give Him the glory and the praise this week. He is so DESERVING of it. Love God, Love your neighbor this week and every week after!❤️🙌 #itisWRITTEN"
8,5,#pho #boutthatlife #cold #nomnomnom #nobigdeal #asian #starving
9,5,#lunch #chipotlewho? #imabouttodivein #iifym
10,5,#matchplay #3down #raining #grinding #dontcallitacomeback
11,5,#early #morning #austin #marathon #1168 #letsgetit #staycalm #livestrong
12,5,#sweet#sour#meatballs#quinoa#asparagus#healthy#cleaneats#movienight#postworkmout @natdelgado #onmylevel
13,5,#offtoday #training #austin #TVC #starbuckscoffee #jambajuicecup #thuglife
14,5,#happy #birthday #nina #nofilter #dinner #BJ's #summerdays #love #family #ineedtopostmore @chamorie @nathierae @nixnetwork @inenehu @bntt @lori_ann_p @heartns0le
15,5,"Such an amazing word at last nights service. If you need some encouragement and have been feeling down, I pray this finds you well. #itisWRITTEN #clc #austin"
16,10,"Come out and have a great time! Food, games, and fun! #CLC #Austin #ilovemychurch"
17,5,#Thelastday #6yearsofmemories #stonetreegolfclub #A-team It has been the greatest 6 years of service to the city of Killeen and Stonetree golf club. Great memories and great people.
18,5,#school #UMHB #cold #business #casual #bowtie #dreamgirl #fossil #rayban
19,5,Christmas Eve on the road. Happy Holidays 😘✌ @nrdelgado
20,5,LOVE. MERCY. overcomes ALL! #itisWRITTEN
21,39,If you don’t have plans Saturday come and enjoy some great company and delicious food! The food is great but the people are greater!!! #continnumministries
22,5,#getfit#golds#boss#healthy#goham#livelife @natdelgado
23,5,#pleasesupport #dallas #becomeaware #becauseyoucare any of my friends in the Dallas area if you can support this cause please do so. If you can make it one day or both days that would be great. Just found out about this but I will be looking into it.
24,5,#bonfire #chill #newfriends #mikey #guyswithcoolhair #getonourlevel #shoots!
25,5,#ootd #texas #cooldays #summer #rayban #donald #duck #sperrys #dayoff
26,5,#tbt #FTW #sixflags #FBGM #avengers #bonnie&clyde #firstletmetakeaselfie 😂😂😁😁
27,65,❤️ #UMHB #alumni #GOCRU #family
28,5,#late #post #daily #video #requests #motivated #ukulele #rebel #souljahz #takealookinmyeyes #savetheworld #onesongatatime #wellsaid #numerouno #callsmebruno #haha
29,5,#chipotleislife!
30,5,#dallas 😁
31,5,Been MIA on here. Not posting much but here's to the nice fall weather. PC: @nathierae
32,5,"brunch/ lunch!😁 so today's word was perfect! The chapters in our life do not dictate the story of our life. We may go through hard times, but keep going because you will come out of it better than you were. Our faith should be elevated in troubling times, because that is when God wants us to draw nearer to Him. Praise Him in both the good and the bad. I learned something so manificent today. I need to learn to not live in the good times/things of yesterday, but the blessings that God has in store for me today. He does not want you living in what was but what is. Have you been doing this?
#itisWRITTEN #clc #clclaustin #austin"
33,5,#mealprep #lategymsesh #chicken #asparagus #quinoa #failtopreparepreparetofail #tired
34,61,"#update #austin #newhouse #newyear #newbeginnings #2016 watch my snapchat for a tour of the inside!
@sirlawrencecruz"
35,5,#iifym #proteinsshake #greekyogurt #week5down
36,5,#takingitwayback #n64 #supermarioparty #austinliving
37,5,First day at the new job was great! Austin is my new home! 🎉🙌 #texasveteranscommission #accountant #newchapter #supportveterans #givebackyourway
38,5,#thankful #sisters #faraway #keepmegrounded #encouraging #love #forever&ever #happythankgiving!!!
39,5,
40,71,"These people are not just friends but they are family! I love each and every one of them! I am so thankful to be a part of such an amazing team that loves youth! We came together and poured out our love to our students and God showed up in a big way! While it was amazing fun before and after service what’s most important is that a handful of students boldly stepped out of their comfort zone and made the choice to accept Jesus in their heart! It was so amazing to just see and know God was working in their hearts just as he does in all of us. Excited to see what God is going to do in us and through us! Let’s go!
#clcstudents #bestyouthteamever"
41,5,#picstitch #art #austin #early #morning #formybro #hungry #cold ##allday #nbd #dreams @nrdelgado @nixnetwork
42,5,love you bro 😘
43,5,#Lunchbreakgains #luckyweliveaustin #34flightsofstairs #dontmarkmedownforcadio
44,5,"#first#day#school#cheesy
#AE#sperrys#HE>i#ready"
45,5,#Weekend #family #oklahoma #Winstar #gambling #ballin #sike #loser #ootd #fossil #ontheborder #sweaterweather #HE>i
46,5,#ITSABOUTTOGODOWN!
47,5,#break #time #nothin #on #you #UMHB #parker #bruno #hungry
48,5,#friends #party #starttheweekendright #austin #texas #nightlife
49,5,#morning #home #sunny #ukulele #treasure #requested #brunomars #offtoschool #thatisall
50,139,Winter is coming... it’s here ❄️! PC: @cesarsa95
51,5,#sunday #morning #jacuzzi #jamsesh #ukulele #workflow #family #longnights #earlymornings #maroon5 #thatisall
52,5,"#nofilter #imhangry #goodeats #homemade #BACON #makeseverythingbetter #shimp #veggies #whiterice who ever said you have to eat salad when you are cutting...tell them they can have it. Portion control, macros, micros, and once in a while treat yourself. It's a journey! Enjoy it!"
53,5,Chicken cutlet with homemade pesto sauce sautéd onions and potatoes:)
