,user_posts,user_followers
adizz82,550,315
blake.kelch,663,626
briannanmoore13,1076,1555
caseybarnold,335,699
cclay2,196,630
copperhead_etx,122,471
faithandfuel,170,653
fitness_with_mercy,625,823
fresco5280,373,881
happy_hollydays_,149,828
jhousesrt8,93,176
_knesbitt,237,391
mckensiejoo,409,322
oletheamclachlan,158,113
phensworld,459,885
richardrobinsonmusic,1391,2146
sirlawrencecharles,324,540
keilam7,321,965
dr_kerrie,267,1145
pina.risa,398,1029
presmith,524,542
giftedhands_crochet_and_crafts,262,326
jeffersonmason4,468,30200
dmdanamitchell,295,14900
suntanned_superman_,1444,975
laceycooley,1181,655
goulding_jr,607,3406
