,number_of_likes,caption
0,14,Happy Valentines Day to us!!!
1,40,"It’s Motivational Monday!!!! What are you grateful for today? I write in my gratitude journal every morning, so that I can set my day up POWERFULLY! Reflect, Renew and revive your mind to find your inner PEACE!!! #motivationmonday #motivation #visyoulizers #visyoulizersquad #herbalife #herbaliferesults #grateful #gratitudejournal #gratitude #ﬁtness #austintexas #mondaymotivation"
2,24,Its Official...Let the planning begin 😄❤️🙏🏾#engagement
3,5,Race time!
4,24,Going LIVE on FaceBook this Saturday @3pm!!! Topics and FB info can be found below!!!! 👇🏽👇🏽👇🏽👇🏽
5,37,Let’s Goooooo!!!! Change is everything! Who’s next?!?! It’s a mindset and I’m ready to support you on your new health and wellness journey as well 😊🔥❤️💯#fitness #fit #austintexas #austintxsts #visyoulizers #ChangeYourLife #herbalife #herbaliferesults #herbalifenutrition #austintx
6,54,"The VisYouLizers!!!! Setting up our lives for success this weekend in Dallas, TX 🔥🔥🔥🔥🔥🔥🔥🔥 #herbaliferesults💚 #austintexas #herbaliferesults #fitnessmotivation #herbalifenutrition #herbalife #herbalifecoach #leadershipdevelopmentweekend2019 #ldw2019 #visyoulizers #visyoulizersquad"
7,6,This guy is drumming with his feet...playing the keyboard...guitar and singing all at the same time!!!!
8,5,@uniquespraypaint ❤️ it #NYC #workvacation #spring2016 @mochafrap7
9,16,Manor Cheer Team in the building!!!!!
10,14,Morning Hawaii run! #7am
11,6,
12,46,Happy Winning Wisdom Wednesday!!!!!!!
13,5,Loved the movie premiere last night! #support #actor #hehasagift
14,25,Ready for the Nu Destiny performance! Great spirit filled group! @soulgospelistic love you baby!
15,9,If you are in Houston check my girl @treegmusic out ❤️❤️❤️❤️#good🎤🎼#goodvibes #Nov.11th #bethere
16,30,"What are you declaring today?

#motivation #changeyourlife #changeyourmindset #saturday #saturdayvibes #affirmations #positiveaffirmations #affirmationsoftheday #dailymotivation #dailyaffirmations #visyoulizers #declarations #declarationsfor2019 #austintexas #houstontx #ladiesofdistinctionest2012"
17,1,Vacation time! Arkansas here we come!
18,24,"I was so happy to attend and bring some of my young ladies who are apart of my non-profit organization, The Ladies of Distinction, INC. to the BigAustin Working Women Coffee Talk. @ninaberenato was absolutely amazing! She spoke from the heart and truly inspired our young women and myself! She is an amazing business woman and you should check her jewelry store out in the Domain! Handcrafted jewelry! #motivation #jewelry #ninaberenatojewelry #ninaberenatojewelrytogo #ninaberenato #mentor #mentorshipmatters #mentorshipprogram"
19,18,2 Year Anniversary Cruise is BOOKED!!!!!!!!! Robert and I will be leaving from Puerto Rico and heading to Barbados!!!! You only live once!!!! Travel as much as you can 💯❤️🙌🏽🔥 #wecruise #cruiselife🚢 #cruise #cruises #cruiseaddict #cruisetravel #anniversary #visyoulizers #visyoulizersquad
20,26,"Who had their HERBAL tea today??? ☕️ Energy + metabolic BOOSTER =WINNING
#herbaliferesults #herbalife #herbalifetea #herbalifetea🍃 #herbalifeteaislife #visyoulizers #visyoulizersquad"
21,18,Love these girls! @_divine_chocolate @mochafrap7 @treegmusic
22,22,"It’s Thankful Thursday!!!! Starting my day off with my WORD, writing in my gratitude journal and listening to @iammiketodd for my Personal Development today! How are you setting your day up powerfully? Drop your comments below 👇🏽👇🏽👇🏽 #visyoulizers #visyoulizersquad #thankfulthursday #gratitude #grateful #motivation #changeyourmindsetchangeyourlife #changeyourmindchangeyourlife #herbalifetea #austintexas #austintx"
23,32,It’s Transformational Tuesday!!!! Here is my affirmation for today. Drop 1-2 affirmations that you will tell yourself today 👇🏽👇🏽👇🏽 #transformationtuesday #tuesdaymotivation #fitnessmotivation #fitness #herbaliferesults #herbalife #herbalifenutrition #visyoulizers #visyoulizersquad #affirmations #positiveaffirmations #affirmationsoftheday
24,4,Soul Food hmmm #thisishowweeatinDallas
25,2,Cowboy Stadium
26,11,Roscoe's Chicken & Waffles...YAAAASSSS #Hollywood #Cali
27,18,Riverwalk! SA was fun! Great food and activities.
28,13,
29,12,My mom and I at the Great Educator Ceremony at the White House!
30,5,This seat is dope!!!
31,28,The Whispers Band 😍😊#Urbanfest2017
32,6,Johana Hayes (National Teacher of the Year) and I. She rocks 😄
33,1,Help me!!! I can't deal!!
34,22,Pic from 2 year anniversary dinner!
35,7,In his zone! He brought the word today. Glad to be by his side.#agoodman
36,36,Please help me welcome my two new business partners! They officially joined the VisYouLizers Squad and are ready to change lives through health and fitness! Herbalife Distributors and Health Coaches 💯🔥😊 #herbalifenutrition #herbalife #herbaliferesults #fitnessmotivation #fitness #motivation #visyoulizers
37,10,Best Sunday ever!
38,9,Flowers at work! I have the best guy ever!!! Feeling sick...something to help me feel better #RobertWalkerJrsmoochessssss
39,46,Today was a fantastic day!!! My baby sister and mom both graduated from UHV!!! They will continue to be great and I pray for my sisters success if she chooses to accept her new job in CHINA!!!! #greatness #mindset #austintexas #china @caitlincartertx @trueessence1908 @soulgospelistic @loveunconditionally77
40,6,Watch out for these hair stylists and barbers! #clippersdotalk Coming soon! Web series! Great job tonight!
