,number_of_likes,caption
0,180,"Picasso said “every child is an artist, the problem is staying an artist when you grow up.”
⠀⠀⠀⠀⠀⠀⠀⠀⠀
As a kid, I had a sense of wanderlust, that there was always something to explore right outside my doorstep. Somewhere along the way I lost some of that adventurous innocence, saddled with life’s typical burdens of external/internal pressure, paying for school, figuring out my future, figuring out who I was, and figuring out my impact on the world. But over the past year and change I’ve slowly been taking me back. One of those ways is by reclaiming that exploring kid inside and everything he unlocks. (Take me exploring with you, send me ideas, and let me know if you want to come along)
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#AsKanyeSays... (there’s a Kanye quote for everything)
“My childlike creativity, purity, and honesty
Is honestly being crowded by these grown thoughts
Reality is catching up with me
Facing my inner child, I’m fighting for custody
With these responsibilities that they entrusted me”
“So I still won’t grow up, I’m a grown ass kid”"
1,3,#tetonscienceschool #npsacademy13
2,4,#northcascadesinstitute #youthleadershipconference#ylc
3,7,#slugger #sammysosa #fivetoolathlete #myeraisskyhigh #allstar ⚾⚾⚾
4,17,When you want to succeed more than you want to breathe....hire coach @sircharis for all your motivational speaking needs 😂
5,42,"Real life still happens off of the internet, right?"
6,10,Oh hello childhood...I almost forgot about you #tbt #paperplane
7,122,First professional headshots. Say #cheese 😁
8,16,Days begin with fiery sunrises and I'm gifted with a blazing DC sunset to end yet another busy day.
9,52,"So...this happened today. Bands may make em dance, but whoever figured out the secret to getting the parentals to smile like this deserves an award. Good to see them smiling. #GouldingGoofs"
10,18,#brothers #siblingday @sircharis now we here
11,35,"Happy birthday to the namesake, the example, THE GENERAL, the librarian, the boss, the life coach, the backbone, the sacrifice, the creator of ""The Team"", the guide, the rudder, my father.... Courtney Goulding."
12,91,"They say what goes up must come down,
but I ain't reach my cruisin' altitude
Take a look at what I did,
but can you imagine what I'm about to do?
(Ludacris)"
13,118,
14,4,"KELLY, WYOMING 3/1/13, 4:40 pm #Travelgram"
15,56,"#TBT looking back three years at the moment where my path towards my passion started. Standing here on day one of my first trip on Ross Lake experiencing and learning in nature right alongside these teenagers, building connections and growth. No matter my job title, that will always be a part of who I am and what I do.
——————————————————————
#NCWild • #youth • #ncascades • #mentoring • #leadership • #neverstopexploring • #nature • #youthoutdoors"
16,7,Tonight's entertainment...a fitting end to a great day #foosball #cleanfun #family #competition
17,104,
18,120,
19,30,This will forever be my Sunday mood...courtesy of @hope_outdoor_gallery_hog
20,21,And the rocket's red glare....
21,24,Caught this little thing stowing away in my suitcase. #blackwidowspider
22,69,"✈️ • 🌄 • 🏔

Glad to be home after an awesome week of the Natural Leaders Legacy Camp in Austin, Texas. Pumped from the community created there and the leaders who will be a force in their communities!

#wingpic #sunset #mountains #Seattle #igers_seattle #NaturalLeaders #LegacyCampATX #NeverNotWorking"
23,56,Candid bus shot of mini #Minnie and her mini fish
24,37,🍁🍃🍂
25,61,"Because mountains.
#GrandTetons #GrandTetonNationalPark
#📷 #myGTNP"
26,85,
27,132,"Today is #InternationalWomensDay, a day in March (which is Women's History Month) set aside to honor women and to celebrate women's achievement, raise awareness against bias, and take action for equality. It follows Black History Month, which should mean that Black women have a whole two-month spotlight where their long lists of efforts and contributions to society are amplified. It should be two months of society reflecting on how new realities can be shaped by those who come from identities that have long been marginalized, because a system led by/created for those communities works for everyone. However, that isn't the case. When it comes to history, the story of women, particularly Black women is largely one of exclusion, silence, absence and bias
⠀⠀⠀⠀⠀⠀⠀⠀⠀
If you look around, we’re facing a lesson that history has tried to teach us so many times in so many ways. Over and over we’ve been reminded to “listen to Black women.” Over and over again history shows a pattern of white people (including white women) and yes, even men of color co-opting, using and discarding their energy and investment instead of supporting their role as leaders
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Over and over again, I’ve seen examples of the silencing of Black women in many different ways like the """"""armor"""""" (read lack of accountability and privilege) that being white can afford someone’s social platform. As Jenn M. Jackson says, ""I am reminded how so much of what I remember is rooted in the erasure of darker-skinned, poor and working-class, queer, and trans black women who contributed significant work to make this country a freer place.""
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Time after time we forget or willingly push aside the call, and since we don’t learn, history repeats itself. So let’s do some learning. Check out the link in bio to take a walk through a historical timeline, to listen to the voices/quotes of Black women, and to learn from past mistakes, paying attention to the examples of what happens when women speak up and the benefits that are possible when Black women lead
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Note: These are only a few examples, this is not an exhaustive list. I encourage you to do your own research and add your own evidence"
28,4,Snow Cat Attack doubled up at #npsacademy13 #scaserve
29,25,Thank you for this food...amen.
30,22,Seattle sunsets 💯 #seattle_community
31,182,"This is a post about a journey, but not one of the outdoor adventures that you’ll see me post about from time to time.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
In a culture that has historically stigmatized the public discussion of mental health, especially for Black men, this journey is a present investment in my healing and my #BlackFuture. (I’ll probably get a few texts saying I’m being too emotional or sharing too much but I don’t care. This is not weakness. 🤷🏾‍♂️)
⠀⠀⠀⠀⠀⠀⠀⠀⠀
I believe that people often act without truly understanding their own intentions, their deeper motivations, and the internal trauma that results in external actions. I’m not perfect, so for me, that lack of understanding has affected the way I live, love, and lead. It shows up in insecurities, overthinking, depression, and stagnation. I don’t list those things as trophies of suffering, but as context, as the pieces that make up my journey just as much as any of the rosier parts that are easier to handle.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
So my path to better #MentalHealth and trying #therapy means I first had to acknowledge those deeper roots I had not addressed. I had to understand the impact that people and the world have had on me, so that I can be more intentional with and aware of the impact that I have on the world and people around me. In order to make the world a better place, I have to start at home. #ItsOkNotToBeOk
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Just as with many other areas of growth, it’s not an immediate transformation for me. It’s a process, an exploration of the space outside of my comfort zone. It’s a mindset that has to exist outside of my therapist’s office, that supports my understanding of others and the challenges people face. The more I unpack my baggage, the more capacity I have to hold space and empathy with others as they walk similar roads.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Check the link in my bio to read a little bit more about my learning, as well as some of the role models speaking out, and tools people are creating to support. But I encourage you to figure out what works for you and give it a try. It’s well worth the exploration. There are tons of resources out there, and I'd love to hear what you do in order to build your mental strength as well!"
32,24,What my morning looks like #book on a #lake
33,27,You might not want to go outside right now depending on where you live....but just saying
34,264,"Wakanda and family forever. ✊🏾
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#BlackPanther #WakandaForever"
35,26,It's a mindset.
36,36,"Graffiti = character, creativity added to a bland world (not a school, an ad agency)"
37,58,
38,18,
39,32,"💯
I won't even be mad. I appreciate the people who can be honest and frank with me. Those are true friends, rare gems and hard to find."
40,21,And sometimes the drive home looks like this.... #mtrainer #seattleviews #mysummer
41,33,DC Metro
42,31,"I've 'fallen off the map' again. Found my way to another place where there is no phone service, disconnected in part from the world.
But once again, that disconnect allows me to connect with my passions, with people, with who I am at my core.
#sc3 #greenschoolsalliance"
43,115,"Odes to Strong Tears
⠀⠀⠀⠀⠀⠀⠀⠀⠀
To the person who’s been forced to be strong
To the fight to fit, the battle to belong
To the clenched fist, the yearning heart
To the close connections miles apart
To the brightness of your light
To the times you’ve caused the shadow
To the darkness of the night
To the deep internal battle
⠀⠀⠀⠀⠀⠀⠀⠀⠀
To the taste of intimacy and the cure
To the lack of occupancy in the pure
sections of the heart, of this, you can’t be sure
Scars from other’s past mistakes, and cracks from yours
Leave foundations shaken, stirred up, insecure
⠀⠀⠀⠀⠀⠀⠀⠀⠀
To the isolating walls built for safety
Windows barred, doors are blocked and locked the gate, keys
are hidden here with hope and having faith s/he
can calmly knock and sit although you’ve told them “wait please,
Take these
eyes, these windows, glimpses to my soul
Take these
tears and hold them, listen as they roll
Take the good, the bad, the poison and the gold,
Take my origami heart let it unfold”
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Here’s a warm embrace
To the arms tired from picking themselves up
Here’s a shoulder to lean on
To the neck tired from ‘keeping your head up’
Here’s a place to lie or sit still
To the legs tired from standing tall
Here’s to strong tears.
Here’s to those who cry them and get up to meet the next day."
44,11,Seattle Children's Play Garden
45,25,Life is really about the impact you have on others.
46,24,#huntsville #sunset #nofilter
47,10,Broken. Ankles. #snapsnap
48,29,"Blessings on blessings on blessings.
#ViewsFromThe3rdFloor #Seattle #Sunset #igers_seattle"
49,22,"Baby me...back when I was serious about this ""natural hair"" thing. #bigchop #bald #babyme #tbt"
50,189,"S Q U A D S
S A N D B U G G I E S
S U N S E TS
⠀⠀⠀⠀⠀⠀⠀⠀⠀
(On Southern Paiute Land)"
51,131,"Stories From Home: It was a much needed break, spending time talking to my cousin about life, his path through college, photography, goals and ambitions. You're 5 months from the finish line @thebarberstable, and on the road to big things!"
52,22,Haha remember this day? @cupcakeclouds @sophieiszeus
53,12,
54,30,DC Days #LincolnMonument
55,25,👌👔Started from the top and now we here....sad shame. #babyme
56,18,My morning and my morning ritual. Today's book: Tuesdays With Morrie
57,7,#fastbreak #babyballers #jimmer #buckets #treyball #lisaleslie #cantseemysquad 🏀🏀🏀🏀🏀
58,13,True. #Discipline is something I'm still #learning
59,53,"""We are the descendants of a stolen people, but are on their shoulders here today—together—to support these children and our community, our future."" #100BlackMenSeattle #SeattleHigh5 #forthekids #ourfuture #BHM #Kente #KenteCloth"
60,9,Missing these people and this place @christeenyweeny #northcascades #summer #mountains
61,27,Wise words
62,38,"This week at the Student Climate & Conversation Congress (Sc3), our group's service project focused on creating a better salmon habitat by planting THIRTY SEVEN trees in one morning. But all work and no selfies makes Jack a dull boy so... #greenschoolsalliance #sc3"
63,45,"""I can teach you how to catch"" -Jimmy Graham @thejimmygraham

Probably one of the only people I'd let tell me that. I tried my hardest not to be a groupie. 80% success."
64,84,"Fresh Tracks 2016 highlights:
Sometimes it just feels like that kind of day. Here Tuya, one of the sled dogs in Denali National Park's kennels, just hangs out Snoopy-style on the roof of his little house. His real work comes in the winter, when he will lead sled teams on all sorts of expeditions in the wilderness where mechanized vehicles cannot go."
65,30,Somewhere in Seattle...
66,23,"🔥🔥🔥🔥🔥🔥🔥🔥
#Chance3
#coloringbook"
67,12,Leaders. In nature. #naturalleaders @naturalleaders
68,22,😎 ENJOY LIFE 😎
69,109,
70,79,"One last photo for the night. I saw a quote today that said ""the key to success is to start before you are ready."" I've always had an interest in photography (and design to a lesser extent), but never pursued it, just picked it up whenever it came my way. The last few weeks I've motivated myself to take that step in confidence, knowing that my investment is destined to end in success (whatever that looks like). What about you, what interests/passions/goals are you waiting to step towards?
••••••
Side note: If you want to be the subject of my photography practice or have cool ideas of places to shoot, send me a message!"
71,45,Spidey and I taking over #EarthDay in Seattle with @the_sca
72,35,"Or as a wise man once said:
Breathe
Stretch
Shake
Let it go"
73,44,"I will always find myself in complete awe of places like this
#GrandTetons #GrandTetonNationalPark #myGTNP"
74,10,"Thankful to God for another year of life, for family and friends who care, for giving me a purpose and sticking with me when I fall. #birthday #grateful @sircharis @kimmykalon @kiddfloetry @sophieiszeus @baloncesto_viviendo_23 @bczgurl19"
75,5,#family 😄
76,17,Kicking off SHIFT (Outdoor Rec and Conservation Summit) here in Jackson Hole. Glad to be here with the @naturalleaders training the youth delegates in the art/science of facilitation and networking with all these industry giants! #LearnThenTrain #YouthVoices #SeatAtTheTable? #UrbanYouthPerspective #ShiftJH #NaturalLeaders
77,70,
78,7,#rosslake #northcascades #ncwild #devilscreek
79,154,Just a little window of color....
80,31,Growing people...starts with ME #ONamission #seattle @outdoornation
81,5,#ncwild #northcascades #rosslake
82,17,There's always another side to the story.
83,27,#grandma #hands #desireofages
84,29,Last night playing #ball before I leave #home. HAVE to find a place to play in Seattle. 🏀🏀🏀🏀
85,79,"I'm working with a leadership and cultural exchange program for two weeks called Fresh Tracks. Participants come from the Los Angeles area and all across Alaska, meeting to learn about other cultures, grow as leaders, and gain connections to create change in their communities.
Here, Cameron looks over HIS city and reflects right before he leads a tour of the culture in his neighborhood, Leimert Park."
86,21,Truth reposted from @ioreobot who always posts truth.
87,32,Good morning sun. Good morning frost. Good morning world.
88,71,"Wow this past month has been a whirlwind. Here's a peek from the end of April, a week in Vancouver with the Children & Nature Network conference capped off by a trip to the Vancouver Aquarium.
Did you know that jellyfish don't have brains and that some are 'immortal'? 👨🏾‍💻"
