,number_of_likes,caption
0,156,Last week when the weather was on point! I hope we have a warmer winter!!! ☀️
1,413,"My middle child of my three gives me the toughest time but that’s what makes her special. So much personality from this 2 year old! Love my baby ❤️❤️
#love #family #BrynleeRose"
2,18,#dinner
3,101,Great clinic today in Maple Grove! We appreciate @lindsaywhalen coming out and sharing her knowledge of the game! @_sarah_mcclay_ #WolvesLynx #basketball #academy
4,664,"My youngest baby!
Brayden William Mason💙 •
•
•
#nextup #blood #family #son #father #prince #saturday #blessed #future #everything #happy #baby #babyboy #love #forever #nba #futureking"
5,267,"Today is another day to capture greatness. The week doesn’t start on Monday, it’s starts today. Be productive and make strides in a positive direction 💯🙌
•
•
•
#sunday #vibes #truth #excellence #weekend #production #great"
6,91,All my peeps! @jaydiggs5 #goodtimes ☀😎
7,578,"Great running into Billy Donovan at Coaching U today. It was an honor to be the next speaker up after him today! 🏀🏀🙌
•
•
•
#lasvegas #coaching #coach #speaker #coachingu #drdish #basketball #nba #okc #thunder #training #dedication #motivation"
8,85,"Good day off. Lifted, ice tub and now catching some sunshine ☀🌞💪😎"
9,521,"At the end of the day, if you’re able to look yourself in the mirror and say you gave it your all and worked your hardest, the results and satisfaction will be yours... 💯💯
#repost #motivationmonday #motivation #dedication #hardwork #basketball #hoops #skills #train #purpose #coach #trainer #levels"
10,66,Just a few of the legends causing havoc again! #GoodTimes
11,47,They don't call me bird chest for nothing! Greens all messed up and I still make it happen lol #birdie #1stHole ⛳️
12,805,"🚨🚨Comment A,B,C,D for which dunk you like best🚨🚨
@drdishbball
SWIPE👉👉👉👉👉👉
❌
❌
#dunk #tbt #throwback #basketball #ballislife #ball #fitness #fit #fitnessmotivation #training #train #coach #hardwork #blessed"
13,282,The goal was never to prove any of my doubters wrong... Everything I did and do now is to prove those that believe in me RIGHT 💯
14,206,Goodtimes and good shines 🙌☀️🌴
15,962,"Blessed to see 30 years!!!!! My 20s were filled with incredible memories and a few bumps in the road, but I’m so happy to have made it to this point. Blessed and thankful for everything and everyone God has given me. Cheers to becoming officially an old man!!🥂🥂😅😅
•
•
#birthday #dirty30 #blessed #blessings #old #30 #happy #smile #weekend #memories #monday #mood #doubletap #love #nextchapter #life #march #selfie"
