,number_of_likes,caption
0,27,We Can Only Go Up From Here🙌🏻
1,12,🦋 My. Happiness. 🦋
2,11,💛 All. That. I. Need. 💛
3,10,The Moments I Live For #nothingbetter #theoneswhoilove
4,30,💫GLOW💫
5,43,My Sweet Grace ~ you are beautiful & have given me the greatest gift in the world by choosing me to be your mommy. I am so proud💞
6,6,🙏🏻♥️🌈💫🌷 #bewhoyouaremeanttobe
7,4,"Beautiful day, beautiful dreams with beautiful people ☀️#soproudofhimworkinghard"
8,5,Appreciating the beautiful things today 🌻
9,13,🖤s of my life
10,18,🌑
11,24,🥂Madison Crew🥂 SO blessed to be invited to celebrate with Hannah & Steve on their beautiful day. Your love inspires all of us 💛💍👑🥂🍾 @mreliford @jdo1985
12,7,
13,9,💛Mommy Daughter Time💛
14,17,🐟🐟
15,23,Oh sweet girl... how I love you❤️
16,13,My baby is a ladies man already... I am in trouble... 😬👀💋💆🏼‍♀️ #heiscutetho #ladiesman #heismybabytho
17,9,☔️ #growth #appreciatethestorms
18,14,Black Panther & Blue Lipstick = Nothing Better 🤙🏻
19,7,
20,15,🧩The Piece To My Puzzle🧩
21,36,Good things take time. Great things take patience. #goodthingscometothosewhowait
22,13,Enjoying the beautiful things 💙 #everythinginhismouth #hesonly8months #mysweetbaby
23,10,My Love💜💜 @emlangdon
24,10,On the days I need a smile.. 💓
25,5,🎀
26,18,"Missing these sweet babies today 💜 Divorce is terrible and hard and messy, but looking into these babies eyes reminds me why I have to continue to move forward and progress. I will finally be able to show my babies a mom who is happy. And for that, I am truly grateful 💜"
27,23,My Princess 👑 & My Batman 🦇 #cantbelievetheyaresobig #princessgrace #batmankai #alwaysmybabies
28,29,Becky With The Good Hair💇🏽‍♀️🤷🏼‍♀️ #haironpoint #mixedbaby #thosecurlstho
29,12,This little boy thinks that he’s grown enough to stand by himself at 8 months!! 💙💙💙#mysweetboy #growingup #sagginhispantsalready #imintrouble #heartbreaker
30,25,Summer Days👙🌈🤘🏼🦋🌞
31,14,❤️My Heart❤️ #myworld #whatbringsmehappiness #momfirstalways
32,13,
33,8,Amazing friends. Amazing journeys. #undergrad #2015 @amberae_daurio
34,17,My baby. 👧🏽 My world. 🌎 My smile. 😊 My soul. 🙏🏻 My heart. 💜 She is everything to me. #reallymissinghertoday
35,9,I never knew that my heart could feel this full. You have given me the greatest gift of being your mom. I am so blessed. Welcome to your birthday month my princess!! 💍👑#cantbelievesheisalmost4
36,6,🙏🏻
37,22,My Chick🐥 #morningswithmybabe
38,27,Warm&Cozy Type Of Thursday
39,11,That Smile... 😍✨💡
40,15,America’s Next Top Model😍
41,28,✌🏼
42,23,My Heart💙 #thatsmiletho😍😍
43,22,Baby it’s cold outside ❄️ #thoseblueeyestho #nomakeupwhenitscold #natural
44,5,🙅🏼‍♀️
45,9,#🧲
46,12,🙏🏻
47,8,💻📒
48,6,"You Are My Heart, My Soul & My Everything."
49,16,5 ⭐️ Treatment #itslikeiminaspa #gettinmymakeupdid #sheissogirly #ilovemybabygirl
50,6,MyBest 💜💜💜#whatshedoeswhenimnotlooking #nowitgoesonig #sorrynotsorry @rpiereson
51,13,💙🛁💙
52,7,💜💙💚
53,59,"30&Thriving 🎂🛍💜 May this year be filled with new beginnings, new dreams, & new sources of happiness. I am so blessed & so thankful for all the beautiful things and people in my life.. those who are there in the sunshine & the storm. This is to the best year yet.. 🥂#30&BLESSED"
54,16,The look you get when you say no...... #RoughLife 🤷🏼‍♀️🤷🏼‍♀️#thatliptho
55,7,💙 He Makes My Heart Melt 💙
56,20,It’s Beginning To Look A Lot Like Christmas.. ☃️🎁❤️💚🎄 So Incredibly Thankful For These 2 Blessings God Has Given Me😍
57,19,Morning Smiles With My Babe❤️
58,23,WorkFlow
59,22,🖤
60,9,💛My.Whole.Entire.World💛 How did I get so lucky? #theychoseme #iamblessed
61,10,Stop The Cuteness💙 #BFFs4Life #Cam&Kai #theyarethecutest #opengym @emlangdon @momlife.mylife
62,11,Missing My Other Half❤️
63,14,The Laugh That Melts My Heart💛 #hissmileisthebest #thoseteeth #andthedimple
64,11,💙The eyes that touch my soul💙
65,55,"❤️When you become a mother, you realize what love is. When you realize what love is, you become a mother❤️ I love you my sweet babies"
66,6,Great advice from Dove Chocolate this morning #yesiatechocolateforbreakfast
67,2,It’s the little things that matter 🍉☀️🦋
68,20,Friday Vibes.
69,16,All Boy😍
70,7,Always Moving Forward #destined4greatness
71,19,"My Little Girl.. the one who gave me a whole new meaning in my life.. the one who makes me heart beat a little bit harder.. the one who brings me constant smiles and laughs.. the one who loves me day in and day out, no matter what mistakes I make, no matter how sad or angry I may be, she shows me compassion, joy & love. Always. And for that.. I am forever grateful. Baby girl, you have turned my world upside down. You’ll never know my love for you💜"
72,11,My Boy❤️
73,16,💜 Birthday Girl 💜 Straight Hair #sheisgrowingup #4
74,24,✌🏼
75,9,Jacquees & Wine 🛁 #whatmoreisthere #relaxation #bringcalmnesstomysoultonight
76,13,My Sweet Kai - I hope to teach you the beautiful ways of life my sweet boy.. teach you how to love fiercely but gently.. teach you how to be driven and motivated to reach your dreams.. teach you compassion and empathy... teach you strength and wisdom... teach you how to accept and not judge... and teach you how very beautiful and short life is. I love you with my entire heart. You are my miracle. 💫
77,24,Blessed.
78,5,Happiness 💙 Thank you to my best who always has my back. I love you! @amberae_daurio
79,7,🙏🏻
80,2,#GodsPlan
81,19,It’s that Mommy Daughter kind of Saturday 🎀🛍
82,12,Mine👧🏽👶🏽 #mywholeworld
83,11,Wine & Kohls 💜💙 @brittney2816
84,25,Last night tho 🤷🏼‍♀️ #evenflyasamom
85,8,Yes I can twist my daughters hair allll by myself 🙋🏼‍♀️🙋🏼‍♀️🙋🏼‍♀️#proudmommyofamixedbaby
86,13,Happy ❤️ Day
87,23,🎵🖤My Heart Beats For You My Love🖤🎵
88,34,"Happy 1st Birthday to my sweet Kai💙You are the love of my life. I hope to teach you resilience, courage, determination, kindness and strength. The bond between a mother and son is indescribable and only grows stronger with time. I can’t wait for every year with you and your sweet heart. You are my miracle🦋"
89,5,We LOVE McKensie Jo ❤️❤️❤️
90,14,💗You Have My Whole Heart For My Whole Life💗
91,13,When you decide to take up something new to warm your soul... 🎨 #satisfymysoul #youaremyinspiration #🧲
92,8,My Boo Thang 💙 @brittney2816
93,5,"My New Obsession & yes, I drink boxed wine by choice 🤷🏼‍♀️#alwaysclassy"
94,20,That Smile.. 😍 #allthatineed #myprincess
95,15,✨
96,21,Blessed a week late.. better late than never. Happy Easter to my beautiful babies🐥❤️So thankful. So blessed. So happy.
97,13,💙Mommy Son Time💙
98,9,Those twists tho.... ❤️ #mysweetbabygirl #imbombatherhairtho #proudmommy
99,43,"My Beautiful Babies... You mean more to me than you will ever know. I thank God everyday for blessing me with 2 little people to complete my family & who bring me such joy, happiness and love every single day of my life. You have humbled me in so many ways and shown me what love truly looks like. I never knew my heart could be so full 💜 Shout out to @bnicole_photographyyy for these amazingly beautiful pictures. I am so thankful!!!"
100,10,"My Daily Goal —> The things that we go through do not define us. They teach us how to persevere through the most difficult of times. They teach us how to encourage inner strength in the times we need it the most. But mostly, it teaches us how to love.. love deeper, love kinder and love unconditionally to those who mean the most to us. Here is to making our failures and our struggles into our greatest strengths and accomplishments.. not because we simply went through them, but because we went through them and made it to the other side stronger than we ever thought possible. #whatiwanttoteachmybabies #theirmomisstrong"
