,number_of_likes,caption
0,23,If this isn’t me a 1000% ‼️❗️#betteraskaboutme #elevate #growtogether #prosper #bagchasers #levelup #upgrade #educated #paid #boss #💰
1,18,"Sister, sister #sisters #us #love #mybestfriends #family ❤️👭👭👯👯"
2,44,#tbt to wash day lol you gotta love the curly hair transformation. #curls #curlyhair #transformation #naturalhair #curlygirl #ineedtowashmyhairactually #itsaboutthattime #but #myarmshurt #workoutproblems #thestruggle
3,34,MY Sisters ♥️ so thankful I have spent my life with you ladies & look forward to many more years #sisters #love #newyear #2018 #bloodsisters #ourparentsdidgood #spanishgirl
4,7,
5,6,So true! On my way to the gym now. 7 more pounds to drop by the end of the month #focus #fit 💪💪
6,29,My baby is transforming into a big girl right before my eyes! Ahh they grow up way too fast! #madison #madisongrace #17months #biggirl #loveher #myheart
7,31,"Exactly. If I say I got you, I got you. Period. No questions. #betteraskaboutme #solid"
8,20,"1st off get out my DMs, 2nd off use the correct you’re #moron #stupido #bye #educateyourself #illcorrectyoueverytime #betteraskaboutme #icanthelpit #dumb #annoying"
9,20,
10,15,Oh my goodness!! Anthony and I are over here struggling lol it is hard to take a rest day when it becomes part of your schedule. #thestruggle #gymlife #gainsbro #workhard #thickfit
11,18,❤️this kid and his smile lol!
12,13,#growth #worthy #keeper #intellect #friday #vibes
13,12,#daily #reminder #selflove
14,67,Because #4thofjuly kicks off my #birthday #celebrations 🎇🎆
15,29,Weekend vibes #sisters #friends #holidayparty #birthdayparty
16,16,"Shout out to @jsaunders06 & @tsaunders23 for my bday gift, they go perfect with my shoes lol #gymflow #workoutpants #jordan #nike #justdoit #birthdaygift #bestfriends"
17,6,Hahaha @alocke_ybm ☺️😘insider! @tsaunders23 @jsaunders06
18,21,Crazy kitty 🐱 lol #isthisevenakittyfilter ❓I don't know #goodquestion 🤔
19,27,🙈
20,43,Had to remind myself. #refocus #restart #reset #refresh ♥️🌹
21,4,"Who does she think she is? Goes to her auntie dessy house and get her hair straightened and looks 12 😫😩 she is only 9! Where are the piggie tails? She needs some bows, something"
22,25,🔑
23,8,#tbt my parents and my children; I'm guessing 2011
24,9,Yay!!! @frankliin___ and Dest on the way! @fontee116 is my neighbor so when she gets home the turn up is real!!
25,30,#TBT to last week. #businesstrip #pitsburgh #to #desmoines back to #denver #projectmanagement #workfromanywhere
26,9,
27,64,I’ve recently changed my face care products & I’m loving my results. Some would say #greasy some #glowing I say #healthy #lovemyskin #ilookforwardtowashingmyface #skincareroutine #biossance #sundayriley #drunkelephant
28,39,It's Wednesday right? 🤷🏻‍♀️well these are my women that I crush on everyday 😍😝 #wcw #sisters #gang #squad #womencrushwednesday #familygoals #fam #sistergoals #imthatgirl #alwaysfun #takeaseriouspic #nah #risa
29,66,"Oodles O’ Noodles Babies || #tbt #summer18 #sisters #startedfromthebottom #squad #missingtwo || you wouldn’t believe my life story, even if I wrote a book."
30,53,Always up for a challenge. Let’s see what results I can get in the next 30 days 💪🏼🙈 #gusabsandbootychallenge #booty🍑 #abs #grind #goals #summer2018 #workoutmotivation
31,9,My baby! ❤Isaiah Jeremiah Mack Locke
32,52,Because sometimes you have to be your own sunshine ☀️ on your dark days 🥀🖤. #live #love #learn #sunshine #brighterdays #positivevibes #life
33,64,From #wethair to #dryhair! Amazing how #curly #hair can #transform #😍 #girlswithcurls #curlgirl #risa #➿ #➰ #beforeandafter #devacut #devacurl #hairstyle #naturalhair #naturalcurls #selflove
34,57,2018 ✨⭐️✨💫
35,14,Late post but my izzy baby at school on Friday #love #myson #izzymack #isaiah
36,66,Throw🔙Thursday to when my smile was as big as my head. #lol #tbt #smile #cheese #risa #throwbackthursday #😁
37,6,
38,101,Sisters 👯 #rarepic #babysis #loveher #thesalttomypepper #sisters #weekend #kidsbirthdayparties #momselfies
39,26,H A P P Y 4th 🎆🎇🎆💥🇺🇸
40,12,Repost! If this isn't the truth smh
41,36,#bagchasers #securethebag 💰#nofeelings
42,42,Thankful for the women that I know. ♥️🌹🌻💛 #sisters #sistersister #👯‍♀️ #vegas #summer2018 #lasvegas
43,41,#happybirthday to this little lady! #wheredoesthetimego ❓2years old today 😩 my baby is growing up & im not ready! Today is #yourday time to #party 💜🎊🎉🎉🎈#my❤️ #mybabygirl #madisongrace
44,42,#tbt to when I was taking selfies in the #denverbroncos locker room #SASGF #work #shenanigans #risa #livingmybestlife
45,32,When you’re trying to be an angel 👼🏻 but have to give someone the side eye 😒 #nightandday #lostfile #angel #sideeye #getyourlife
46,76,"It’s your birthday baby, it’s your birthday #30 #birthday #30thbirthday #itsacelebration #july7 #softlikebuttercups #reeses #happybirthdaytome #risa"
47,14,How cute was my mom though?!#tbt #mothersdaystyle #mymommy #littleLisa
48,13,Today is the day! Hopefully my team brings home the W!! 💪🏼💪🏼@cacdtc
49,16,#4thofjuly #july #happy4thofjuly #redwhiteandblue
50,9,😔😩
51,18,I know I'm not the only one!! 😂 #real #abs #workout #truth #humor #fithumor #fitness
52,46,"Sometimes you win, sometimes you learn▪️▪️▪️🖤 #flashbackfriday #risa #selfies #filters"
53,24,This girl right here... changed my life forever. I love her more than words can explain. ❤️ #minime #babygirl #jai #jaibaby
54,14,Happy Thursday!!! Follow me on snap chat! 👻 risamarie7 and drop your names 👇🏽👇🏽
