,number_of_likes,caption
0,23,"Fresh cut for the fresh new year! Didn't feel right cutting it all off, but I had to switch it up! #haircut #humpday #freshcut #ifeelsexy"
1,92,"Our home, this Earth, is absolutely and effortlessly beautiful. We need to learn to love it a little more. .
.
.
.
#earthday #earth #nature #explore #love #home #beautiful #planet #loveyourhome #🌍"
2,68,I heard it was #flexfriday 😊 #fitness #gymlife #muscle #abs #obliques #triceps
3,8,We get ratchet on Sundays!
4,24,"New shoes came in, but are way too big. 😔 #winterboots #shoes #toobig"
5,28,Tis the season. #poncholife #turnup #itwaslitfam #chrimmus #lit
6,28,Had to shave and get a hair cut! Sexy hair right there!!! 😌 #nicehair #freshcut #shave #facialhair
7,62,Wedding time!!! #butfirstletmetakeaselfie #galveston #wedding #snazzy #sexy #boo
8,7,Check out my new song @ https://soundcloud.com/richardrobinsonmusic/mine in honor of Valentines Day and #loveweek. Make this #yoursong #freedownload #musicmonday #mine
9,12,Everybody's doing it!! #fireworks #austin #townlake #atx
10,32,"I shaved, kinda! #beardgang #beardsofinstagram #selfie #seatbeltselfie #cheesing"
11,112,"When you can't walk because of a bum ankle so you have to get wheeled around the airport. No pictures please. 😂
.
.
.
#Chicago #cantwalk #worktrip #notlit #sendhelp"
12,137,"Chasing sunsets. Talking to my creator. Album cover probably. .
.
.
#goldenhour #cali #chasingsunsets #staylit #talkingtogod #blessed #albumcoverprobably #californialove #lojolla"
13,41,"Cousins, dad, and I after my aunt's service. Gonna miss this bunch. #family #cleveland"
14,29,Downtown LA kinda lit! #cali #downtownla #itslit
15,27,"My ""omg we're having sushi face""...while she pouts! #swag #lookatmyeyesrollem #sushidate #happyhour #downtown #barchi"
16,38,"Always on the road, always taking selfies. Always working, always reppin. #freshcut #worklife #idontlooklikeneitherofmyparents #oatmega"
17,38,"Oh you know, just talking to my mom eating guacamole! My favorite thing to eat on earth. #guacamole #foods"
18,36,Oh you know. Just cooking and stuff. 😏#jamaican
19,28,I was my mom's personal trainer for the day. I'm so proud of her. Showed her some good workouts! 💪 #teamfitness #mom #gymlife #fit #planetfitness
20,102,"Visuals for my next single titled ""Try."" I will be posting a snippet of this amazing song later this evening along with information on its release. #Stay tuned!! .
.
.
.
.
#Try #nextsingle #albumcover #albumart #newmusic #waitonit #music #r&b #lovesong #singersongwriter #songwriter #newalbum #art #richardrobinsonmusic #staytuned"
21,57,Gained 5 lbs back! Ow!! I'm really excited to try to compete next year. Hard work is everything man. #lean #summerbody #muscle #fitness #fitbody #nofilter #weight #gymlife #gymspiration #abs #obliques #chestday
22,46,Extra emo today. #lacma #LA #solo #itwaslitfam #goprohero4
23,41,All I ever wanted were abs while lying down. #diet #exercise #fitness #abs #lean #progress #fitfam #fitspo #fitbody #gymspiration
24,39,"Working on my next album ""Careless"" with my producer. Playing a new song for him. 🎹 #music #love #passion #piano"
