,number_of_likes,caption
0,57,#happybirthday #little #sis #15 #loveyou #movies #madeas #christmas
1,44,#wurstfest #germanboy #theyaremyuncles 😂
2,4,#hiiiiiii
3,17,#picstitch#ootn#friends#family#party#fit# @xphili_bx
4,40,#onlyone #acoustic #bonfire #sugarland #littlesis #talented #like&comment #youtube if you want to watch the whole thing click the link! @tierramendoza__ @thatboydanny @nixnetwork https://youtu.be/k4PfFJ1KTFM
5,16,#picstitch #chillen #bro #bestfriend #bonfire #seeme #friends
6,131,"You thought you had me, but I’m already chosen. You thought I would waiver, but He was there to catch me. You thought I would shut myself off from those around me, but I opened up that much more. You thought I would forget my purpose, but it found me again. Looking forward to the next season of growing with our great God at the center. #nottoday #iknow #ahavalove"
7,38,#thankful #sisters #faraway #keepmegrounded #encouraging #love #forever&ever #happythankgiving!!!
8,24,❤️
9,87,"Another weekend well spent with this one. She came for the house warming and then stayed for Easter Sunday! Sometimes you have to set back and take it all in. It has been about 2.5 months since we first started our journey to where we are now. We were both slightly broken and had our walls up to some degree. You continue to show me that those walls never needed to be put up in the first place because I am made new and made whole in our Lord Jesus Christ and the love our one true Father. God continues to work in us individually and together and I look forward to the journey as we grow in Him. Let me finish by saying she drove a total of 20 hours to spend the weekend with family friends, and myself. If I don't see that is something special, please slap me. But I know how blessed I am to have her and will continue to show her how thankful I am❤️. #iKNOW #myAhava #itisWRITTEN #HeisRisen #housewarming #Easter"
10,45,#sanfransquad #weout
11,65,#latenightsinthekitchen #ifyouarenotfirstyouarelast #webetterwin
12,23,#thesetwo #lovetodeath #fightlikecrazy #shesadopted #wellbothare #kinda #family #first #thankful #whyyousouglyrae!!!
13,45,#lemonade #summer #ukulele #cover #thatisall
14,2,Oven baked chicken asparagus and wild and long rice!!!!
15,20,#lovetodeath#siblinglove#lostwithouther
16,4,#greek!!'
17,39,#nofilter #jordan #23 #retro11 #gamma #thethirstwasreal #notevenmine #sisters #merrychristmas
18,24,#getfit#golds#boss#healthy#goham#livelife @natdelgado
19,54,#gumbos #north #georgetown #fossil #love #peace #earlymothersday photocred:nixnetwork
20,55,#Lunchbreakgains #luckyweliveaustin #34flightsofstairs #dontmarkmedownforcadio
21,64,#mealprep #lategymsesh #chicken #asparagus #quinoa #failtopreparepreparetofail #tired
22,21,#closeascanbe#bruno
23,35,"#snippet2 I'm really feeling this song! For the full video, go #likecommentsubscribe to Tierra Mendoza's channel on YouTube!
@tierramendoza__ 😁😁😁❤️"
24,73,#WCW I have been neglecting her for months now... Today was the day I finally spoiled her! She got the works in and out! She's been with me through the good and bad. Never had to argue about where to eat. Protected me from other stupid people around me. But most of all she lets me handle her how i want! Had to keep it PG and leave dat ass 🌈 out though! That is all!
25,31,#picstitch #imissher #greatmemories #fun #doitallagain #thepoutthough #haircut#bonfires #parties #dinners #willseeyouagain! @dearestgeorgie @nrdelgado @erramendozaa__
26,19,#picstitch #highschool #friend #english #manyotherclasses #missthosetimes #somuchlove #missyou
27,41,#littlekid #accordingtoher #newID #21 #weboutthatlife #DMV 😂😂😂 @dearestgeorgie
28,39,#bandit #golfclub #fairwaysforwarriors #supportourtroops #newbraunfels
29,7,@adababyy @saved0610
30,32,#germanborn #stayeating #foodislife #brats
31,55,#sunday #morning #jacuzzi #jamsesh #ukulele #workflow #family #longnights #earlymornings #maroon5 #thatisall
32,15,#greatday#bro#dannyboy#sunny#shopping#miami#roadtrip
33,74,#offtoday #training #austin #TVC #starbuckscoffee #jambajuicecup #thuglife
34,16,#diamonds#shine#bright #cover #watch #like #comment #subscribe #supportthemovement #gabbiericky #thegsmusicbox will all my friends and family go and like and share her videos she's awesome! @chelsea_89 show her this!!:) I meant to do it a long time ago! Thanks hope you and Hilary and the FAM are doing well:)
35,41,#first #pic #play #post #FAIL #haha #guitar #acoustic #requested #happy #birthday #stiritup #latenight #jamsesh #garage #bob #marley #dedicated to @laylakassem by @daliakassem have a great day!
36,45,#mealprep #family #onceaweek #maybemore #chicken #bellpeppers #pastawithshroomsandgarlic #family #eatsclean #together #stays #together!! #latenightcooking #2:00am!!! @nixnetwork @chamorie @nrdelgado @lori_ann_p @heartns0le
37,34,#picstitch#ootd#earlymorning#school#feelinggood#love #fadora #bruno
38,24,#repost #startamovement #spreadthenews #Hisgreatnews #serve #love #honorGodineverything #itisWRITTEN
39,33,#late#post#roundrock #chillen #money #idonthave #bruno #love @dearestgeorgie @nrdelgado missing @erramendozaa__ 😔😫 your bro was sad!!!
40,62,#herewego #nowornever #suit&tie #nixon #dallas #airforce #interview #imready
41,42,#officedecoration #mysisterlovesme #sortof #thanks #tgif #GOCRU #UMHB #austin
42,39,If you don’t have plans Saturday come and enjoy some great company and delicious food! The food is great but the people are greater!!! #continnumministries
43,54,#pho #boutthatlife #cold #nomnomnom #nobigdeal #asian #starving
44,58,#done #dead #feelinggood #finishstrong #livestrong #austin #marathon #26.2 #whatcanyoudo #gonnadothisnextyear #next #toughmudder
45,60,#bruh
46,32,#nofilterneeded #flawless #littlesis #missher #riverwalk #SA #latepost #makehersad #iwillfindyou #love #mendozafamily #4ever&ever
47,34,Golf day.
48,42,#latepost #little #bro #lovehim #4ever&ever #movienight #pitchperfect #fadora #texas #hot #missthemall @erramendozaa__ @nathierae @dearestgeorgie
49,27,#roadtrip#passenger#danny#vacation#chillmode
50,11,#chipotleislife!
51,44,#common #kings #alcoholic #early #morning #ukulele #jacuzzi #jamsesh #school #UMHB #work
52,57,#ITSABOUTTOGODOWN!
53,66,#picstitch #ootd #bowties #AE #Rayban #finallyanewpost #texas #hot #summer @inenehu @lori_ann_p @heartns0le
54,63,#sister #goddaughter #waco #richland #mall #christmas #shopping #rayban #nixon #bowtie
55,28,😋 @nathierae
56,41,#latepost #roadtrip #newmexico #arizona #nevada #pastweek #vegas #brothers #sister #aweektoremember #luxor #crazy #fun #imgonnamissthem @nixnetwork @thatboydanny @thatgirljehda
57,44,#requested #dedicated #tori #kelly #cover #dear #no #one #guitar #relax #family #love #feelings FOR: @vperez2877 (@nixnetwork @nathierae)
58,31,"#picstitch#lateupload#fred#scoobydoo#bruno#sis#halloween#fit#DIY#ascots#thisonesforyou @__carmelaaa
@nathenathegoddess"
59,56,"#picstitch#fun#sunday#prettyboy#sperrys#bruno?#nixon#crazy#love#HE>i
#guyswithcoolhair#keepcalm#andpray @nathenathegoddess @mrspalo @heartns0le"
60,66,#morning #jamsesh #camaro #school #umhb #rayban #count #on #me #123 #ALLDAY #ukulele #bruno #later
61,45,#dinter #butternutsquash #bellpepper #tomato #purée #turkeymeatballs #stilleatgoodonabudget #farfallepasta #homemade
62,51,#Thelastday #6yearsofmemories #stonetreegolfclub #A-team It has been the greatest 6 years of service to the city of Killeen and Stonetree golf club. Great memories and great people.
63,33,Christmas Eve on the road. Happy Holidays 😘✌ @nrdelgado
64,100,#latepost 4thofjuly #lullaby #lateeya #ukulele @tierramendoza__ and I working on something special... Wait on it!
65,80,#6thstreet #birthdayprincess 😂. This is my best friend! #thatisall
66,64,#liquidsugar #paris #vegas #hotAF #rayban #sperry #family #party #dreaming PC: @thatgirljehda @thatboydanny @nixnetwork
67,94,"This is not everyone from @passion268 2018, but every single one of the amazing people I got to experience this with is family! 2018 will be a year of great triumphs and blessings in each and every life. We can boldly proclaim who God says we are and grow with each other. That means holding each other accountable. It’s all good that we came here and got to experience all the great things God has for us, but if we just go back to our lives and get back into the same routine of what we were used to, the enemy wins. The enemy wants to keep you in your comfort ability be side he knows you are a weapon that cannot be matched. You are righteous, chosen, forgiven, redeemed, Holy, loved, perfect, purchased, mighty, wonderful, beautiful, courageous, bold, and above all called by name of our one true God. May 2018 bless each and every one of you and may we continue to challenge and grow one another to be the men and women God has ordained us to be! I love you all very much! ❤️ #family"
68,42,#baby #grown #22 #birthday #growingup #firstcardigan #shopping #rayban #joetgarcias #ftworth #family #love
69,138,"Rustic formal, Modern classic PC: @joe_arispe"
70,52,She always got me🙌 #sissy #foe
71,57,#newbestfriend #austin
72,21,#sperrys#imonaboat#gold#standard#hadtohavethem#love#sunny#deerskin#memoryfoam#BOSS!!
73,47,#hair#beach#southbeach#miami#lifeproof#iphone#dope#vacation
74,46,#whitehorse
75,81,#halo #hollywood
76,68,#squad #goldengatebridge #weouthere #sanfrancisco
77,36,#picstitch #nofilter #party #drivingpartner #friends #bestever #music #loud #aggies #weekend
78,61,#newhobby #haha #iwokeuplikethis #ridingmower #youneedyourgrasscut #calllawrencelawnlovers #imdone 😁😁😁
79,31,"Memorial Day sale!!!! Style: tank top and off the shoulder. Limited supply sizes: L,XL. 30% off!!!! Have you been going through a season of needing to be patient with others or what God's bigger plan is for you? We could all be a little more patient to make the world a whole lot better. Live His word. love His word. Be His word. #itisWRITTEN message me for details!!!!"
80,62,"#nofilter #imhangry #goodeats #homemade #BACON #makeseverythingbetter #shimp #veggies #whiterice who ever said you have to eat salad when you are cutting...tell them they can have it. Portion control, macros, micros, and once in a while treat yourself. It's a journey! Enjoy it!"
81,6,Olive garden:)!!!!
82,39,#picstitch #latepost #coolweather #express #nixon #chill #razoos #outandabout #endofthenight #ootd #kevinhart @dearestgeorgie @nrdelgado
83,35,Forecast for Passion2018 looks good!👌🏾 Definitely the only way I am going to start every year until I die! 🙌🏾 if you don’t know... check it out! #Passion2018 #continuum #theW #weflySW #HOTLANTA #youngadultconference
84,55,#Photobombed #guadalupe #sanantonio #floating #river #hangry #iateitall #pollotropical #workingonmytan
85,18,BLOOD SISTERS @theendelgado ☺✌
86,78,#OOTD #fossil #bowtie #mens #fashion #printedsocks #Austin #itry #urbanbuddha I don't always dress up but when I do... I keep it simple!
87,98,#newhome #austin #milestone #sheisthebest #socandid #gotthekeys #thankful #blessed #PaiseGOD! 🙌
88,49,#reunitedanditfeelssogood #waaaaaaayback
89,75,#happy #mothers #day #2moms #mymomsarebetterthanyours #kikugarden
90,59,#picstitch #riverwalk #sanantonio #family #love #sanmarcos #dicksresstaurant #amazing #lol
91,55,#finals #finalsweek #presentationsfordays #audit #strategic #UMHB #twotoday #twotomorrow #onethursday #graduation #3daysaway
92,7,#almostthere
93,139,Winter is coming... it’s here ❄️! PC: @cesarsa95
94,70,#latch #disclosure #snippet #fullcoversoon #hoodieweather #guitar #acoustic #beanie
95,48,#homemadechickensalad #cranberries#cashews #greekyogurt #spinach #tomato #fetacheese #quest #cheddar&sourcream #chips #agua(that's water) gotta love meal prepping ❤️
96,10,
97,26,#theygetme #wellsaid #thatisall credit: @thatgirljehda #shefoundit
98,69,#whoneedsfastfood #umamiewho #innoutwhat #whatawhat #turkeyburger #portobellomushroom #pinapple #wasabisriracha #hawaiiansweetbun #thatisall
99,71,#Checkingthemail PC: @nathierae
100,47,#prenewyear #run #huff #roshe #nike #timetoparty #newme #newyear #shutthef***up #lmao #newgoalsthough
