,number_of_likes,caption
0,4,This an outlandish amount of hail... Wow
1,8,"My nigga @jfitch20 hurtin.., can u say salty!!! Lol"
2,19,This is Wut I'm on this mornin... Mad gloomy out here #wdywt #iss #s7 #sneakerfreaker #sneaksandfreaks #shoegamefuckedup #kicksonfire #kickskeepup #instakicks #itsonlyshoeshomie #idothis4real
3,19,I may not know everything... But YOU should read this in its entirety. #wisdom #knowledge #growth
4,7,Welcome back... Ain't seem these since Missouri. We in Vegas tho so might as well lol
5,96,She got this thing that makes you look cooler than you really are lol... Fun Friday
6,13,02... Raptor #shoeporn #sneakergame #wdywt #shoegamefucked
7,6,Ya I bump it lol
8,10,My ni**as... 7 years back #Otero
9,54,Gator time!
10,22,I was tryin to tell him he looked flyer than a skydiver @4everheart_less lol #tbt
11,29,I wasn't gonna put some shit up of myself for #throwbackthursday lol. Lookin like I knew what I was doin #freshman #fade #nbaheadbandlol #tooyoung
12,37,"Today was wild, felt like a closing every other hour lol... Helped my client moving from out state to Colorado with a great loan program. #anotherone #idomortgages #daily #lookmeup"
13,22,Ya I'm a grown man and I make floats to go with my dinner... #pleasebelieve #keepup
14,9,#life
15,35,Another one of the closet to me... U can't be more thankful for good people. Shelly is a special individual I'm lucky to call my friend #truefriends #fromthentonow #lucky #goodpeople #gradparty
16,1,"My cousin went brought some old pics, I had to put em n show her some luv on my joint. The Alabama girl n her cousins lol... Idk kno wuts goin on wit Shane haha"
17,37,We stay moving
18,15,"Love this movie.., the prestige"
19,6,My favorite pair
20,28,"Easy one of the best wear pairs to ever drop, just throw on with everything. #blackflips #stokes_sneakers #smyfh #itsonlyshoeshomie #solepurpose5280 #sneakerfiles #smyfh #ihatesneakers #sole #jordan #retro3 #kicked"
21,27,"You have to have people around you that push you to step up, challenge you, and are looking to make gains in their own right don't sit back and watch them... Join them"
22,19,#batmanvssuperman @s_dot_stokes @hawkeye_jfitch20 @outspoken_thoughts @4everheart_less
23,22,Bred XIs and patent Is(baby stokes) #wdywt #walklikeus #iss #igsneakers #igsneakercommunity #instakicks #itsonlyshoeshomie #s7 #sndvl #kickstagram #kicksoftheday #sneakermates #solesupremecy #shoegamefuckedup #sneaksandfreaks #nike #jordandepot #todaykicks
24,4,Damn niggas will say anything lol
25,6,"That's we're we be at lol @kayers89 I cry every time I walk in there, such a beautiful thing"
26,46,Great people... And I mean great people are few and far between. Build your circle with amazing individuals and it will become who you are it whatever you do. This man saw me at my lowest point and put more into me than most would have. Congratulations on the new head coaching job. OTERO to Chadron... I'm proud. Much luv
27,22,"Papers, presentations, and tests. Might as well do all three at once #idothis #gottodomorethanmost #imdifferent #worktobemore #betterthanaverage"
28,20,...
29,17,Oh ya??
30,6,😱 beyonce!! 😳😳😳😳😳 lol
31,16,We made it #finalfour #Houston
32,16,I feel u !!! Lol
33,19,Cats really do be feelin like this tho after they been away from that gym lol. #repost from @thee_roc
34,38,Today I was feeling a little out of it so I had to throw up a shot of me and @konnichiwa with young R2-D2 at comicon... Great experience. Kennisha ass always cheesing when we suppose to be serious bout some ish lol
35,23,#getemBill #theman #4more #democracy #USA #DNC #truth #Clinton #obama #barack
36,2,The shit people do to their kids... Ridiculous
37,61,"Look at these two, trying to get those international ZZZZs lol @realeyez_realize_real_lies @s_dot_stokes"
38,43,CG IV.... One of my favorites. #stokes_sneakers #itsonlyshoeshomie #solefire #kicksfromthestreet #jordan4 #coolgrey #keepbustin #rockyourshoes #nike #mikes4life
39,19,My I hate chemistry and bio lab reports face!
40,31,After a night of gambling and witnessing history lol the wonder kid @vro_yo put me on some game right here lol
41,3,"Something different, like this joint"
42,9,And it starts @l_boggie @kayers89 #keystone #limolife #wedothis #gohardallweekend
43,2,"Ud have to knwo, to understand 🎶🎶🎶"
44,18,U kno Wut it is... @kingjames #lebron #heat #killingcats
45,32,Outside the Colosseum
46,9,My Lil nephew Zy... Lookin too tired lol he bout to be knocked
47,25,That's how the ish is...
48,25,Watts
49,2,Vegas... Mirage #wordtosummer
50,26,Norte Dame... Where the hunchback rings bells
51,18,...pregame lol
52,25,Happy birthday to one of my favorite little ladies! Big JUICE!!!! let's see what you do with age 3!
53,35,"If you are not wishing my family @outspoken_thoughts aka #DP aka #lildave happy birthday... You need to be! Ain't many folks that could be as genuine as this man is. We have been through hell and back. We went thru high school, half of college, and will be down till the end. Much luv fam. Wishing you the best birthday possible. And um let's get this MONEY🎁🎉🎈💴💵💷💰💳💸🎉🎁"
54,37,
55,2,Logic.... !
56,14,Need a few of things card for you Colorado drivers... Y'all do fuckin suck
57,31,Drake
58,3,Remix is luv
59,9,This had me weak 😂😂😂
60,21,"Anyone who knows me, knows when I ran into this wall of soda I was too hype....! Every flavor u can think of. Even bacon flavored pop lol #rocketfizz #theyknowwhatilike #ohyes"
61,17,Hahaha
62,30,This woman eats SO MUCH PIZZA IT'S RIDICULOUS! Haha but when your in Italy...
63,94,
64,34,The best way to see a show... THEATER Box. Now got to dial up what to see next here. Maybe Jay Z... The game is changing #kendricklamar #kungfukenny
65,6,Thursday night in Austin... Was extra active. Don't ask me why lol. They just shut the streets down so people can party lol. Kinda of awesome
66,11,A special #throwback lol @belliekipe can you say freshman year.... Lmao
67,35,My Job is a little farther than before so I had to get accustomed to this thing they call TRAFFIC. Wutever tho I'm just gonna have to see bout missin lunch lol cuz that 5 o'clock traffic is no bueno.
68,5,
69,33,It took a sec but I grabbed another pair. #bhm3 smooth pair for the night. I seen cats on they way to go pick up bred 1s... Hypebeast shit again lol. It's nice to not have to go wait in lines anymore. That shit was terrible. #stokes_sneakers #itsonlyshoeshomie #jordan #wdywt #smyfh #sole #retro3forme #nike
70,40,"Sad shit people preach this to women daily, n they won't take heed to that advice till Kendrick puts that shit on a damn tweet. But might as well #repost none the less #truth"
71,56,We sippin from straws real sophisticated like lol #myfam #day1andimeanit @outspoken_thoughts @young_stokey @4everheart_less
72,25,The joints u wear to the gym when u know u only lifting n shootin jump shots lol #flyknits #nikelunars
73,45,Another one of the realist @king_david_co been a long road
74,8,The condo for the weekend #keystone
75,8,N y'all still wear GShocks lol
76,61,They showed me some luv over at work this morning for my 25th birthday. It was nice to have the people u spend most of ur day with let u know they care. Thank you @ivette0629 @juliorodriguez83 Mika Christina and Annya.
77,122,..... Wednesday.
78,75,Ugly Sweater Game... Level up
79,22,The NO
80,41,I remember back at #otero all I wanted to do was hoop in these joints.... #royals. If things could have went a lil different smh. #stokes_sneakers #sneakerfiles #solepurpose5280 #smyfh #sneaksnfreaks #kicks #kicked #fly #shoeporn #nike #foampositeshowcase
81,6,
82,32,Love.
83,1,Failed mission lol
84,31,"Do things with a purpose... #breakfastwithabanker2016 I don't really do the speech thing, but I'm more than happy to provide knowledge and direction."
85,24,You got to keep the freshest rain boots in Seattle all this damn rain. The sneaker culture suck out here by the way smh lol... #stokes_sneakers #itsonlyshoeshomie #seattle #valentinesdayweekend #denverreppin #rainallday #nike #sole #s7 #wdywt #wdyrt #smyfh #sneaks #foampositeshowcase #foams
86,2,Mad windy 💨💨💨#southpadreisland #springbreak13
87,6,Lol
88,18,Back when we used to go to the #Bash every other Saturday lol #throwback
89,10,Word to @da_pie_cold at the taste of CO.
90,17,Vanilla ice Sb Blazers #shoeporn #sneakergame #shoegamefucked #wdywt
91,21,#truth #repost @roc_rogers shit is to true lol.😂😭😂😭😂
92,7,Some Og drake before work
93,18,Snagged em up lol
94,15,Saw this n had to re evaluate some things lol Jk
95,2,Me n one of closet to me. DP... #throwbackthursday
96,2,Turtle chex mix... Is just an addiction at this point.
