,number_of_likes,caption
0,508,"it was easy to welcome the first official day of #dallas summer sun with my @kaptenandson 'havana' sunnies! #bekapten #kaptenworldtour 🕶 #ad
📸: @visualsbymichelle"
1,420,good morning
2,483,"about to attempt making these for my family (hopefully they don’t turn out like an episode of @nailedit — i’m also responsible for the mac and cheese tomorrow, but that’s my specialty! what’s your signature dish/ what are you making for christmas? let me know below ↓
📷: @food52"
3,274,"HAPPY WORLD PRIDE! I’ve partnered with @expressmen and their Love Unites collection to express my #pride in being part of the #LGBTQ+ community.

For every Love Unites item purchased by July 15, Express will donate 25% of the net income to GLAAD to accelerate acceptance for the LGBTQ+ community. Use my code to 9194 to receive 25% off of a purchase of $100+ *exclusions apply! #ExpressPride #ExpressLife #ExpressPartner #sponsored 📸: @bao.ii"
4,855,You'll be able to ditch the jacket by noon. Spring decided to make another cameo appearance during winter! The high today is 77° & ☀️ (📸: @visualsbymichelle)
5,442,It's been real San Francisco! ✌🏽️
6,400,"#fbf to this bomb ass birthday brunch at @perlassouthcongress last sunday, already missing my atx peeps!"
7,500,"happy national donut day! today, everyone should pay tribute to one of the best pastries in the world & my personal favorite. 🍩"
8,926,this nye is going to be a cold one in dallas and pretty much everywhere else. @expressmen has the perfect jackets to keep you warm & stylish as you ring in 2019! #expresspartner #timetoshine #expresslife #sponsored
9,"1,419",Just exploring LA on this somewhat gloomy day... ☁️
10,350,
11,"1,036",AZ. 🌴✌🏽
12,340,"when it looks like portland, and feels like portland..."
13,251,G🍩🍩D M🍩RNING!
14,485,"I'm so proud of my sister @mastercheftd, after all of her hard work @thecupboardtd is officially open today! Make sure you go check it out at Uptown Urban Market---2600 Cedar Springs. Time to eat! 🤗"
15,472,"shed light / cast vision.
📸: @thepaines_"
16,792,there’s beauty in imperfection — embrace yours.
17,57,"The blog launches in 7 days!
dmdanamitchell.com"
18,127,Sunsets in Myrtle Beach. 🙌🏽
19,56,The blog launches in 15 days!dmdanamitchell.com
20,206,👟👟
21,497,"""time moves in one direction, memory in another."" — william gibson
.
saying goodbye to one season and hello to fall! 🍃🍂🍁
.
📸: @visualsbymichelle"
22,379,< insert witty caption here > I pulled this one out of the archives. @visualsbymichelle snapped this two months ago! Shining ✨✨✨
23,383,"#TBT: @membersonlyusa Throwback Thursday just took on new meaning, click the link in bio or go to dmdanamitchell.com to check it out! // 📸: @jerseangolatt"
24,518,"i’m kind of obsessed with this @topman jacket, so much so that I actually get excited when it’s freezing outside, so I can wear it!
📸: @visualsbymichelle"
25,"1,372",I've partnered with @jordwatches to give away $100 toward the purchase of a #jordwatch. Click the link in bio to enter! #sponsored
26,880,"Celebrating @beyonce's double blessing with a bouquet of roses! I didn't want to repost her picture because that belongs to her, but I'm so excited for the Carters! 👶🏽❤️👶🏽"
27,188,
