,number_of_likes,caption
0,20,I want my hair light like this again but somebodyyyy doesnt like it 😒😔 #tbt #summer2010 #cali #berkeley #alcatraz #imonaboatbish
1,13,Po' it up Po' it up #crownandcoke
2,27,A lil bedtime pregame #PeppermintTea #JournalNotes #MindBodySoul
3,42,
4,27,"#FlashBackFriday 😎 #sxsw14
@kels_daddy @missdiose"
5,24,🍀🍀🍀
6,9,Wearing purple for @kels_daddy and mama Reese 💜🙏
7,35,Since Day 1 @keena_p_ @da_troche
8,14,Doing this thing with @kels_daddy #30daygreensmoothiechallenge #health and #happiness
9,35,
10,22,#CompanyPicnic #FavCoworkers #HappyFriday 😜✌️
11,48,Wayyyy Up 🙏🏾🙏🏾🙏🏾 #blessed
12,9,#razzoos #fridaynight #fishbowl #6liquors #turnup #turndownforwhat #drinkdrankdrunk #dumbhashtags lol
13,42,HappyThanksgiving from Austin!
14,28,WANDERLUST🍃🍃🍃
15,137,"“...and I ain’t got time for you
telling me what I’m not
like you know me
well guess what...
I KNOW WHO I AM”
#thebreakupsong #francescabattistelli"
16,34,Thuggish Ruggish Bone 💀
17,9,✌🏾️🌈🌎
18,43,#ACLfest2015 #ACLfest #ACL2015
19,29,Hosting tonight- come see us!!! #trinitygroves #chino #luck #dallas #saturdaynight #datenight #myrestaurantisbetterthanhers 😜
20,17,Recapping a great weekend with old college friends. #hopeartgallery #graffiti #timmcgraw #countrymusiclines #goodadvice 😊
21,37,🍉🍉
22,62,Hardly home but always reppin 😉🐎 #BroncosGang
23,62,Hiked over 6 miles today 🤗 #nofilterneeded #colorado #home #bestfriends #adventures #sundayfunday
24,46,Waiting in line for Ricky Rozay #sxsw #selfie #daydrinker #starbucks #vodka #likeaboss
25,9,Early #valentinesday gift ☺ I have the best sister and bro in law!! ❤💙
26,21,Tomorrow.... #repost
27,31,I know i look good but look at this daddy behind me 😍😍
28,22,Pop all the balloons & spit in the punch 😜😎 #25thbday #Vegas #bestFriends
29,10,A member bought me coffee and a muffin 😃☺️ totally brightened my morning!! Just a reminder how God can use other ppl to show his love. I so needed that today 🙏❤️
30,57,Took a nice walk this morning despite the chill. Love spending time with my mom 🤗💗
31,45,#FB to last Friday standing in the rain for 5 hours... still didn't get to see Big Sean & Migos.... And now I'm sick 😣😣 #sxswHangovers
32,16,#tbt #austin @praetornick 's wedding in 2012. Heading back there tomorrow!! 😁😁 @monibrew2012 @missdiose
33,15,No more CO plates 😢😫😫#ImNotReadyToBeATexan #StillGotMyCOLicenseThough #INeedABroncosPlateCover
34,23,...😁
35,27,Been workin too hard lets get into some fun shit 😉 #notreallybutreally #donttripImwearingatop
36,12,#turnuptime #pregame #DowntownDallas
37,18,I drive a #Jeep with an 18gallon tank so miss me with that $5! Haha #repost #gas #PSA #brokepeople
38,25,This was such a fun day! Glad I was able to go home for 24hrs to celebrate my best friends 25th bday ☺️ did you watch the video? 😂😂 #crazylegs #wildhair #NewAdventuresOldFriends @keena_p_ @msaustin_ @jazm_ne @d_a_troche
39,64,A night out with my faves
40,21,Our fav spot for Sunday brunch after church ☺️
41,11,Met some canadians... The foolery 😂😂😭😭 @missdiose
42,33,Happy 4th 🇺🇸
43,9,It was a great day 😊
44,8,
45,14,Finally back in texas #roadtrips #TAF #KOd shes gonna kill me for this one haha ... Hardly home but always reppin #NoCo #GoBears #AlumMater @missdiose
46,31,#moviedate #TLAM2
47,48,Swagger on a hundred thousand trillion.... Or nah? 😂😂 #tbt
48,45,Happy Saturday 💜
49,45,#mom ❤️❤️❤️
50,14,#SundayFunday
51,15,In celebration of #FridayThe13th 💀🔪#CriminalMinds #NetflixBinge
52,32,
53,35,#ATX #reunited
54,66,My favorite Austin activity #humpday #teacherlife #summerdays
55,26,Yesterday's @baddie_brunch with @ldkaye #blackgirlmagic
56,97,"Twinning with my fav @ahdazsa 💛💛 Cinderella is a little jealous though 😄

#clcaustin #clckids #teacherlife"
57,106,"This is the first Easter that I haven’t been sad that I’m not around my family. These are just a few of my loving friends who made it a great weekend 😊💛 #Easter2019

Ps. Pastor photobombing us was the funniest!!"
58,49,
59,29,I love this candid pic of us & Your wedding day (morning & night) is one of my favorite memories. So glad to have a sister like you! Love you @monibrew2012 #nationalSiblingDay #tbt
60,9,#bathroomdecorations #newart #cleanfreak #kirklands
61,38,#NoMakeupMonday 😊
62,19,Word. #rp
63,18,How I'm spending my lunch break... I suck at bowling though 😁😁 #MainEvent #CompanyPaid #HappyFriday
64,57,Today is my Friday 🙌
65,31,What function are we?? #mathteachers #nerdingout #algebra #lategram
66,13,#saturdaynight #chillin #drinking #family #friends #stopcallinmebabyface #im24!! Lol (ive gone hashtag crazy lol)
67,27,"Happy Birthday lover!!! Cake, candles, greeting cards, gifts, and all the trappings of the birthday tradition, don’t come close to what I wish for you on your special day ☺️💗🎉👑 #SYT #SYT #SYT (ps we need to take more pics lol)"
68,16,Don't judge me! Ok actually i dont care haha this is like my favorite holiday song 😃😃😂😂 #holidaymusic #90s #nsyncwasthebestboyband @monibrew2012 will back me up
69,76,All I want for Christmas is snuggle time with my niece ☺️ 💕
70,20,#LUCKdallas #40Taps #trinitygroves #beer #localbeer #TXbeer #DallasBeer
71,32,☺️💗👰🏽💍 #weddingsmiles #latergram
72,10,Only trust God. Never man. 🙏💛
73,21,@missdiose @aprylmslove @kels_daddy #nocaptionnecessary
74,10,Another Halloween TBT
75,18,I dont eat chicken or beef so I get crab legs for dinner 😊😍😋
76,47,Thanks for coming to Dallas and celebrating another year with me!! @keena_p_ 👭💜
77,15,Look at you... Now look at us 👀 @missdiose @kels_daddy
78,13,"Panel of former NFL players at church this morning. So cool to hear their stories of how faith and football went together. (Left to right)
Octavious Bishop - Justin Blalock - Quan Cosby - Aaron Ross - Cory Redding"
79,36,Don't let Monday get the best of you
80,57,#PoolTime 😎☺️
81,58,"Time waits for no man.
I dont either."
82,33,
83,48,Had such a good time at the show last night. Laughing is definitely the best medicine 😊#humanbeingtour #johncrist
84,11,Last night was mad trill @kels_daddy
85,17,Making friends at the lake yesterday #SneakyPetes
86,46,So that was fun😃😃 who’s ready for round 2?! 😄😄
87,70,"Wedding vibes, family vibes, good vibes all around 😊❤️"
88,20,Seems like I just landed.... Bye CO...
89,26,Whoops #XLIX 😄😄
90,6,#workinghard or #hardlyworking
91,37,Well at least one of our teams won 😕 #ChristmasFootball #brotherinlaw #luckynumber7 #roethlisberger #elway
92,30,"⬛️◾️◻️◾️⬛️
#latepost"
93,49,🍉
94,67,About last night... 😉
95,73,Good Vibes. Great Friends 🍒
96,16,Leaving Austin and I already miss it. Austin feels like Colorado. Feels like home. 🏡💛
97,33,"#GameFace #BroncosGang 🐎
#GangBanginOnIG 😄😄"
98,15,Roadtrip!! Headed to Austin for the weekend! #atx #6thSt #halloweenweekend
99,36,More birthday celebrations with @cynthia8907 @ldkaye and @steph_vasquez_ 🎉🎉
100,14,Happy New Year!! Its 2013 thought Id hop back on this lol
101,137,There’s something about girls and photo walls 💁🏾‍♀️📸
102,40,Below Zero Vodka🍸💨
103,19,😐
104,17,Dinner by Candlelight
105,47,"Happy Mother’s Day to my mom, and big sister who thought she was my mom growing up 😄 Love you ladies to the 🌙💕 ps. Isn’t my niece adorable?!"
106,23,"A row all to myself 🙌
#AA ✈️"
107,34,On Wednesdays we skate!
108,71,Real Life requires Real People & y’all are the realest! 😄😊💗
109,21,The Vegas Crew #noNewfriends
110,7,Only way to start a #mondayMorning. I said Lynn and they put Glen😐 haha. 4 for you #GlenCoco You go #GlenCoco haha
111,8,"""The caged bird sings
with fearful trill
of the things unknown
but longed for still
and his tune is heard
on the distant hill
for the caged bird
sings of freedom"" -Maya Angelou

I was gonna post this on Sunday from my patio & didnt... Crazy how life is... #RIPMayaAngelou"
112,55,I hope my black skin dont dirt this white dress 😉😘
113,20,Getting flowers always makes me special 😊🌹
114,28,&it would not have been a party without @d_a_troche aka Mr Life of the party 😉 lol thanks for everything!!
115,47,Heading back to Dallas but first... Lemme post a selfie 😉 Ps. Yea I cut all my hair off 🙈
116,7,#mood
117,15,Card from my coworkers. #encouraging💁 #tears😢 #strength💪 #faith🙏 #1monthcountdown😬 #bittersweet😐
118,17,Driving around earlier and caught this view #downtownLA
119,181,"Thirty & Thriving 🥳

Thank you to everyone who celebrated with me this weekend whether in person or by words!!! I have never felt so much love from so many people. Definitely excited for this next decade and all that God will bring 🤗"
120,159,I don’t teach to be recognized. I dont work for rewards. I don’t need acknowledgement for doing what is expected of me. I take this award as a symbol of God’s love and grace for me ☺️ #teacherlifeblessed #doitforthekids
121,66,I wasn't ready for 2016 and had a lot of struggles but I'm so ready to take on 2017! 😊💪🏾#newyearnewgoals #newyearsameme #blackgirlmagic
122,27,#palmSunday #checkmyfit #ilookgood 😉
123,27,💋
124,23,☕️☕️☕️ please
125,27,#firstdayoff #howispentmysummervacation #teacherlife #imlovinit #blackgirlswhotan 😂
126,17,Im not big on cooking so if I cook for you then you know you're special
127,9,My Kelsey got pinned! 😊 #nursingschool #graduation #dinner #cheddars #friends #celebration @kels_daddy @missdiose @reeseu85
128,22,#bonfire #beach #420 @guerrillactin
129,37,First time at the gun range 😁😎. I think I have a pretty good shot with the 9mm ☺️ but if you look close I burnt my chest with a shell 😫😫 haha
130,30,👯 #mdw
131,20,Happy Birthday Josalineeee 😜🎉💜🎈😘 No one understands my complicated ways more than you- i guess its a Sag thing 😉 lol #amillionUsies #decemberbabies #madeinthe80s #1988
132,5,HBD @kels_daddy #SYT #moneybags #whofilmedthis #firstIGvideo #sillyassvideo #bestfriends #nomorehashtags @missdiose
133,33,
134,39,Minus the bullshit life's great #theFaderFort #SXSW2015 #ATX #jackLIVE
135,16,Mellow Yellow.
136,10,12.14.12
137,28,Everybody knows where everyone goes and anything goes on a Friday night 😉 #FGL
138,16,Me my love last night 😊💗 @missdiose
139,18,have faith friends #rp
140,32,#fridaynight #photoshoot #makeup #blackisbeautiful 😍😍😍😍
141,26,😄😄😄 Too lazy to do anything
142,25,PineappleUpsideDownCake 🍍🍒 baked by yours truly ☺️
143,97,"“I know the difference in blessings and worldly possessions” - Chance the Rapper
#acl #goodvibes #scsawitfirst"
144,19,Quick stop in #Vegas. Played the slots and won nothing 😔 lol. #gambling #pitstop #roadtrip
145,10,Happy Halloween! #tbt #collegeparties #UNC #greeley @missdiose @jonahd23 @stillyilly @laceycooley @ajthegod @masochist34
146,26,We met at freshmen orientation for college and the rest is a history filled with tons of laughs and great memories 💛💙 So happy for you!!
147,35,Definitely didn't think I would do this but I did! #austinreptileshows #happybirthdayJaz #RIPBennyBoom
148,45,"#Passion2018 was the best way to start my year! Praising Jesus with 30,000 other young adults was AMAZING ❤️❤️ Feeling blessed, confident, and ready to be bold for the glory of God 🙌🏾"
149,13,😂😂😂 HAPPY BIRTHDAY TO THE CRAZIEST FRIEND I HAVE!! @missdiose my life wouldnt be as amazing and funny if it werent for you. Heres to your 25th! Love you!! 😘🎉🎈🎉🎁💝🎂😜🎊🎈🎉
150,23,Mi familia 😘 @aanesbitt
151,31,#SundayFunday
152,16,#RP 😂😂😂😂
153,70,"The best memories come from the best of times, which can only come from the best of friends💜"
154,40,Happy Birthday Kelsey Rae!!! 😘 #july18th #OnTheRunTour #Htown #beyonce #jayz
155,66,"Leaving CO with a SPLASH 💦😄 thanks to my step sister and brother in law!
#welcometothejungle
#mymomgotsick
#2yroldaintscaredofnothing"
156,104,I love random adventures with these ladies. Even if it is 18 degrees 🥶😄
157,54,"May 7th, 2011. It's been 4 years, 3 cities, & 5 jobs since I graduated college lol. What a journey! Excited to see where God takes me next ☺️ #tbt #blessed #collegegrad #UNCO #life #journey"
158,46,Lets Goooo 🏈 #GameDay #Broncos #cowboyboots
159,18,Gaaaahhhh lee!! 😍😍😍 My first #mcm goes out to @michaelbjordan
160,12,Ready for the fight! #CakePops #BoxingGloves #FightingFaces
161,35,Selfies before the night starts 💚💋 @missdiose
162,15,The happy smile before the devastating loss
