,number_of_likes,caption
0,4,"Post workout meal mmm jungle bowl
#juicebaraustin"
1,5,Chore time.
2,2,Children of the corn
3,16,Death himself...Undertaker
4,3,
5,3,
6,6,Playing around #daddydaughterday
7,1,
8,3,Barrel racing. Emerie's future ;)
9,9,"Good morning all. 7AM wake up call
You're up and alive, smile. Love ya'll"
10,6,"Good Morning all! My morning pick me upper, love waking up and getting my day started with my princess. Have a good wknd yous guys."
11,12,"2nd place! not too shabby
#worktackysweaterluncheon
#racksonracks"
12,8,Rodeo 2014
13,9,Water bug is 3 1/2 and officially taller than 3ft. #growinglikeaweed #summerfunwitdaddy
14,2,"Coulda ""acquired "" a football. But it's....Greenbay bleh! Lol"
15,9,Just ballet :)
16,11,"Squad!
#footgolf #workbroskis"
17,23,"Happy 4th of July
🎆👏"
18,9,
19,4,"Wipeout Run 2015
@megsmith13"
20,28,"Fun day is a wrap! Kids we're crazy lol
Loved being able to be there
#summerstartsnow"
21,6,Time for a dip
22,3,"""Look at me daddy""
#privatexmasperformance"
23,5,"Can't wait for this, add my fav Topo Chico Lime and BAM! ACL fest magic!
#ACLFest #TopoChico"
24,51,Attack of the 2nd grader!
25,9,"He's a cookie master.
Merry Xmas from Cellus"
26,8,Prepping the Turkey
27,4,#raceatx
28,3,New home for Nemo #whatnemodoin #lightchangingtank #movinonup
29,7,Usie @ carnival #rodeo2015
30,4,Fresh cut
31,9,Chocolate wasted!!!!
32,4,
33,5,My blk n blues ya digg
34,9,Meet Gil! Nemo left us to go find his daddy...lol
35,1,Stingrays and Mermaid!
36,9,"Mud monsters from Lake Travis!!
#latepost"
37,11,New do! #choppedofflonghair
38,6,Perfect baby shower! !
39,4,It's yo birfday!!
40,1,Incubus!!! 1st time
41,2,
42,3,"Be a star!!!
#treetoppin"
43,12,"Sat. Morn cartoons! And cereal
Good morning"
44,11,Our 1st run together ♥
45,21,"Wedding time!!
To Mr.&Mrs. Shipley"
46,5,This is happening!!
47,5,Happy halloween
48,12,Ohh Saturday how i missed you!
49,3,It's about to go down!! #Halloween festivities
50,7,
51,5,
52,9,Dougie
53,49,Riding the bus on SOCO to Barton Springs and Hey Cupcake
54,46,"Behind the scenes @Chuys giving back parade
we're in the parade!
#SpideySelfie #Toycollectortruck"
55,35,My whole world 🌎
56,1,Goin to da chip
57,3,Train ride (3)
58,6,#nerdlife
59,16,"Pinballz Kingdom FUN!
#daddydaughtertime
#nofilters"
60,18,Happy V Day from Emerie and Daddy!!
61,4,Bright lights and special nights
62,3,
63,7,On dat Moscow Mule!!!
64,14,"Rootbeer floats at church!!
#nohands #clcsummernights"
65,3,
66,8,Geronimo! !!
67,1,
68,17,"My ❤s
😍"
69,4,To the future Marty! !
70,22,snap into a Slim Jim promo pic 😂
71,7,Out on the water
72,7,Who am I??
