,number_of_likes,caption
0,93,#tbt Chicago 😛🌆🌀
1,107,I don't do vanilla. #cupcake
2,114,It's my bffs bday. I love you Brooklynn 💘 19 years of friendship and counting.
3,165,People say you meet your bridesmaids in college but God let me have mine early. 😘😘 #cheesy
4,99,#NFLdraft father daughter style. 🏈❤️💙 #Texansnfldraft @houstontexans
5,63,#whitegirlwednesday with Emeila 😊👯🎀
6,123,Reppin the Hilltoppers visor this summer. 🌺🌴🐐 #FearTheGoat
7,107,DUUUUUDE. Spontaneous ACL trip. Got a free wrist band. And it's this chicks bday. 🌻🌀 #aclfest #ACL
8,118,✨ 2 0 1 6 with the best of friends 👯 #HappyNewYear
9,135,"So right after flying over the Alps. YES, the alps. I flew into the coast of ITALY. Now in Siena and ready to explore. Check out my Alps pic at @briannamoore #Italy #Pisa #Siena #Alps #Travel #Boomerang"
10,130,"Had a celebratory cupcake with myself this afternoon. Just got done shooting for a new Kendra Scott store on my first day of my new internship! I'm officially working with Fashion X Austin as a social media intern with a focus in photography. I get to not only shoot promotional events like today, but I'll be doing fashion photography for their Instagram/website, get to learn & work with professional photographers on editorial shoots AND attend Austin Fashion Week. After being handed lots of ""NOs"" in the last few weeks I'm so happy they said ""YES"" and let me join their stylish team. I'm so excited to see where this goes! Proof that in the midst of confusing disappointments and hard seasons of life God has more planned for you than you realize! #AFW #FashionXAustin @fashionxaustin"
11,153,I could take their pictures forever. They love the camera!! 📷 #PhiLITppines2k17 #ImasHomeForChildren #Philippines
12,118,"Strawberry lips for a strawberry festival. Last photo of last night, I promise. 😉🍓 #ss"
13,240,It was a horrible day to take photos but I did it anyway 📸
14,98,Supz cute polaroid 💋
15,94,Brook 😘❤️🌃
16,224,Gotta support my boys at the fest 🤘🏼⚾️ #ACLfest or #ALCS ?? #Astros
17,180,Lookin' good St. Ed's. #stedwardsuniversity @stedwardsu
18,74,"16 weeks ago I posted a picture of my writing in this journal. I remember being upset & stressed out because I didn't know if the things I was hoping & praying for would ever come to pass. 16 weeks later after writing down these goals, they have. When you believe & pray with a positive mind, it always works out one way or the other. Also, physically writing your goals down makes a difference. #TBT #YayFrance"
19,51,a mirruh pic ✌
20,159,So glad I forced our friendship & so glad you didn't reject it!!! 💕😍
21,97,London tomorrow 💂🏼🇬🇧
22,144,FRI🐝YAY #firstattempt #notlying #iswear
23,117,I've missed you. 🌾
24,147,✌🏼️😛🏖 #beachin #blading
25,198,A sweet stranger gave me a free ticket to the met today which made for an even more exciting visit.
26,106,Last day at #passion2018 // what a conference!! ⚡️🔥 #ATL
27,100,TGIF 🍓 #allmypicturesarefood #foodie #foodismyfirstlove #dessertalways
28,133,I love my new photo wall. I finally figured out how to display some of my Polaroids. Found this branch yesterday on a walk and my awesome brother hung it for me. #Polaroids #WallDisplay #DIY #TreeBranch #HomeDecor #DIYDecor
29,74,This is what true friendship is. Matching Christmas socks in March totally unplanned. Yes I took a picture. 🎅
30,59,"😂😂😂😂😂 just found this, had to post it. #throwback (there's more too)."
31,210,The award for best smile and biggest spaz goes to June & Cash respectively 🐶🐶
32,103,Adventure anyone? 🌿
33,42,Road trips with my brother... 😒😂😂 so funny yet so annoying.
34,76,☀️🚲🍃
35,71,"If you're a Destin goer, this is a MUST! (Look them up on yelp) (befriend me on yelp too ;))."
36,120,"Hey Micky you so fine, you so fine you blow my mind. @michaelamencacci"
37,127,👯🖤
38,149,Love walking around campus and never knowing what cool creations you'll see. Hats off to whoever made this. #ART
39,102,This is where I shot the fox skin photos. This church was so small and surrounded by nothing but Texas corn fields. So perfect for a cold day. The pictures are on @briannamoore #manortexas
40,142,👭🍁🍂🌾🌼 #silobration #fixerupper #magnoliamarket
41,84,Summer sunsets 🌾 #summer #sunset #sunroof #minicooper #texassunset #summernights #drive @mini
42,55,Napping at sams 💤 #serta
43,74,Missing my home this morning. ❤️ my favorite church with my favorite people. @lifechurchhtx
44,172,Words can’t do this trip justice. We laughed so hard and made so many memories. I had so much fun in one of my favorite cities with TRULY one of my favorite humans ever. ❤️❤️ P.S. the trip may be over but I assure you the photos are not.
45,145,Never ending photo ops around here! 🍁#CSBungalow #Fall
46,85,Aw Jac luv ya ❤️
47,75,Toto 👄💄
48,101,Had the best time working with this beauty today. She was the perfect model for this shoot. Sorry for the self promotion but GO FOLLOW - please ;) - my photography account. @briannamoore @briannamoore
49,149,These past few days have been a whirlwind and I've loved every second. BUT IM FINALLY DONE WITH HS! 🎓 Thanks to all my friends and family who stood by my side these past 4 years. 😘
50,125,I made it. 💙🐑💛 #atx #minigoestocollege #stedwardsuniversity #seu18 #hilltopwelcome #minicooper #miniusa #miniac @mini
51,97,Today a very special man will be laid to rest. The man who married my parents and later dedicated me to the most amazing church. He has had such an impact on so many lives and the love he had for any person he came in contact with was inspiring. It's so peaceful knowing he's with his everlasting father now. I will always love you papa k. Thank you for everything.
52,60,Fun night 🎃☺️
53,87,Horsepower to get through this Monday. #accidentaltwinning #polo #ralphlauren
54,109,Casino Night! 🎲 #Homecoming #Stedwards
