,number_of_likes,caption
0,14,So excited!!! #tyrrellarnoldwedding #june7
1,3,Great day today feeding the employees at the prison and sharing the love of Jesus with them!
2,63,Quick trip to see Mom and Grandma! @diane4371 #family
3,7,Sound and words today at church? I got this!!!
4,7,Benefits to working in a real estate office. Other companies bring us goodies to business! #sweets #minibundtcakes #nothingbundtcakes
5,27,When uncle duty calls.... #harlow_quinn
6,9,Amazed at God's creation. #ATX
7,53,A tradition I’m proud to be a part of! #houseoftormentaustin
8,16,Um... There's someone outside my office window.
9,21,Family and friends! #4thofjuly #snyder
10,16,Nothing like sitting on grandmas porch during the rain. #family #easttexas
11,12,Touring the ballpark. #rangers #grandma
12,13,"Love is certain, love is kind
Love is yours and love is mine
But it isn't something that we find
It's something that we do #clintblack #snydertx #4thofjuly #nothinglikethe4thinsnyder"
13,18,Nothing like having a front row seat for fireworks. #bestseatintown #parentswontbesellingourhome #greatviewsforthe4th
14,71,"Even though 374 miles separates us, there is nothing that melts my heart more then spending time with you and hearing “CC run faster! CC I love you! CC sit by me.” #unclecc #harlow_quinn"
15,19,Best brothers ever. #nationalsiblingday @jarnold914 @rba2014
16,4,I love seeing these 4 lead Monday lunch!
17,77,First time to ever be at a beach. The sand was so soft and cold! Can’t wait to see it in the daylight! #siempresuarez
18,9,Just playing some volleyball at Zilker Park after the sun went down! #downtown #moon #volleyball
19,80,The best way to spend a Friday morning! #harlow_quinn #unclecc
20,5,Playing some sand volleyball. #zilker
21,10,UIL State Basketball Championship all day long with @jarnold914 and @courtneycol323 hope to see @bmebane @mebaner too
22,6,"""Turn that frown upside down."" So glad we got to FaceTime tonight! @chickenchick05 @abby_bridges"
23,40,Uncle Casey got Miss Harlow her first pair of sunglasses today. #justalittlebig #thesunistoobright #stylin #harlow_quinn
24,24,What a timeless word from @johncmaxwell tonight @growleader. #grow17
25,22,Keeping Hulk and Raider Red tonight!
26,1,Xach wanted to get under the blanket with his flash lights!
27,37,Who said adults couldn't ride go carts?! #STOP #clckids #nowkidscamp #victorycamp #instagramlessspencer
28,9,Thanksgiving potluck at work today. #stuffed
29,28,24 Day Challenge with Advocare! Before and after shots. This is just the beginning! Reid lost 27 pounds and 22 inches. Casey lost 20.8 pounds and 12 inches. #itworks #ibelieve
30,8,Day 1 of 24 day Advocare Challenge. #bringiton #cleaneating #healthy
31,9,There's just something about sweet tea in a mason jar.
32,7,You alone can satisfy. #waitinghereforyou #advent
33,29,Great night @breakaway_ministries. Enjoyed hanging out with @sarahmich97 @blake_kelch @elishakelch and #judahbeau.
34,3,Great night with The Night Owls!
35,16,Oh snap! Who has an office now?!
36,82,Uncle CC loves you. #harlow_quinn
37,8,My partner for the next 6 days!
38,66,Love serving with these people! @johnbcrist and the #captivethoughtstour was so good! @clcaustin
39,4,#judahsmith #jesusis___tour #atx #shoreline
40,36,What a wonderful weekend it has been. Enjoyed spending it with Miss Harlow and the whole Arnold clan. #flyingisbetterthandriving #harlow_quinn #backtoatx
41,6,It's here! Go download Passion's Let The Future Begin cd right now. #letthefuturebegin #JesusonlyJesus
42,11,Just getting some sun tanning in to take on the day. #delaney
43,60,What a fun night getting scared with these guys! #houseoftorment #nottodaysatan moral support and prayers goes to @anngreengonzales @blake_kelch @elishakelch @karashleyg
44,11,Duty for the night! #cookout @chickenchick05 @abby_bridges
45,19,What happens when you're in the mall when there's a tornado warning?! You go watch a movie! #Atx #atxweather #memorialdayflood
46,6,"60,000 taking a stand to end slavery. End it. Passion 2013 #enditmovement"
47,12,So thankful and blessed to have these two in my life. @bmebane @mebaner
48,15,Hanging out in the apartment weight room during the storm. #firstfloor #bigbathroom #nowhereelsetogowhenyouliveonthesecondorthirdfloor
49,17,Little bro is growing up. #juniorprom #shouldntbethisold @rba2014
50,55,No caption needed.
51,15,So glad I briefly got to see this guy this weekend. @mebaner @bmebane
52,12,So thankful Jesus came for sinners. #love #imnobetterthananyoneelse
53,12,#mycb #cbthedog #travelingwithcb #cbunited #coldwellbanker #cbgoestobucees @cbtravelingdog #cbsversionofflatstanley
54,76,
55,20,Lubbock here I come. #southwest #readytoseefamily #harlow_quinn
56,2,S'mores with the Mebane's! @mebaner @bmebane
57,3,Have I mentioned I like to cook?! #ranchporkchops #garliconionpotatoes #macandcheese #creamcorn #salad
58,74,What a beautiful wedding for @b_waggs and @cmsuarezv. Honored to have witnessed and stood beside them. #siempresuarez
59,19,#autismawareness #jogsforjack #ilovemyjack #wearingthatblue
60,4,"""These stupid cows keep letting horses in."" A quote by mom while sitting in traffic!"
61,6,Yes!!!!!
62,24,So proud of the kids and adults! Thank you for giving your time to lead the #clckids Illuminate Conference today!
63,15,Having some fun before Xach's last flag football game.
64,14,Little bro being famous in Snyder Texas! Front page of the Snyder Daily News! @rba2014 #oneact
65,13,Love it! @jake_leatherwood
66,8,Dog sitting makes me want a dog. #aslongasitpoopsandpeesoutsideandnotonmycarpet #anyonewanttopaymypetdepositfee #delaney
67,29,Congrats @taylor24100!! Beautiful wedding!
68,16,Came home to this today! I love my neighbors upstairs. #iwaswantingawreathonmydoor
69,36,There is a new lady in my life. After knowing her for only 4 days she has already stolen my heart. Harlow Quinn Arnold you are such a precious baby girl. I am so in love and amazed at the beauty that God has crafted together. #unclestatus #harlow_quinn #wrappedaroundherfinger #whydoestexashavetobesobig
70,6,Can your dog do this?! #dogsitting
71,23,Love this boy! #trailoflights #atx
72,15,I don't think I have enough computer screens to look at.
73,5,Free Willy. Oh yeah!
74,70,Wow. The last twelve weeks have flown by. It has been a complete joy spending my Monday nights with these people. Each person here has found freedom. I cannot wait to see what’s to come from the Freedom Conference! @christianlifeaustin #freedomgroup #clclifegroups
75,9,Sunday evening fun with friends. #topgolf
76,70,Wow. Freedom Conference is hands down the best conference I have ever been a part of in my life. What a joy and honor it has been to be with this group of people. I cannot wait to see the future of freedom groups at @clcaustin. Thank you @lifechurchhtx for allowing us to come and participate. You were incredible host! #freedomgroup
77,21,Love this boy.
78,6,#thebluebonnets fantastic show. Great night out with the Westlake Coldwell Banker Office!
79,25,So proud of this guy and the rest of Snyder One Act! On to Area! #oap #snyder @rba2014
80,16,Someone left me some selfies. @rba2014 #dontleaveyourphoneinthetruckatagasstation #littlebro #gladigottoseehimthisweekend
81,52,"The last twelve weeks has been such a joy to spend my Monday nights with this group. God truly outdid himself with my expectations of what a Freedom Group looked like. Each week was better and better. The vulnerability, realness and rawness of this group was everything I could have imagined and more. Can’t wait to experience the Freedom Conference this weekend with this gang. Excited for the future of Freedom Groups. You want to be a part of one next semester. Believe me! #lifegroup #freedomgroup #clcaustin"
82,16,I ran 3.329 @CharityMiles for @autismspeaks. #jogsforjack
83,12,@sydneywrightmusic doing her thing. #strangebrew #sydneywrightmusic #SXSW2015
84,38,#passion2017 night one was incredible. Ready for day 2! You can watch the live stream! Download the Passion Movement app in the App Store!
85,2,Hot Sauce ATX!
86,3,Wesley's going away party!
87,14,Hula-Hut. #littlebro @rba2014
88,10,What a night tonight @continuumministries! Baptized 3 and @brandongreen08 spoke a powerful message. #whatif
