,number_of_likes,caption
0,6,Future nieces and nephew playing in the snow. #whitechristmas #nofilter
1,38,"#NostalgiaOverload. My parents are moving from my childhood home and I'm coming across so many memories. TCU acceptance letter, HS awards, Little League pictures, even my first baseball glove. Can't lie, this is pretty tough."
2,110,"Happy Anniversary to my beautiful Brittany. Can’t believe we’re already celebrating FIVE YEARS. Through all the highs and lows, I’m thankful to have this selfless, strong woman by my side. To many, many more."
3,18,New tie! #KCCO
4,33,"I'm like a young Tiger. Ok, I'm like an old, terrible Tiger but it's all good."
5,46,"Happy Birthday to the love of my life, @_brittanyclay!!! Every day I'm thankful for this hardworking, loving woman who takes care of me and pushes me to be a better husband and person. I hope you've enjoyed your day, and here's to many, many, many more birthdays together."
6,3,My Girl
7,97,"Happy Birthday to my beautiful @_brittanyclay. Birthdays during football season aren’t always the most exciting, so I’m especially thankful that this year’s happened to be on a night off. Help me celebrate the most patient, selfless, giving person I know."
8,42,Missing the Mediterranean.
9,16,#Rome
10,6,Southwestern stuffed peppers. It's what we do. @honeybeerich
11,63,I feel luckier and luckier everyday. #MyBeautifulBride
12,17,What English teachers all over the nation have been waiting on (for better or worse). #TKAM #GSAW
13,24,Last one for now. #Heisenberg
14,32,"Found an Irish Pub in beautiful Florence, Italy. Happy St. Patrick's Day, lads. 🍀🍀🍀🍀🍀"
15,30,"Followers in Lockhart area, go see my dad tonight @ Baker Theatre. Cover charge but well worth it."
16,48,We really out here. #Bangkok #Thailand
17,38,#tbt 10th grade baseball with the long hair.
18,21,"Wanted some snacks for the room but had no idea how great the ""come up"" would be. Sprite, Cheetos, Oreos, ramen, and popcorn for only $2.64 USD. Unreal"
19,48,"Making time to learn and play, even in paradise."
20,39,"Just brought in the New Year, now it's back to the hotel to bring in a Horned Frog victory. #GoFrogs #BeatOleMiss"
21,38,Not a bad view. #WhoDey @andydalton14 @mnewhouse74
22,42,"It's game time, baby! #PTR #GoFrogs!!! #TBT"
23,1,About to see this Magic Bird musical w/ @honeybeerich. Heard great things.
24,7,Allen Stone LIVE at Antone's Austin. #ACL Aftershow
25,20,"I don't get to put on a uniform myself anymore, but I'm still bleeding purple. Nice Homecoming win last night. #JagNation #GoFrogs"
26,30,"When in Spain, find the nearest free Wifi. This is life when you're waiting on your AirBnB host."
27,96,"1) Family photo
2) R&B album cover
3) Trying to contain the crazy before Hurricane Norah ruins the tram tour for everyone"
28,78,"Happy Anniversary to my forever crush, Brittany Clay. Four years ago today, my best friend became my bride. Everyday is a privilege doing life with this amazing, beautiful woman. I'm so thankful for her and the early anniversary gift she delivered a couple months ago.
Cheers, love. #ToManyManyMore"
29,6,It just got real. #USA
30,8,"It's still all about them Frogs. The new ""U"""
31,78,On the plane about to take off with my wife. We'll check back soon. Thank you to everyone involved who made #theclaywedding possible. @HoneyBeeRich
32,25,"I'm sooooooo about this #SnowDay life. Time to catch up on some grading, movies, and FIFA!"
33,37,Engagement photos are in! @honeybeerich
34,32,"Casa de Messi, Neymar, Suárez, Piqué, Iniesta, y mas. One of the best ""museums"" I've ever been to. #MasQueUnClub #ViscaBarça"
35,2,Allen Stone. White boys with soul.
36,10,Love is a verb. #JohnMayer
37,9,It really hurt listening to the enemy. I do know that our strength coaches still got 'em beat. @d_dsommer
