,number_of_likes,caption
0,88,She’s all grown up Then-nowwwww #harley #germanshepherd #sheperdsforever
1,83,"Being apart of this Team, this Church, this Family. Has changed this Heart of mine
#reallyblessed"
2,92,I’m just Free Fallin with some of my favorite people #wecute #friends
3,101,Reveal 2019 #revealconf19
4,57,"We heard about the greatest love story and it ain’t my fault, but ended up somewhere on a beach🤙🤙 #lancomusic #brothersosborne #dierksbentleyconcert #yeeyee"
5,44,"We are called to be ready for His return!! Not ready meaning sitting and looking at the sky, but READY by sharing the gospel with others so that they too will be able to share in God’s blessings. Sometimes we let the fear of rejection keep us just sitting and staring at the sky, but fear of rejection is an earth given fear not a God given one. Don’t let fear,stress,anxiety, whatever it may be keep you sitting. God had the power to raise from the dead then and he has the power now. We just have to have faith. Lean not on your own understanding because WHEN WE FEEL ABLE ON OUR OWN, WE ARE UNSTABLE... True stability can only be found In Him."
6,41,Rodeo Austin night one was amazing! #rodeoaustin #codyjohnson #withyouiam
7,25,"Here’s the church here’s the steeple, open the doors and see all the people..."
8,43,And Five minutes later the whole room was covered in paper
9,64,Pt 3 of I just love my puppy 🤷🏻‍♀️#germanshepherd #harley #blackandtan #summer
10,143,Freshman year a fellow fish told me to “Just keep swimming” now I can speak whale and have a diploma
11,105,Swinging into the last few weeks of high school like👏🏻👏🏻👏🏻 #classof2019 #letsgo
12,73,Everybody should have a perfect lil nugget like this one xoxo #wedontwantschooltostart #sos
13,66,Y’all I have some awesome friends and family! I was genuinely surprised 😂couldn’t have asked for a better way too celebrate my birthday❤️❤️❤️ #birthday #17 #surpriseparty #friendsandfamily
14,80,Boston was a Good time
15,149,"All this work just to become freshman again 😐🙄
🔹
▫️
📸Photo Cred the the fan freakin tastic @kinlynn45 #classof2019"
16,121,"I have faith not because I know what the future holds, but because I know who holds my future #godisgood"
17,69,"He had to close his eyes, because his future is so bright 🤷🏻‍♀️"
18,80,I’m sorry I just love my puppy #germanshepherd #harley
19,93,I’m missin the sunshine 🌼🌺☀️ #sos
20,62,I was going to put a high school musical quote but my mom said it was stupid........
21,135,"Handle every situation like a dog. If you can't eat it or play with it, just pee on it and walk away."
22,89,Prom was pretty freaking awesome
23,67,When you start choosing to see the Good in your life it’s like climbing a ladder you didn’t know was there #findthejoy
24,98,"3 months together looks pretty great on us🤷🏻‍♀️ prove me wrong #goals
🔹
🔹
🔹
Pc: @_rylee.michelle_"
25,77,"Just laid back swervin like I’m George Jones
Name the song🤙"
26,145,Falling for you a little eggstra today
27,76,Day one was pretty poetic #boston
28,55,"A good old fashion Texas sendoff for these two! You will be missed, thank you for all y’all have done❤️! #stressed #blessed #texasobsessed"
29,87,Get to go to prom with @grey.wagner so that’s pretty neat 🤷🏻‍♀️❤️
30,94,This girl right here is the real freakin deal #bestfriendgoals #fall
31,78,Welcome to the family Miss Harley! I’m so glad you’re mine❤️ #germanshepherd #puppy #bestfriendforeverandever
32,32,I can’t imagine a better person to spend the last day of 2017 with ♥️
33,67,Being with you is like finding a 13th chicken nugget in my 12 count box❤️☀️ @cfasouthmopac you know what I’m talking bout
34,95,I love these people a Fa La la la la la LOT #christmas #thankful
35,81,"We both wear the pants in this friendship #beffren
Phote cred @grey.wagner"
36,56,"Then I went on a retreat which was incredible! Such a solid group of people right here, they are a blessing......#blessed #Godshowedup ❤️"
37,46,Scroll to the end haha “it looks like a big ole pineapple 🍍 “
38,42,"Last minute Christmas shopping, and a bunch of amazing people.... I’d say it was a pretty great day ❄️🎄♥️"
39,67,"In the words of Mr McConaughey Saturday was, “ Alright alright alight 😉”"
40,85,"🔸HARLEY🔸
▪️
▪️
▪️
▪️ #queen❤️"
