,number_of_likes,caption
0,4,My Boo 💕😊
1,1,This weeks personal development 💪🏻🤓🥊🎧 If the mind isn't right nothing else will be! #PD #audiobooksarelife @thefitfoodha
2,52,"💫Praying for growth, adventure and prosperity for this year and all the rest. 💫
•
•
•
•
•
📸: @theirsonlyjuan 😘"
3,79,When you try to be healthy and exercise but you’re constantly reminded that you love food way too much! #austin #centralmarket
4,19,"After reading, napping and journaling in this amazing weather, I decided to whip out my BOD app and do a nice 25min stretch before hitting the trails for a run 🏃🏻‍♀️ What better way to enjoy the present!? Now I’ll be trying real hard to enjoy the present as I run the trails. It’s been a minute 😅😅 #stretchitout #nature #grounded #texasweather #progressnotperfection"
5,38,"A week and a half of meal prepping and exercise (and not every day to be honest). It's amazing what planning out your meals for the week can do to your body and sanity 😝 I'm trying to follow the 80/20 rule here, that's 80% of your health is what you eat while 20% is exercise! You can ""work out"" as much as you want but you can't ""out work"" your diet. They go 🤚 Mano a mano 🤚
Now don't think I'm doing this all by myself! The ""Fit b4 the 1st"" accountability group is in full swing and we welcome anyone at anytime who's ready to kick the Holiday slump and kick it into gear to start 2018 with a ""New attitude"" 💁🏻💪🏼 Who needs a ""new attitude"" for 2018?! Let me know and I'll get you some info!"
6,47,💃🏻🤠🌻🌹
7,5,"Believe it, achieve it!"
8,27,"Day 1 of week 2 #3weekyogaretreat working on expansion. I feel strong, I feel expanded, I feel beautiful! ❤️🙏🏻✨"
9,35,Thanks for the dances JP! You did an amazing job with Sabrina and the other kiddos and everything else you put together! 🙌🏼👏🏼 our family is so blessed to have had you share your time and talent with us! ❤️🙏🏻 #jpproductions #sweet16 #dancelife #choreographer #photographer #videographer #amazingdancer #amazingteacher #party
10,12,"Yummy for my tummy! Last nights dinner - Chicken Avocado Cesar salad 🥗 and this mornings breakfast- Whole grain waffles, grapefruit and my chocolate vegan shakeology 👅💦 #feul"
11,14,
12,2,
13,12,Just another day in my life.
14,10,"I love this so much. Even if I substituted my own name, I realize I’ve got work to do on myself. I just might have this conversation with Ally soon! Such a great lesson and wisdom to have. ❤️🙌🏼thank you @mscynthiagrace for sharing this!"
15,44,"We came, we danced, we conquered 🕺🏽💃🏻❤️"
16,19,"My mini and I being taught by the lovely @frisky2times inversions. It's amazing what you can do with your body and what your body can do for you when you let go. Also, they do as they see. #minime #yoga #kidyoga"
17,4,My big girl ready to go swimming with her class this morning. #pool #kids #school
18,12,♡!
19,24,My princess 👑 earned the spirit stick this week for her dance company! So proud of her! God’s blessed her with a beautiful talent and knowing she has acknowledged that God gave her this gift make me feel even more blessed to be her mama. #dreambigprincess #FEDC #spiritstick #proudmom
20,43,
21,40,"You never know who’s watching you. Might as well doing something great! •
•
•
•
•
•
#mamabear #babybear #mamasgirl #10yearold #matching #rolemodel #atx #fitnessmom #yourhealthmatters #madeformore #coachlife"
22,78,"No matter where we go or what we do, I’m blessed to do it all with You. ♥️ #fiesta #cincodemayo #sanantonio #ourspot #lifepartner #dancepartner #myhero #miamorcito #heteachesmetodance"
23,16,#nofilter tonight delicious dinner 🍴 by yours truly 🙋🏻 pesto chicken zucchini pasta #imsogoodatthis love me a yummy zucchini dish!
24,10,Yes!
25,18,"Tonight's quick fix dinner is #onpoint👌 veggie stir fry week 2 of this #januaryreset I'm feeling more energized each day, feeling fuller faster and longer. I've had very small portions meat/fish 1-2x per week( only one week has passed but that's the plan! I'm loving this!"
26,14,"#obsessed with is one. “I will lift my eyes to things unseen
To the promise in Your victory
And I will build my life on the mystery
Of where You call me, and I will go
Into the unknown”
.
.
.
.
.
#mosaicmscworship #worship"
27,17,Saturday sweat beads and I'm loving it! Have a blessed day y'all! 🤠
28,1,Morning worship 🙏🏻✨
29,7,
30,3,Sweet child of mine
31,44,And of course we just HAD TO make a pit stop on the way home 😘😁🙌🏼 #silos #magnoliamarket #wacotx #silosbakeryco
32,7,#mylife #faith #love #hope #daughter❤️ #sweatbeads #fitness #dreams
33,3,& watch what can happen.
34,6,"#Fixate approved pancakes, made with banana, oats, eggs, milk, and other ingredients for yummy perfection. I mean, if Ally approves, then this mama is #winning 🙌🏻😊😋"
35,40,#lavieenrose 🌹 📸: @theirsonlyjuan
36,8,
37,54,"When you’ve got a great photographer as your partner you’ve got to have a mini photo shoot 😜☺️📸 (more to come)
Spontaneous trip to San Antonio turned out to be a wonderful time with this handsome ❤️ .
.
.
.
.

#happy #SA #Texas #cincodemayo #photoop #hugs #kisses #relationshipgoals #cutecouples #toocute #amorcito"
38,3,
39,69,"Newest member to our family!
Meet Jazmin 🥰"
40,7,#fiveminutejournal
41,4,
42,17,Last day of 1st grade for my princess 👸🏻 how this school year has just zoomed by! She's done so much growing this school year and I couldn't be more proud! Thank you to @cecilia.williams and Ms.Ross for their continued efforts and the countless hours spent helping Ally in every aspect during and outside of school (all those text messages) 😊 y'all are the real MVP! No words or even gifts could ever express my gratitude towards you both and the entire KIPP Obras family! Please enjoy your much earned summer vacation and hope to see you all next school year ❤️ #schoolsout #summer2017
43,6,
44,5,I've always loved when she fell asleep like this... #myboo #sleeping #beauty
45,67,"Everything that comes with being a mother, is all worth it. I wouldn’t change it for the world, wouldn’t do it any different. 💕"
46,13,Don't forget to press PLAY ▶️ today! #thursdaymotivation #showupandshowout #T25 #preworkoutselfie ☺️
47,17,Feeling like a damn ballerina at 4:30am. I dunno why but I love to wear knee high socks when I workout 😊💦
48,11,"#Fitnesswithmercy ! I'm beyond grateful for this group, for the opportunity to helps others and to grow and connect with others. Today's first LifeGroup meeting/workout session was SO good!! Thanks to @louiefrench25 for having my back and getting everyone hyped up, I appreciate you more then you know! #muellerpark #FWM #lifegroup #connection #community #life {📷: Ally}"
49,26,My precious girl! ❤️
50,17,#introvertedboss #changetheworld #bethechange #speaklife #pushon
51,8,Baby sister and my boo #Starbucks #kids #fall ♡
52,15,"T25, Gamma, Rip't up! #mondaymotivation #sweatbeads #pushon #digdeep"
53,7,I knew from this moment what unconditional loving was.<3 my Boo.
54,46,"""Spirit lead me where my trust is without borders, let me walk upon the water wherever you may call me.."" •
•
•
•
•
•
{📷: @louiefrench25 }"
55,12,
56,11,"My next Goal for 2018! Too often I've Cursed my own self for apologizing unnecessarily. Getting my body and MIND right. Tackling 1 challenge at a time with the help of GOD!
#Repost @melrobbinslive (@get_repost)
・・・
This is something I'm extremely passionate about. We all have this terrible habit of apologizing for the weirdest stuff. Next time you're about to apologize for speaking your mind, being human, showing up late, etc...try replacing ""I'm sorry"" with ""Thank you"" — So instead of ""Sorry I'm late."" say ""Thank you for your patience."" Or instead of ""Sorry I'm crazy."" try ""Thank you for loving me."" It makes all the difference. ❤️"
57,23,This #Newyearreset has me feeling so good and it's only DAY ✌🏼! My breakfast was delicious and so was my lunch! Very filling. Whoever said you had to starve yourself on a cleanse is SO WRONG!!! 🙄✋🏼
58,45,
59,8,My heaven #Sunflowers
60,3,
61,11,
62,24,"#Lityoga 🔥 with @taste.yoga @frisky2times next one is in 2 weeks! Hip openers part ✌🏻 come out, she amazing and I appreciate her soul ❤"
63,22,"My people 🙏🏻❤️. God put people in you life for a reason, nothing ever happens by accident, I believe that wholeheartedly. Each of you are always in my thoughts and prayers each day, believe it or not 😌. #loveyou #lifegroups #clc"
64,44,"Sharing my progress and my videos so that YOU can be inspired and KNOW that you CAN make your health a priority even with limited time. Stop the excuses, stop saying “some day”, make that “some day” TODAY!
Tomorrow is the beginning of a new week. But what’s even better is that you know each second, minute & hour are NEW. Make a mind switch to START!
Need that extra motivation?!? JOIN ME AND MY CREW!
Next group start June 3rd, YOU IN?! #transform20 #morningroutine #conqueryourmind #transformyourlife #powerfulwomen #fitmom #motivation #progressnotperfection"
65,47,
66,1,✨👸🏻🙆🏻🏃🏻‍♀️🌎🏆✨with HIS ☝🏻️help.
67,10,☆ My fairy princess ☆
68,6,
69,16,
70,16,Yup. 💪🏻
71,5,"#Repost @melrobbinslive (@get_repost)
・・・
HOW CAN I FIND THIS TEACHER? Must send him/her home baked goods and hugs. 😭❤️"
72,8,"I’ve listened to this book maybe 5 times all the way through.
Each time I get new nuggets of wisdom.
Each time gaining more knowledge of the life God is leading me to.
There is no shame in having a personal relationship with God and being open to what he calls you to be and do.
I highly recommend this book to anyone struggling to find their identity in themselves and in all relationships.
Although this book is geared more towards relationships of sex, love and romance, there are definitely take always that are applicable to your everyday life.
As a 27 year old single- single mother,
I find myself almost terrified to step into the dating scene without properly preparing myself for the new generation of “men”. This book and others have helped me to turn to God for guidance and wisdom to know the standards I should hold myself and others to.
Before, I had no standards or boundaries and I suffered for a long time with myself and the decisions I made.
Now, I can say I see things very different, and with God I can only grow stronger in him and in my beliefs of what a real relationship should be like."
73,29,
74,12,"Thanks to my mama, I get to post my #TB today :) with my bro and sis."
75,2,Morning babes!
76,41,"Because workouts are more fun with puppies? 💪🏼🐶🤷🏻‍♀️ Had I been one to go to an actual gym each morning, I’m pretty sure having a new puppy in the house would have been a good excuse to NOT go.
I’m telling you, I LOVE that I can be home and still get a great workout in, even with this little one running around 🥰
•
•
•
•
•

#dogmom #workoutwithpets #unbothered #virtualgym #girlsquad"
77,45,"In exactly 1 week, I will have a 10year old. In a couple of hours I’ll be sending her off for the weekend as she makes her way to California for an entire week!
Then, when she returns on her Birthday, we will make our way to Florida for My half of OUR summer vacation to the beach, Disney World and Universal Studios!! How can this be?! Time flies so fast,I’m trying not to BLINK!
Please send prayers nd good vibes for a safe flight for this beauty and her Father as they head out to California this weekend.
TX✈️CA✈️TX🚘FL

#summerbaby #10years #travel #vacationmode #disneyworld #californiaadventure #floridabeaches"
78,14,Silly girls ↑↑↑↑
79,3,
80,12,🌺🌸🌺
81,18,
82,9,Partner in silliness 😜
83,18,"Just a few photos from last nights #dreamteam appreciation party!
You guys! Words can't explain how grateful I am to be serving along side some of the greatest friends in Austin!
Last night we started off with a yummy dinner, then enjoyed some amazing sand art storytelling (just look at that Jesus and lamb!), then we all witnessed @sirlawrencecharles win a Grammy! Kidding 😉 but he did win what I'd like to call the equivalent of a Grammy, #volunteeroftheyear2017 award!! 🙌🏼🙌🏼 we had a bit of comedy then ended the night a delicious treat from #nothingbuntcakecupcakes 😋

I LOVE MY GOD & I LOVE MY CHURCH!!"
84,4,"One step at a time, one meal at a time. Make it a priority and your body with love you for it!"
