,number_of_likes,caption
0,67,"aight so 💥boom💥 my best friends got married
#denver #parker #colorado #coloradogolfclub #wedding #reception #overthehills"
1,18,New Orleans to Aspen. #aspen #skyhotel #jetlife #modellife #workhard #playharder
2,5,#payback #saints #jetlife #whodat
3,13,if you haven't fallen asleep to this album you need better pot #postalservice #giveup #recycledair #music #chill #relax #love gnight@mallorysau
4,5,#MardiGras 09 #bigolecheesegrins
5,20,
6,14,"s/o to the dudes that threw shade
s/o to the girls that curved

I hope your career as a club promoting Instagram model is fruitful. lololololol
I WIN ALL THE WAY TO THE BANK"
7,38,"#tbt the beginning. nothing was the same.
#senioryear #seniorpictures #montynuss #littleton #colorado #lhs #lions #football #track #abercrombie #poppedcollar #whoisthatguy"
8,29,"git it out the mudd
yaya

#batonrouge #225 #countrycousins #savageszn #weallwegot #doublecups"
9,118,"pimpin + pickin pumpkins

@mohills w/ the 📸

#denver #colorado #rockcreek #fatherandson #qualitytime #adventures #pumpkinpatch #fall #autumn🍁"
10,16,#throwbackthursday #toddlerFresh #lightskinnedFresh #1stBirthday #uptownneworleans
11,7,"talk about ""group mind"" luv dese bitches #WomenOfScrotime #Scrotime #matchingoutfits #Voodoo #Denver #improv #comedy #hottestimprovisersever @jessibaileyb @megan8miles"
12,4,"who's who
on
who's next
@the1don"
13,7,s/o to my bro @trevoryfrank for dreaming believing & achieving. Bangkok is getting a great model but an even better guy. #leather #model #actor #farewell #homies #jetlife #seeyounextyearinLAbro
14,91,me and bubba was groovin to @tankandthebangas @ #bayouboogaloo #tbt ''twas litty
15,69,"you got a lotta family
i got a lot of fam
that’s why my people got my back like the verizon man - new orleans legend jay electronica

#neworleans #louisiana #bayoustjohn #bayouboogaloo #familyreunion #goonsandthugsnotpictured #pleasebelievewestrappedtho #crawfishboil #bbq #birthdayparty #meemaw #mawmaw #4generations"
16,42,"Place your head on my beating heart
I'm thinking out loud
Maybe we found love right where we are

#wedding #weddingseason #tahoe #love #interracialcouples"
17,40,"water your seed and it will grow
#family #fatherandson #toddler #dad #naturalhair #biracialbabies #blackandwhite #mixedbabies #perfectlymixedbabies"
18,26,congrats one of the best couples I've seen Kevin and Nikki. Thank you so much for having us. It was a beautiful wedding for a beatiful couple. Mallory and I had so much fun in Tahoe. We're already looking forward to our next trip. #rodriguezpartyof3 #weddingseason #laketahoe #vacay #vacationcouples #beach #sand #tanktops #shorts #raybans #interracialcouples
19,9,simple amazing @mallorysau
20,5,it's good to make it better when ya people make it with you @the1don @dtuckly88
21,73,"maaaaaaaaaaaannnnnnnn look. My best friend is getting married in 30 minutes and I can’t contain my excitement. I’ve been thru so much with this guy. Running from cops in Littleton, working on lawns with Pat, Tavern 356, tragic deaths, we been thru it all. I’m so happy for you. Im so proud of you. I know you’ll be the best husband, father and partner. You got a good one here Meg!"
22,117,"Happy Birthday to my young prince. I’m so thankful to be your dad. To watch you learn, grow and live is the biggest blessing. You are sweet, kind and thoughtful. You’re funny and passionate. You’re my favorite 6 year old. Happy Birthday Bubba!!!"
23,18,view of the sunset from the office #denver #nofilter #milehilifestyle
24,24,My Uncle Don & Uncle Carey and my brother. blessed to have strong black men to look up to. these are my heroes. #family #happyholidays #uncles #nephew #heroes #nextgeneration
25,185,"Today is a day I think we should celebrate. We should dance and eat macaroons. We should wear our favorite outfit and enjoy vodka soda’s with 5 limes. Today is one of my favorite people’s birthday. Today is Mallory’s day. It’s been 1 year and 1 week since she passed and I couldn’t begin to describe how missed she is. Her impact and influence on me, my son and the world is unmatched. Everyday I try to make her proud and keep the promises I made to her. Every day I use lessons I learned with her, wisdoms she shared and try to live life like she would. That means handling everything with grace, never giving up, oh and not smoking cigs. I love you MalFresh, thank you for everything you’ve done for me and my son."
26,21,"#fbf to Mardi Gras 2009. obviously lit. @ninofresco504 was wearing BAPE. @saulgoodman5280 had the HooverSwoop. It was planned out for us to standout.
#2009 #mardigras #streetfashion #jetlife #lifers #igers #latergram"
27,106,"You're my son,
You a mogul, you a icon
You a legend, you the greatest.
*DJ Khaled Voice*

#neworleans #louisiana #nola #midcity #iloveyousomuch #grateful #bedtime #dadlife"
28,114,"YEAH DAT WAY.
#denver #colorado #broadway #soco
#westword #artopiadenver2017 #fashionshow #runwaymodel #aftertheshower #afterparty #brothers #streetwear #streetstyle #streetfashion #uniqlo #levi #supreme"
29,3,we were having fun
30,50,"Father's Day was lit

#Denver #colorado #downtowndenver #denverparks #parksandrec #playtime #wrestling #toddler #strongkid #biracialbabies #mixedtoddlers #interracialfamily #fathersday #fresco"
31,12,"""If you don't fix the split ends; it'll end in a split."" Horatio at Harpers Hairapy.
too much fun improvising and writing the Hairapy sketch at Kevin McDonald Workshop.
#denver #sketch #sketchcomedy #sketchwriters #denvercomedy #therapy #hairsalon #hairapy
📷 by @jillope"
32,11,i can't handle no liquor but these bitches can't handle meee #holdmyliquor #cantcontrolmyniggaa #nightlife #skyline #denver #PBR #fireball #brothers #yeezus
33,33,"very excited about this show. we've been working on this group for a year now. this team is going to do real work here in Denver.
Starting Feb 3 & every Friday after that
Sign up by 6:50 to play.
All levels welcome
Show starts at 7.
#Denver #Colorado #denvercolorado #denvercomedy #denverimprov #denvernights #denvernightlife #nightlifedenver
#supportlocal
#barkley"
34,11,#throwbackthursday #freshestfreshman #defensiveMVP #littletonlions we went 3-7 that year
35,9,watching the teaser for the feature I was in this summer called Wash Park. check it out http://m.youtube.com/watch?feature=youtu.be&v=BqvqzMzIhT4&desktop_uri=%2Fwatch%3Fv%3DBqvqzMzIhT4%26feature%3Dyoutu.be
36,62,"s/o to my breaux Griffresh. This man is living his best life. Imagine marrying the woman of your dreams in the most beautiful venue then throwing the dopest of dance parties.
Thank you Collin and Emma for inviting me to celebrate your love. No rain can stop your shine.
#boulder #colorado #wedding #groom #bouldertheatre #pearlstreet #fresco"
37,106,"#tbt
thought that I was dreaming when you said you love me"
38,14,happiest of birthdays to my firefly my sweet ooey gooey my best friend and girlfriend @mallorysau
39,5,Spitta w/ the world Champs #dope #jetlife #repost #spittadatnigga
40,117,3️⃣0️⃣ #denver #colorado #happybirthdaytome #polo
41,9,on set ... this actor life leads me to places I've never been doing things I've never done. blessed to find this art form. blessed to see some successes.
42,41,#tbt to that time @mallorysau and I were asked to do an impromptu photoshoot. #modelcouple #impromtu #photoshoot #fall #autumn #mustardpants #plaid #wewokeuplikethis #malneverlaughsatmyjokes
43,64,only fitting that since @mallorysauer and I are back in New Orleans this #tbt is from when she surprised me with Saints tickets. How amazing is she?!? #tbt #neworleans #louisiana #nola #neworleanssaints #mercedesbenz #superdome #whodat #happybirthday #surprise #fieldpasses #girlfriends #interracialcouples #jetlife #fresco
44,22,"had a lot of fun at the I Love Couture Show
s/o to my MaM family.
the hottest shit in the 5280 #MakeAMill #FeelLikeAMill"
45,6,@justinsnotgay has a little pot @roddydubz
46,6,#throwbackthursday #fleetwoodmac #stevienix #landslide
47,8,on a love hi at Sushi Hai
48,37,#wcw is my #wcweveryday cuz she good for my soul like a plate of neckbones and greens. I love her more today than I did yesterday and tomorrow will be no different. #wcw #interracialcouple #denverliving
49,146,"this time last year we were getting ready for your birthday dinner at Tag. It was an intimate dinner; your parents your aunt your brother and I. I remember you were so excited for the pop rocks dish they had. It was a great dinner. Your mom said a toast; it was a tough year but we were looking forward to the next one. None of us could imagine being here today.
I don't know how to feel today. I know that you would want today to be about celebrating rather than mourning. So that's what we will do. Today is not your memorial service; it's your birthday party. All your friends are coming. And we'll dance, smile and laugh in your name."
50,86,Two of my best friends are getting married today. I couldn’t be more excited. I couldn’t be happier. I love these guys and I love their relationship. I see two of the best teammates I could ever imagine. Cheers to the Donald & Morgan. #overthehills #parker #colorado #coloradogolfclub #interracialcouplesclub
51,28,
52,6,hahahaha accidental racism
53,13,new test photos. check the Wilhelmina Denver site for the rest. #portfolio #model #denver #godmoves
54,20,"Mile High Dreams
Skyline Schemes

we changing everything

#denver #5280 #streetfashion #topman #h&m #volcom #nike"
55,45,"would you give your uber driver 5 stars if he offered you sauerkraut?
what if that uber driver was Hitler?
these are the thought provoking questions we'll answer this Friday at 8 with the Kinsey Reporters.

Friday 2/12. 8 PM. Beryl's Brewery. $5
#denver #colorado #denvercolorado #denvercomedy #coloradocomedy #sketchcomedy #livecomedy #localcomedy #kinseyreporters #grafenbergproductions #thingstodoindenver #denvernightlife #nightlifedenver #denvernights #denverliving #supportlocal #craftbeer #brewery #beryls"
56,9,#love #fam #homies #hoodratshit
57,7,#throwbackthursday #brothers #swagup
58,9,kidkidfresh mixin dirty rice. happy turkey day my friends
59,41,"pics @howdybrandon took are up on the Wilhelmina Denver site!!! #denver #colorado #RiNo #artsdistrict #model #photography #wilhelminadenver
#dreads #dreadlocks #dreadlockmodel #africanamericanmodel #blackmodel #levi #handm #forever21men #michaelkohrs #fresco"
60,7,livin life for the nights that I can't remember with the people that I won't forget @the1don
61,47,"""promised I'll never leave him even if his mama tweakin cuz my daddy left me and I swore I'd never repeat him""

#thanksgiving #thankful #grateful #holidays #happyholidays #tistheseason
#fatherandson #fatherandsontime #toddlers #cutekid #sillybaby"
62,4,Sunday.Funday.
63,65,"when @jfclark hit me up to help him on this sketch I immediately said yes. I knew it was funny but I had no clue it would blow up like it did. I guess 1.3 million views in a little over 24 hours makes it like viral or something like that. big s/o to James, Rollie and Nicole.
thanks everyone that watched/shared it!

#denver #colorado #denvercolorado #comedy #denvercomedy #coloradocomedy #sketch #sketchcomedy #viralvideo #improvisors #sketchcomedians #actor #comedian #blackactors #fresco"
64,7,told y'all I'm a beast in the kitchen. #chefkidfresh #shrimp #lunch #stirfry
65,129,"Days in the Sun
Nights in the Rain
Summers Over
#denver #colorado #downtowndenver #elitches #elitchgardensdenver #sixflags #waterpark #waterslides
#fatherson #daddance #qualitytime #fresco"
66,92,"business casual
#denver #colorado #RiNo #artsdistrict
#dreads #dreadlocks #dreadlockmodel #africanamericanmodel #blackmodel #urbanmodel #naturalhair #naturalhairmodel #greeneyes #naturaleyes #tommyhilfiger #calvinklein"
67,69,"God knows I'm trying for you
God knows it
Anointed and Protected, I was chosen
#denver #colorado #voodoo #voodoocomedyplayhouse #comedy #improv #freestyle #denvercomedy #localcomedy #actor #improviser #comedian #model"
68,31,"Guys I went shopping with my girlfriend
#magazinestreet #neworleans #gardendistrict #interracialcouples #mensfashion #womensfashion
#mensstyle #womensstyle"
69,1,Happiest Birthday to my Uncle Don an American Hero. #GeauxTigers
70,1,we was all there
71,8,"on the set of my first movie ""Wash Park"""
72,110,"friendships. friendboats. friendyachts.

#youchadmeathello #denver #wedding #groom #groomsmen"
73,8,happy birthday to the young beat makin deep fryin big chiefin booty freakin gawd @donmarijuan thankful to call you a homie! #happybirthday #bornday #jetlife #celebrate #latenights #rage
74,25,
75,8,how dope is my mom? so dope she grocery shops from another time zone. #mamasboy #blessed #sothankfulformoms #mandasausage #shrimp #tonys #chicken #beef #eatgood
76,65,remember mardi gras 09 when me and @ninofresco504 got into a fight and you had to pull me off him. you scolded me for fighting in front of my mom and shit. you been family ever since. happy birthday to the Analytic God @saulgoodman5280 love you man.
77,3,#brothers #3negroamigos #homies #cominup #fam4life
78,25,"anything can happen at the nightshow
#thehuntisover #romerohuntwedding #happynewyears #dab #mensstyle #h&m #trueloveshoes #alfanishoes #bowties"
79,15,"#powercouple
#nye2013
#love"
80,137,"hey!! follow my modeling and acting page!!! it’s gonna be a blast!! @coreymartin.504303
once i reach 500k followers i’ll give away an Aaron Brooke’s jersey, a AndOne mixtape and Kanye’s Rocafella Chain. Let’s goooooo

#denver #colorado #downtown #arthotel #artsdistrict #museum #wilhelmina #wilhelminadenver #model #actor #improv #comedy #testphotoshoot #headshots"
81,59,"my son is my twin
#denver #colorado #downtowndenver #denverliving #coloradokids #toddler #fatherandson #fathersontime #fatherlikeson"
82,11,"Velvet Underground sounds while I do this homework
learnin & burnin
life is a movie; make it a comedy

denver skyline got me optimistic"
83,23,s/o my breaux @mrbordeaux88 H*Wood x the Elevation for putting on a helluva show last night. s/o @mallorysau for being my hot date. #doubtKills #geauxhard #w$rk #denver #dreads #dreadlockbrothers #ReallyFuckinCool #rns #realrecognizereal
84,16,"my #wcw is a true ride or die. my #wcw went down to the belly of the beast with me. my #wcw go hard in the paint. my #wcw is my everything
#mardigras #bourbonstreet #theboot #thepalm #interracialcouples"
85,6,love is @mallorysau
86,73,"This saturday Paxton and I volunteered at the Fathers’s Against Madness Suit Giveaway. Over the past few months we’ve worked to collect suits from around the Denver metro area with the intention of giving them to other fathers. What we found is that suits were just the hook, we gave and received fellowship, mentoring, laughter, and friendship. Community makes the world go round. Thanks Jason.
#denver #colorado #whittier #cole #redshield #salvationarmy #fathersday #community"
87,53,"Country Cousins
#neworleans #louisiana #nola #familyreunion #batonrouge #ethel #backwoods #country #countryboy #southerngentleman #savage #savageseason #fresco"
88,84,"usual suspects
#denver #colorado #RiNo #artsdistrict
#dreads #dreadlocks #dreadlockmodel #africanamericanmodel #blackmodel #urbanmodel #naturalhair #naturalhairmodel #greeneyes #naturaleyes #mixed #blaxican #realniggas
#homies #besties #twoadays #hustle #joog #licks #moves #grind #work #werk #w$rk #michaelkohrs #fresco"
89,5,fuckin loser
90,88,"becoming the man I always wanted to be

#2bfisher #gonefishing #wedding #austin #texas #atx #stmaryscathedral #fairmarketatx #weddingseason #renttherunway #tommyhilfiger #igersdenver #igersaustin #fresco #model #actor #dreads #dreadlocks #blackactors #africanamericanmodel #dreadlockmodel #dreadlockactor #bar3men"
91,99,"the blade of the knife, that slaughtered the lamb, for greater sacrifice, the son of Abraham

The Lord continues to bless me, even in the times I lack faith and foresight. Thankful. Grateful. I’m living out all these dreams. spread.love.jah

@alexanders.vue on the 📸

#denver #colorado #redrocks #model #dreads #blackmodels #urbanmodel #fresco"
92,5,well ....
93,7,#model #portfoliobuilding #testphotos #future
94,6,#thesearethetimes #clique #crewlove
95,10,all smiles
96,23,"Collard Greens
#akomplice #crooks #streetwear #denver #livin4thecity #jetlife #mostfunindenver #milehilifestyle #frescoflacko #kidfresh"
97,17,"chasin these dreams like they stole somethin of mine God gets the Glory
#IMTA #actor #model #thankful #blessed"
98,21,"turn the page. next chapter.
Happy New Year
#newyears #newyearseve #champagne #houseparty"
99,2,nnnnn twins!!!$
100,23,had so much fun this past week #aspen #fashionweek #malemodel #runway #model #whitegirlswag #leggings #uggs #allineedisstarbucks #toomuchfun #fresh #fresco #piccollage
101,8,my brother so I'm off the porch for em @the1don
102,117,"Devine Intervention
#denver #colorado #RiNo #artsdistrict #model #photography #wilhelminadenver
#dreads #dreadlocks #dreadlockmodel #africanamericanmodel #blackmodel #urbanmodel #naturalhair #naturalhairmodel #greeneyes #naturaleyes #levi #trueloveshoes #michaelkohrs #fresco"
103,12,rooftoppin for the sunrise. #NYC #Chelsea #rooftop #sunrise
104,4,#booski
105,19,"my love @mallorysau
each day gets better"
106,37,Successful Second Birthday Party #toddlers #birthdays #presents #ninjaturtles #actionfigures #happybirthdayPaxton
107,21,#brovas #jetlife #noparents
108,7,changing the world one orgasm at a time hahahaha
109,1,Scrotime Wednesday's 8PM
110,2,the bayou classic on at Tavern Downtown. brought New Orleans to Denver
111,6,fulla that shit. so turnt up. so steezy. fresh like I'm wrapped in plastic.
112,16,#rooftop #denver #love #girlfriend #honey
113,30,"KING KUNTA
#uniqlo #levi #snapbacks #raybans #mensfashion
#insta #latergram #saturday #daydrinking #denver #milehigh #jetlife #fresco"
114,7,#KCCO #chiveon #truth
115,38,"#tbt to Aspen Fashion Week 2 years ago w/ my guy @masonleedoubleday
I remember these jackets were dope af.
We Came, We Saw, We Raged.
#aspenfashionweek #afw #2013 #fashion #ski #snowboard #skyhotel #aspen #denvermodels #jetlife #livebig #dreambigger"
116,10,best tacos I've ever had
117,19,"big wonderful with my wonderful

matching leather jackets and chuck taylors cuz we love each other fa real fa real
#bigwonderful #denver #rino #saturdays #weekends #leather #chucktaylors #streetfashion"
118,26,"when you know your dad would do anything for you so you good
#toddlers #cutetoddlers #smarttoddlers #elitches #sixflags #denver #igers"
119,7,#throwbackthursday #freshestfreshman #nodreads
120,2,#worldclasswreckingkrew
121,69,
122,20,me and @dadetoye09 winning #WCW #girlfriends #interracialdating #interracialcouples
123,17,"SCROTIME @ Atlas Theatre. Friday @ 8 PM
$10
BYOB"
124,4,@the1don @donalds_mustache
125,80,"this post is for the two people in this world I couldn't live without, the two people I'd die for, the two people that give me life.

25 years ago TODAY I walked into a hospital room to meet my brother for the first time. I was just as excited to meet you then as I am to hangout and watch football today. You've been through so much yet you persevered. Today you're 25 and living the life you wanted for yourself when you were 15. You're the man.

5 days ago was my son Paxton's birthday. He turned 4. He is the light of my world. I'm so thankful to be his father. He's such an amazing kid and he makes me so proud. I'm so excited to watch you grow. I'll be there to cheer and help with every step. Love you bubba."
126,52,"I remember when The Carter 3 came out. I woke up at like 8 AM and drove to your house. We drove around listening to Lil Wayne's greatness and smoking ""PrimeTimes."" That was 10 years ago and really ain't nothin changed but the address.
happy birthday brother."
127,17,
128,20,had a blast shooting this week! always meet cool people on set! plus we got some great shots!#commercial #actor #model #onset #denver #rino #igers #latergram
129,10,gettin fed and watching my Saints go marching in @ my favorite #saintsbar Bayou Bobs #bayoubobs #geaux #saints #whodat #redbeansandrice #gumbo #Budweiser #jetlife
130,53,"been off the porch

wassam

#denver #colorado #downtowndenver #chicago #wildhunnids #neworleans #13thward #lion #bull #realonesonly #fresco"
131,29,"had to take it back to 2012 real quick my big brother was BIG's brother

I just wanted to s/o my big bro @dadetoye09.
thanks for lookin out for me. thanks for being an inspiration. thanks for just being there.
it's our season. we going undefeated.
#LoDo #Denver #Colorado #nightlife #Summerof2012 #throwback #homies #bestfriends #brothers #brovas #weranthatshit"
132,66,"me, my brother and my girlfriend took my son home to NOLA for a family reunion and I became a better father ... #neworleans #louisiana #nola #midcity #father #son #toddler #fatherandson #uncle #grandma #meemaw #family #familyreunion #jacksonlandfamilyreunion #martins #fresco"
133,6,#nye2013 #cheers #denver #mostfuninthemilehigh #steezuschrist
134,21,DONT GET MAD CUZ IM DOIN ME BETTER THAN YOU BE DOIN YOU
135,9,ran into the lovely @iamlexy_doll this weeknd all love always a pleasure #rooftop #reunion #oldhomies #black&brown
136,10,@mallorysau @ Rialto
137,75,"come check me out this Saturday as we light the runway on fire at the @denverwestword #Artopia Whiteout Fashion show. I'll be walking for #yocisco #equilibrium and #denverbespoke
Saturday. City Hall. 7 PM. $40.
its gonna be LIT y'all"
138,20,Awards Night at #IMTA
139,9,#throwbackthursday #turntuptoddler
140,36,I can never pay you back for the things you did but my plan is to show you that I understand #dearmomma
141,116,"new job, new faith in God, new perspective ... WHO DIS

@alexanders.vue on the 📸
#denver #colorado #redrocksamphitheater #model #actor #comedian #blackmodels #dreadlocks #greeneyes #urbanmodel"
142,121,#TBT the folks at the zoo thought we were a model family so they asked us if they could use our pictures for promo use.
143,12,thank the stage before you take it #deerpile #improv #comedy #improvisor #actor #denver #caphill
144,52,"long as the Lord say the same thang ... big thanks to @howdybrandon you the man man
#denver #colorado #fivepoints #5points
#photography #malemodels #modeling #dreads #greeneyes #blackmodel #forever21men #levis501 #handm #trueloveshoelove"
