,number_of_likes,caption
0,7,I’m almost there!!! 😍😍😍😍😍😍 #ghcc #giftedhands
1,20,When you guys ask me to do anything with glitter I get soooo excited! Glitter is my favorite thing to work with 😊
2,6,#giftedhands #ghcc
3,19,How do you like your coffee?? Cup and bracelets made by me. Inbox me to place your orders today! 😊
4,26,"“Aaahhh haaaa, I got Melanin!” New shirt available for order! Inbox me to get yours today!! Can be made in other colors as well!! #GHCC #giftedhands #smallbusinessowner #crafty #melanin #blackgirlmagic"
5,2,Twin Crochet Monkeys
6,15,Too Glam to give a damn 💁🏾‍♀️ #giftedhandscrochetandcrafts
7,2,
8,15,😋😋
9,20,"Hey, if you’re sleep it’s about time you wake up! This stack though!! 😍😍😍😍😍😍#giftedhandscrochetandcrafts #shescrafty #blackandgifted"
10,9,#giftedhands #ghcc
11,9,#giftedhands #ghcc
12,15,Gifted Hands Crochet and Crafts LLC at your service! 💁🏾‍♀️
13,6,Because the name isn’t Gifted Hands Crochet and Crafts for no reason! #blackgirlscrochet #shescrafty #ghcc
14,14,Keep your lashes long and your standards high 💁🏾‍♀️ #giftedhandscrochetandcrafts
15,1,His and Hers Mickey and Minnie Mouse shirts
16,7,#giftedhands #ghcc
17,12,"It’s that time of year again. Calling all football moms!! If you need a shirt, I’m your girl! Dm me to place your orders today!!"
18,21,You Patriots fans are showing out this week! #giftedhandscrochetandcrafts #shescrafty #blackandgifted #woodgraintumblers #patriots #patriotsnation
19,1,Mermaid themed set including wine glass
20,19,"Once upon a time I was a little black girl... now I’ve blossomed into a black woman. If I got pregnant today and had a daughter, she would be a little black girl. I can’t speak for the rest of the world. Plenty of people feel differently, but I love little black girls. BLACK GIRLS MATTER TO ME!!! If black girls matter to you, you can definitely get a shirt from me. #blackgirlsmatter #icare"
21,19,"The guys don’t get to have all of the fun this coming football season! Ladies, I got you too! His and hers Steelers set! #giftedhandscrochetandcrafts #steelersnation #customtumblermaker #shescrafty"
22,14,"“Mirror, mirror on the wall... who’s the drunkest princess of them all?” Maybe it’s Princess Tiana!... I guess we’ll find out! #drunkestprincesswineglassseries #giftedhandscrochetandcrafts #giftedhandscc #isweatglitter"
23,300,Scrub Life Badge Reels. You can head to my Etsy shop for purchasing. Like is in the description 😊 #shescrafty #giftedhandscrochetandcrafts
24,8,Melanin shirt! Can be fully customized! Order yours today!
25,2,Mermaid themed makeup jar and brush set
26,35,"Just in time for Father’s Day! I’ve been wanting to make this cup for a long time. I’m so excited I finally got it finished! Yes, it looks like a WD-40 can but it’s a tumbler. Don’t worry, I didn’t forget to add the rust 😊 #tumblermaker #giftedhandscrochetandcrafts #wd40 #shescrafty #customtumblersandmore"
27,3,#giftedhands #ghcc
28,12,Custom order for a customer!
29,10,Bracelets set available for purchase now!
30,18,I’m a drop the F-Bomb kind of mom #giftedhandscrochetandcrafts #shescrafty
31,15,"Beach please, I’m a mermaid! #giftedhandscrochetandcrafts"
32,20,Shower curtain and hand soap and sanitizer dispensers! 😍😍😍
33,7,#giftedhands #ghcc
34,3,
35,24,Because the Crochet came first!! Baby booties made by me 😊
36,7,Because the name isn’t Gifted Hands Crochet and Crafts for no reason! #blackgirlscrochet #shescrafty #ghcc
37,11,Customer order!
38,7,#giftedhands #ghcc
39,18,All things we offer can be custom made. This one was beautiful and a joy to make. Order your custom tumblers today 😊
40,4,#giftedhands #ghcc
41,4,
42,37,Hey from your favorite tumbler maker! 😊😊
43,20,Bracelets set available for purchase now!
44,3,Bridesmaid set
45,10,Because the name isn’t Gifted Hands Crochet and Crafts for no reason! #blackgirlscrochet #shescrafty #ghcc
46,14,"Restocked on bracelets. Need something for your wrist, I’m your girl! #giftedhandscrochetandcrafts"
47,12,Custom order for a customer 😊
48,1,
49,9,Because the name isn’t Gifted Hands Crochet and Crafts for no reason! #blackgirlscrochet #shescrafty #ghcc
50,23,Roll me in fairy dust and call me a unicorn 😊 #giftedhandscrochetandcrafts #ghcc #shescrafty
51,12,Because the name isn’t Gifted Hands Crochet and Crafts for no reason! #blackgirlscrochet #shescrafty #ghcc
52,8,#giftedhands #ghcc
53,11,#giftedhands #ghcc
54,1,
55,11,"Tell me these wine glass boxes aren’t adorable.... oh yeah, I made the boxes too! 😏 #shescrafty #blackandgifted #giftedhandscrochetandcrafts"
56,13,She’s ready for her close up!! #ghcc #giftedhandscc #isweatglitter
57,7,#giftedhands #ghcc
58,1,Backpacks
59,6,#alcornstateuniversity
60,6,#giftedhands #ghcc
