,number_of_likes,caption
0,171,T-minus 8 days ‘til Santa comes 🎄🎅🏻🌟
1,202,Celebrating 4th of July early with Kate and Bob 🎊
2,96,
3,142,Beach town girls living in the city ☀️ #apoolwilldo
4,122,
5,125,💗💜💘💟💖
6,217,We did some adventuring today⛰ p.s. #goDZ #txstrecruitment
7,185,Mood every day in España ☀️
8,196,River daes w/ river baes 🌼
9,201,"“Tu vida es tu jardín, cuida de sus flores y olvida las hojas caidas.” 🌸"
10,221,"Don't be fooled, I didn't actually ride this trolley car today... #doitforthegram"
11,141,"Another day, another waterfall | I love Canada ☀️"
12,120,Adios sweater weather 👋🏼
13,130,
14,207,So blessed to have a friend like you 💕
15,116,PSA: This is how best friends take pictures 💁🏽💁🏼
16,129,Blessed to be free
17,102,*captures soft smiles*
18,206,Happy birthday to the boy who's always by my side! I love you more than you'll ever know ❤
19,128,For me everyday is Father's Day 💙
20,249,Throw what you know everywhere you go 💙 PC: @kateeivy
21,122,happy 6 b ❤️
22,167,"Rain or shine, as long as we’re together, we have a good time!"
23,174,Thank you @passion268 for such an amazing and God filled 3 days! It was more than I could have ever hoped for! 💕 #passion2017 #getjuiced17
24,213,Pop-up milkshake shop today🍦🍩💕 #heaven
25,197,Lucky to have my boyfriend and best friend in one person 💜
26,201,Salt water runs through our veins
27,193,Beachin with my besssst fraaaannn ☀️🌴🌸
28,158,"""It wouldn't be my world without (y'all) in it"" 💕 #deltazeta"
29,144,The best Easter Bunny around 🐰🥕💚
30,110,You're 🔞 🔞 🔞❗️ #ahsbestfriendaward
31,165,Gobble 'til ya wobble 🦃🌽🍴
32,102,My rock 💕
33,115,
34,160,Life is better in the ocean 💙
35,176,A sunny start to a great spring break ☀️💙
36,166,"Sweet hot cocoa, but even sweeter company 💕🎄☕️"
37,130,"One year ago today I had the opportunity to live in Cuenca, Spain for one month and be immersed by the most beautiful and inviting culture. I fell in love with the little town, as well as my host family who were so caring and welcoming. I feel so grateful that I was able to experience that month of growth and independence. I truly got to know myself and realized that I am stronger and more capable than I believed. Cuenca will always hold a place in my heart, and I will be back one day."
38,211,Get yourself a bestie that tells you to sit on some rocks and pose because she thinks you look cute
39,159,"C’mon summer, we’re ready for ya! ☀️"
40,39,
41,115,
42,109,
43,133,Thanks @sarahbarajasphotography for making me feel like a model for a day! 😊
44,141,Happy Hollydays everyone! 💛
45,121,"If you a lame, that's a shame you can't hang with us"
46,136,MAY this month bring you happiness 🌸
47,169,THIS is living!
48,191,It’s my BFF’s 21st birthday!!! I am so lucky to have found my soul sister and best friend! ilysm Jess!!! ❤️
49,177,Es un buen día para un buen día 💛💛💛
50,224,"Tell me, is it tailgate season? #eatemup 🐾"
51,102,You're the _____ to my _____ or something like that ❤️
52,99,Sunshine and blue skies ☀️
53,110,Selfie Thursday ft. Bae
54,100,Happy birthday to the best not little sister ever! Love you G! 💕
55,208,Enjoying life with my best friend 💗
56,140,My favorite color is fall 🍂💛🍁
57,149,Girls trip ☀️🌊💛
58,111,Awkward pics with the Great Divide 🗻
59,163,I miss this place daily 💙☀️🌺
60,119,WE DO IT B16!
61,93,
62,140,Bonjour eh?
63,128,Never wanna leave 🧡
64,112,Y'all my crew 👌🏼
65,198,
66,202,Chasing these waves like my summer classes are about to chase me
67,111,ATX
68,124,
69,184,See ya next year Wurstfest! 👋🏼🎡
70,192,Favorite place with my favorite person 💙
71,172,Happy Thanksgiving from me and two of my favorite people! 🦃💛
72,186,
73,173,It's GAME DAY y'all! 🐾 #TXST
74,107,
75,100,308 miles apart but together at heart 💕
76,98,Bye Glenwood 👋🏼
77,205,A constant reminder to myself: b happy 💛
78,150,Even though she's a ChiO I'll still be the Ken to her Barbie 💕
