,number_of_likes,caption
0,26,"Some cool jobs this week and it's only Tuesday! Removed the old lighting out of the top of Budweiser Event Center, and then checked out 16 cylinder quad turbo diesel emergency generators at a local hospital."
1,51,"Another perfect day for a quick sunrise rip and chance to check out some new gear.
Great start to the day besides the deer in the pitch dark scaring the shit outta me when I saw the reflection of their eyes from my headlamp.. haha By product of solo sunrise trips..
#arthursrock"
2,8,"😂😂😂
#winterhiking"
3,26,"Got the first 8 or so miles of 2019 in the books yesterday and what a grind. This is Bear Peak above Boulder.. With around 2400 ft climbed in 1.6 miles it was every bit as tough, if not tougher than the manitou incline. The ice and snow on top of that made it even more of a challenge/fun. So nice having some WARM days to enjoy in January.
#bearpeak"
4,25,"Tried to catch the sunset and full moon last night on Horsetooth, but clouds didn't cooperate. Still a nice night for a stroll.
#Horsetoothrock"
5,22,"Gave up all sweets and cut down to minimum sugar for just under 2 months. Amazing how much better you feel without it and dropping just over 15lbs was nice too. HOWEVER.. Cracker Barrel pancakes are the only thing I really craved. Today I satisfied that craving.. 😍
#fatkidstatus"
6,1,"Glocks
#glock #vickerstactical #9mm #babyglock #pewpew #2ndamendment #glockperfection #glockporn"
7,16,"Today's office view
#coloradoskies #workworkwork #officeviews"
8,8,"Jeep boosted and lowered
#jeepsrt8 #vortech #boosted #supercharged #hemi"
9,1,"Ruger Precision Rifle
#pewpew #longrangeshooting #ringingsteel #popting #.308 #athlonoptics #JPbrakes"
10,17,"Colorado showing off this morning..
#coloradoskies #morningdrives #longspeak"
11,21,Hate the cold but love the view.. #donewithwinter #youprettydoe #coloradoskies
12,39,"A week or so I shared a link to the Larimer County Sheriffs Citizen's Academy. It started Sept 11th and ended tonight. It's a ""class"" where you spend 3 hours a night once a week learning about a new subject each night such as patrol, swat, k9, jail/dispatch ect. Also there is one 8 hour field day where you conduct mock traffic stops, force on force drills, building searches and sweeps and crime scene processing. These are some pics of yours truly from field day. It is an incredible program where I learned a ton and was a great experience. They're enrolling now for the spring academy. Its 30 bucks so its inexpensive but a fair amount of commitment of time(13ish weeks). However I HIGHLY recommend it. Any questions if interested, let me know.
#larimercountysheriffsoffice"
13,20,"Another good day with good people!
@dirtyroyl
#coloradoskies #pinewood #coloradohiking"
14,15,
15,7,"PUMPED this is finally releasing on Tuesday. A great book I read this summer (Living with a seal) was about/had this guy in it. Now this is his own personal book.
#davidgoggins"
16,30,#horsetoothreservoir #supraboats #coloradoskies #surfing
17,26,"Easter Weekend sunrise hike up to Arthur's Rock was the best so far.. Colors, and weather was INCREDIBLE!!
#arthursrock"
18,20,"Out for a rip!
@dirtyroyl"
19,6,Not the best way to start a day.
20,13,
21,25,"It was a grind but we did it!
#manitouincline"
22,37,"Finally got a chance to post a few pics/vid from my Florida trip. Already cant wait to get out for more adventures, amazing food, and memories with great people!"
23,31,"Few more from snowy Greyrock
#greyrock"
24,10,"Couple videos of peak, horse supply train to peak lookout, helicopter flying over on our way down."
25,3,"Jeep shit
#jeepsrt8 #jeep #6.1liter #wk1 #awd"
26,24,"Came close to making excuses but when the best lady friend comes to town and wants to go, ya gear up and go.
REALLY liked this one.
#greyrock
@0kellylynn"
27,1,"Hiking by Belleview Colorado
#coloradoskies #hiking #summertime"
28,16,"Another horse in the stable.. #Tikka #6.5 #creedmoor #vortexoptics #rugerprecisionrifle #308win #athlonoptics #sending #longrangeshooting #pewpew #popting #ringsomesteel #freedom
#2ndamendment
@dirtyroyl"
29,36,"Back into Glacier Gorge to Black lake.. Theres something about this trail that feeds the soul like no other. Looks very different than it did last fall. The snow melt cascades throughout was a huge bonus to an amazing area. Also its contributing to Alberta falls which is RAGING right now. *The second pic turned out interesting. The part that looks like the open water is actually where the lake is still frozen, the bottom part is the open water mirroring the backdrop.

#Blacklake #Albertafalls"
30,36,"Made the goal of logging 150 miles this year. Didnt expect to hit that goal by the beginning of July but with yesterdays trip up to Dream Lake over look/Emerald Lake Iam now in bonus miles. Loving all the views, experiences, and memories.
#dreamlakeoverlook #emeraldlake #dreamlake"
31,4,
32,22,"By far favorite hike so far this summer. I did this hike with my brother 22 years ago. This is the summit and and lookout of St Mary's Peak in the Bitterroot Valley. My friend Heather was quite the trooper to climb this one with me.
#stmaryspeak"
33,21,"Did the tourist thing today at Sea world.. Rollercoasters here were amazing! So was the high 70s weather.
@beachyboden #seaworld #rollercoaster #orlando #vacation"
34,11,"Mini horse monday..
@dawn_stoudt
#Wideastheyaretall #jumpontheponyandrideit #ikid"
35,13,"Two days ago i told a friend "" I havnt seen a snake yet this year, knock on wood"".. Knock on wood didn't work, jinxed myself and ran across a little bastard in this flooded spot on the bike trail..
🐍🐍🐍
#hateem #wheresmyflamethrower #springcreek"
36,42,"Two weeks ago when we made a loop and went passed Gem Lake it was a full blown dumpster fire with people EVERYWHERE, lounging all over the rock. Got up at 4:30 to get up there so I could watch the sunrise, drink coffee, and enjoy the views minus people. WELL worth it.
#gemlake"
37,18,"The moment you realize you've been sand bagging your workouts, focusing on the wrong things, and keeping the wrong mindset.. Thankfull I stumbled across a super easy(not a big reader), comical but interesting book that's changed my whole view on training and why I do it. Realizing a workout should push your mind even harder than your body has given me workouts a week ago, I'd refuse to do.
Time to REALLY get after it.."
38,3,"Sitting under a tree and I look up.. This is what I see.. Efin creep..
#creepin"
39,28,"More from Dream, Emerald, and Haiyaha

#dreamlake #emeraldlake #lakehaiyaha"
40,38,"Trip out in rain last weekend to try out some gear.. And it quit raining..🙄 haha But was good for a ominous looking solo trip up Arthur's Rock.
#arthursrock"
41,2,
42,12,"Yelawolf, badass as always..
#foxtheatre #bouldercolorado #yelawolf"
43,2,"True story..
#boost"
44,37,"We worked for this one, did not disappoint!
#blacklake #frozenlake"
45,20,"Today was a good day..
#notaAK #ringingsteel #rugerprecisionrifle #JPbrakes #sending #308 #athlonoptics"
46,11,Random views of the Bitteroot valley/River
47,36,"Few from Greyrock and Arthur's Rock, again. No matter how many times I do these I always really enjoy them. Great lil hikes to keep the rust off. Thanks @sayrarara970 and @backcountryben for enjoying the single digit trips with me!
#greyrock
#arthursrock"
48,14,"Florida you fancy!
Photo cred@beachyboden
#dinnerviews #portcanaveral #florida"
