,number_of_likes,caption
0,5,Three beautiful cousins 😉
1,112,"A la mujer que llegó a Los Estados Unidos como una jovencita illegal. A la mujer que por ser illegal tuvo que trabajar bajo el sol piscando varias frutas y verduras. Y como illegal formó su familia en una tierra desconocida sin saber el idioma y sin una educación formal. Todo con el deseo de una mejor vida para sus hijos. Gracias mama por tu sacrificio, eres un orgullo! Tú mereces ser ciudadana Americana."
2,97,T-house in H-town 🦁
3,43,"Don't worry, be happy 😃"
4,110,Agua
5,34,🐥
6,44,Meet my best friends #Christmas2015
7,130,Happy Thanksgiving all the way from the London Eye
8,33,Ended the semester right
9,43,Selfie Sunday
10,47,Love my mom to death
11,103,Taco ‘bout cute
12,132,Happy thanksgiving from my family to yours 🦃
13,61,2011 #transformationtuesday 2014
14,62,Why didn't we meet at Steds??
15,52,"Orar sin cesar -1 Tesalonicenses 5:17 (Muro de los Lamentos, Jerusalem)"
16,55,"Happy birthday to my bestfriend whom I love so much 💕 so glad I got to spend this day with you, I already miss you 😢 ""you with me baby lets be crazy""🎶 ❤️ one day #insider enjoy your last hour birthday girl 😙"
17,37,Spurs game 😁
18,74,10/11/2016
19,106,"Cliffs of Moher, Ireland
*ignore my hand gesture*"
20,16,My grandma <3
21,65,Moonwalkin’ on your clique
22,105,Hoy fui a la sierra y si me canse
23,33,BFF
24,14,Lunch date w/ my daddy before work 😊
25,16,#tbt when I first got my baby 😊😋
26,75,"In honor of Earth Day, te amo y te apresio. Y cada día es tu día, gracias por la naturaleza 🌎😘"
27,86,"Entiendo porque se llama el parque del Capricho, se me hace que la Duquesa se encaprichó y quiso un parque tan bello para que lo disfrutáramos 😍😍"
28,109,Summer nights
29,96,"My dad throwing up the deuces smh 🎄
#SanLuisPotosi"
30,196,Laughing at all the times I stressed in college
31,10,Bifffssss 😘
32,39,One of the best things pluckers gave me! Love you goofball 🤓💕
33,104,Hiked this baby when it was freezing and somehow I was sweating
34,120,Always better together ✨
35,85,We ❤ Madrid @ Austin
36,122,I felt like a child riding a camel for the first time. Thank you Morocco 🇲🇦 🐫
37,54,🎄
38,65,"Happy bday gera, ily 💞💞"
39,137,To those who fell and to those who carry on
40,16,I pray that I become more and more like Jesus everyday! Love this song
41,16,filling my baby upppp
42,74,Tru
43,37,5 years of friendship and a lifetime of memories to come. Happy birthday best friend 💜💜💜
44,59,Failing attempt at tippy toeing to reach el flakillo alto este
45,26,Little late after for my canks
46,51,Senior Trip 2014
47,93,Good times & tan lines 🌞
48,83,Thank u Isabella and Regina
49,116,Because Real Madrid plays today and I wish Lizzie and I could be at the Bernabéu Stadium seeing Ronaldo play again
50,41,Seriously best place to watch the sunset
51,45,I ❤️ country
52,8,#tbt thugging during lunch with @anavanessa95 & Janet 💚💂
53,63,"Si algo me enseño mi papa en esta vida, es que luche con alma y fuerza por lo que quiero. Y sí señor somos de rancho 👢🐎"
54,67,That ... Tho
55,85,"Pretty boy, dirty boy #Maluma"
56,71,Prom 😊
57,53,#tbt to a fun night with my love Carla 💘
58,55,Birthday princess 😊👸
59,178,Mi Mexico Querido 🇲🇽❤️
60,36,Going to miss my newley added niece 😔💕
61,78,Mains
62,66,Te amo papa
63,9,Movies timeee 🎥
64,137,A week ago I saw Jay-Z singing “Empire State of Mind” and literally made me want to cry because I love NYC so much!!
65,76,It's always a blast with them 💘💘💘
66,37,💕
67,52,Lizzie y Victoria acompañen me en su bicicleta?
68,96,"""Armored Dove of Peace"" -Banksy

My prayers are with you Bethlehem"
69,12,Happy birthday to my father 👨👧💕
70,11,Trying to take out a little solo 🎶🎵
71,140,"Si hay sol, hay playa ☀️"
72,40,Senior portraits 😊 #classof2014
73,119,Two years ago I took one of the greatest and most wonderful adventures: studying abroad. Now I’m getting ready for my last semester in college. All I can say is TIME FLIES & BLESSED.
74,3,@mayra2424 @analuvstropicana i miss you girlies ❤❤❤
75,110,Me after Thanksgiving like
76,91,"Ok, but is Laura my look alike??"
77,87,I also miss my carefree days rooming in Madrid
78,56,Ever since '14
79,55,
80,47,Happy belated birthday love 💕
81,32,"I love you forever grandma 👧👵 and I will always cherish the memories we made! You're in a better place now, RIP ❤️"
82,65,I ❤️ NY
83,101,"Cinco de drinko, in September? *laughs in Spanish*"
84,64,I woke up like this
85,113,Thank you Jesus for my sight
86,116,'Merica 2017 🇺🇸🇺🇸🇺🇸
87,53,That half a face you see is my dad ❤️
88,19,My bestfriend forever 😘
89,51,
90,22,Biffs since 1999
91,121,"“Todos los míos están bien, estamos bien” @badbunnypr"
92,121,Happy late Independence Day to our mother country *does the grito*
93,13,👫😚💛
94,22,#tbt to Manu years ago with my long life friend from church 🙊
95,144,Studying abroad was my best/worst thing ever. Best because I got a once in a lifetime experience full of joy and surprises and worst because I'm going to have major withdraws.
96,113,ICY GRLS
97,22,My mother and me :)
98,11,Celebrating my mommy's birthday 😘❤
99,137,"A weekend wasn’t enough, te quiero mami 🌹"
100,32,Angels we have heard on high 👼🙏✨
101,68,"One year ago I became a high school graduate and entered the ""real world,"" and I love every step of it 🎓🎊💛"
102,69,My heart is breaking bc I won't see you everyday now
103,13,Love when my brother is in town 💙💚💙💚
104,100,"Goes to the gym for a week
*wears mesh tops*"
105,15,Dont mind this #sanluispotosin #latigera
106,47,Roommate #ballparkataustin
107,125,In the Eternal City
