,number_of_likes,caption
0,6,This man at the airport rockin army boots & jeans
1,53,"💯💯
*
*
*
#Repost @successinspiration.ig with @get_repost
・・・
#hardwork #grind #nevergiveup #dreambig #dreamchaser #striveforgreatness #trusttheprocess #provethemwrong"
2,132,"A little less than a week until we are in NYC for Club 7s Nationals. Still time to show your support. Anything helps. Link in bio...🏉🏉
*
*
*
#rugby #nationals #rugbynationals #roadtonationals #roadtonationals2018 #sevens #rugbysevens #rugby7s #rugbylife #belmontshore #belmontshorerugby"
3,17,#DormLife #2222C #roommate @rstephens73 #tbt
4,11,It's about that time of the year. #7s #rugby #rugby7s #sevens #rugbylife #OTR #striveForGreatness #BeGreat
5,33,Almost back to home after a successful trip in Philly. Got these #jams to pass the time #city7s #rugby #rugby7s #rugbylife #iration @melis_harris see you soon... @ubl684 Niko needs IG 😂😂 #WheresNiko
6,104,"What a great day of rugby here in SD. Grateful to see @toddclever in his final @usarugby game!! Thanks @elegantviolence for the awesome shirts to rep #socal rugby! It's great what you guys are doing to grow the game..be sure to check out shopelegantviolence.com
*
*
*
#sandiego #california #rugby #usarugby #usa #growrugby #elegantviolence"
7,9,@melis_harris just hangin out
8,107,"Was told by @melis_harris that this is me in my most natural state... Phone in hand and coffee to drink
*
*
*
#sandiego #california #85degreesbakery #85degrees #coffeetime #striveforgreatness #trusttheprocess #apple #iphone8plus #iphone #collegelife #college"
9,20,Finally committed to them! #nike #flyknit #nikefree
10,18,Trying to go #beastmode dragging defenders lol #rugby #rugby7s #rugbylife #rugbysevens #sevens #StriveForGreatness #BeGreat #OTR
11,83,"Because they say blondes have more fun and I like to have fun
*
*
*
#blondehair #dreads #dreadlocks #phensworld #sandiego #california #blondeshavemorefun"
12,39,When you're not training someone else is training to take your spot #gymflow #fitness #rugby #rugbylife #weights #vest #striveforgreatness #begreat
13,91,"First action with the SoCal Griffins from about a month ago. Excited for the next opportunity!
#ruby #rugbylife #striveforgreatness #grind #rugby15s #california #socal #griffinsrugby #ombac #ombacrugby #sandiego #socalgriffins"
14,43,"New Client Designs @keprebels *
*
*
#keprebels #menswear #style #rebels #fashion #custom #sandiego #california #stylist #suit #suits #suitsformen #suitsforwomen #womenswear #phensworld #phenjonson #sartorial #suiting #madetomeasure"
15,10,Anybody know where I can get a pair of these lmao 😂😂😂 #game7 #air #nike #toomuch #gotjokes
16,21,The lovely @melis_harris and I coolin' before I had to go for #rugby #beachlife #vaca #myrtlebeach #vacation #relaxing #getaway
17,14,Pretty amazing sky the other night..
18,29,Me and my baby girl hanging out in #Vegas on #ValentinesDay #RainForestCafe #CrissAngel #VegasStrip @melis_harris
19,19,Always great to play with my Army boys!! #rugby #rugby7s #rugbylife #rugbysevens #sevens #StriveForGreatness #BeGreat #trytime #OTR #usarugby #army #armyrugby #allarmy
20,7,#tbt @tanqdog @rstephens73 what y'all know bout this! Lol
21,130,"That summer linen. A staple of warm and tropical climates 🧵 📷: @ozenriquez *
*
*
#keprebels #phensworld #gentlemen #mensfashion #mensstyleguide #menswear #mensclothing #sdkep #womensstyle style #fashion #fashionista #dapperstyle #dapper #elegance #tailormade #suitup #suits #tailored #gq #vogue #esquire #sartorial #tailor #designer #custom #sprezza #sprezzatura #madetomeasure #sandiego #california"
22,157,"Try Time 🏉🏉🏉 📸: @pink_shorts_photography *
*
*
#rugby #rugbylife #footy #ombac #bleedblue #sandiego #california #socalrugby #ombacrugby #saturdaysarugbyday #saturdaysarefortheboys #rugbygram #striveforgreatness #trusttheprocess #pacificrugbypremiership #prp"
23,9,I got accepted too!! @melis_harris
24,14,Found these baby squirrels!!!
25,119,"Find what you love and master your craft. Don't let the outside world and negativity deter you of your dreams! *
*
*
#style #fashion #madetomeasure #stylist #menswear #kep #keprebels #dreamchaser #striveforgreatness #trusttheprocess"
26,26,OH.....MY........GOODNESS lmao 😂😂😂😂😂😂 I literally can't even...on scale from one to even I can't!! #canteven #icanteven
27,17,Showing me some love!! 😍😍 @melis_harris
28,2,My lil homie Armani just coolin with me... @melis_harris
29,85,"Mini Coordinates Assignment 👕
*
*
*
#fashion #design #designer #sandiego #california #college #collegelife #school #fashiondesign #sdmesacollege #sdmesa"
30,34,🙌🏾🙌🏾🙌🏾 We are all #entrepreneurs ...don't let society stamp you. Know your worth!
31,3,Duchess layin all on her mama @melis_harris
32,12,Waitin for this flight #Oklahomabound
33,11,My lil man trevyn
34,29,@Nike SB Trainerender 🔥🔥🔥#kicksonfire #kicksoftheday #nike #trainerendor #sandiego #california
35,6,@melis_harris 😍😍😘💋
36,80,"Finger bruised but healing up after dislocating it in last weeks game
*
*
*
#rugby #rugbylife #battlescars #ombac #bleedblue #sandiego #california #rugbyproblems"
37,89,"Another summer in the books! Learned a lot, improved a lot now time to get ready for the next task.. #rugbylife #rugby #footylife #footy #thegrind #striveforgreatness"
38,4,@burinskyyy what??
39,1,Beat the HEAT
40,44,"#tbt #backtoback like we #jordan '96, '97 #AllArmy #rugby #rugbylife #rugbysevens #sevens #rugby7s. That's a 3 peat for all the boys on the 2013 squad. I wasn't there for that but the boys balled out!! Time to take Army Rugby to the next level in 2016!!"
41,6,#4MileRun #ArmyPride
42,33,Had to represent for ol Ft Brag out here here with my boys!! #ArmySelects #armyrugby #rugbysevens #rugbylife @mtago684 @merica_bond @mike.rugby #JoshBounds
